samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-1192X-2326-SM-5987X,7.1304,4.4705,8.3108,11.3514,8.637,9.5058,4.4034,4.0109,,,TCGA-E9-A1RF-11,6.1023,3.036,8.8538,10.5888,6.8068,9.7236,2.202,1.2871
GTEX-T2YK-2226-SM-32QPT,5.4404,3.7138,8.0643,11.1598,9.1309,8.6904,2.3335,0,,,TCGA-E9-A1RD-11,7.1829,5.0124,9.1823,10.7427,7.6988,9.4183,3.5818,4.652
GTEX-ZEX8-2226-SM-57WC6,6.9959,5.6387,8.1146,11.2404,8.3436,9.178,3.1091,2.8284,,,TCGA-BH-A1FJ-11,5.544,4.9668,9.9295,10.2941,8.8887,10.2976,5.0119,4.4815
GTEX-139TU-0626-SM-5KM3X,7.3304,4.8013,8.7201,11.1763,8.2163,8.9294,4.0984,3.5549,,,TCGA-E2-A15M-11,5.4903,4.4768,9.0704,10.2828,7.4749,9.2271,3.9897,3.0159
GTEX-SIU7-1626-SM-4BRUK,6.7305,4.4257,9.5579,11.3836,8.6799,9.5355,4.5146,4.8918,,,TCGA-AC-A2FB-11,6.8998,6.4355,9.1027,10.7193,7.7342,9.5184,4.3059,3.8116
GTEX-XMD1-0826-SM-4AT52,5.5021,3.5946,7.602,11.0885,9.6581,8.85,3.2657,2.2306,,,TCGA-BH-A0H7-11,8.8586,7.1338,8.7881,10.3225,8.2247,9.3477,5.032,6.7724
GTEX-ZY6K-1626-SM-5GZWV,6.8523,3.9502,8.6725,11.6486,8.4068,9.217,1.6889,3.135,,,TCGA-BH-A0B8-11,6.11,3.5279,8.892,10.7185,6.4879,9.2901,2.0846,1.39
GTEX-XBED-1626-SM-47JYN,6.1589,2.9269,9.0661,11.2113,8.2883,9.2906,2.7013,2.7013,,,TCGA-BH-A0DL-11,7.1928,6.8598,9.6086,10.6947,8.4283,9.3358,5.4518,5.2587
GTEX-11TT1-2126-SM-5GU5Y,6.1422,3.4065,8.5529,11.6331,7.7973,9.0213,0,1.1378,,,TCGA-E9-A1R7-11,6.902,4.9295,9.4307,10.352,7.8451,9.6975,3.8413,3.0032
GTEX-ZV7C-1826-SM-5NQ83,5.4509,2.399,9.3041,11.5448,7.8315,9.7267,3.0221,3.0221,,,TCGA-A7-A0DC-11,7.8654,5.7422,9.6784,10.3245,8.6634,9.8039,4.8663,4.9397
GTEX-139T6-1626-SM-5PNYZ,6.637,3.4935,8.7989,11.3751,7.1244,9.4679,0,1.0188,,,TCGA-BH-A0DH-11,6.8004,6.3656,7.9923,10.5012,7.6551,9.0612,4.5371,3.0713
GTEX-11WQC-1726-SM-5GU4W,6.7827,4.5262,8.2058,11.1784,8.1889,8.5952,3.714,2.1064,,,TCGA-E2-A1BC-11,5.7098,2.45,8.0282,10.5762,7.0784,9.2952,0,1.0814
GTEX-X261-0626-SM-3NMD9,5.7226,3.597,9.0826,11.7511,8.556,9.495,3.4823,1.511,,,TCGA-E9-A1RH-11,6.4633,5.0322,8.6762,10.4738,7.4351,9.3667,3.7286,3.4717
GTEX-ZDXO-0126-SM-5S2ND,5.6625,3.7832,7.8237,11.1525,8.0085,9.4165,0,3.4502,,,TCGA-GI-A2C8-11,6.418,2.3856,9.2792,10.5966,4.9811,10.9008,3.364,10.4759
GTEX-13OW8-0226-SM-5K7UP,5.3616,1.9506,8.8392,11.3466,7.7055,9.2629,2.4054,1.2825,,,TCGA-A7-A13E-11,6.5412,4.8241,9.3967,10.7491,7.0998,9.1845,3.7541,3.2613
GTEX-11DXZ-1926-SM-5GZZL,6.2253,3.1817,8.7523,11.2107,7.6682,9.2334,1.1066,2.4889,,,TCGA-BH-A0AY-11,7.1209,5.7319,8.9091,10.3262,7.6959,9.476,4.0569,3.8766
GTEX-ZYFC-0826-SM-5E44K,6.5648,4.1819,8.2562,11.3236,8.4927,9.1586,1.2137,2.6501,,,TCGA-BH-A0C0-11,6.395,5.2994,9.1623,10.4338,8.3558,9.4692,4.5477,3.6081
GTEX-ZVE2-1226-SM-5NQ8R,6.4663,3.8324,8.172,10.8398,9.2699,9.0735,3.9607,2.6549,,,TCGA-E9-A1NG-11,6.6135,4.853,9.2623,10.5948,6.972,9.434,2.7811,4.1004
GTEX-11NV4-2026-SM-5N9DG,6.8592,3.8693,8.9864,11.279,8.0096,9.2946,3.8693,3.0748,,,TCGA-BH-A0BC-11,7.5553,7.1498,9.2357,10.6717,7.9551,9.2917,4.6872,5.3779
GTEX-144GM-0926-SM-5O994,6.2137,5.2545,9.3288,11.7744,7.3335,9.8422,2.1307,3.3236,,,TCGA-BH-A0DP-11,6.1277,3.9497,8.7836,10.3988,7.7813,9.31,3.8969,2.7134
GTEX-13FHO-0826-SM-5L3E8,6.6454,5.8936,8.1123,11.2026,8.2835,8.9297,3.4809,5.8936,,,TCGA-BH-A18P-11,5.8875,4.7306,8.3831,10.4452,7.2508,9.3268,3.1387,1.2746
GTEX-11OF3-1926-SM-59889,6.4952,4.6502,8.531,11.1854,7.6494,8.945,3.2386,1.1411,,,TCGA-BH-A1FB-11,6.0099,5.8406,9.041,10.7949,8.4951,9.4032,4.5848,3.2814
GTEX-13W46-0826-SM-5LU3H,5.0977,3.2188,8.9076,11.4041,7.856,9.0336,4.7958,0,,,TCGA-E9-A1NF-11,6.9361,5.1446,9.2737,10.8259,6.5547,9.5087,3.8059,4.1542
GTEX-XQ3S-1326-SM-4BOPQ,6.6422,4.4419,7.8497,11.3614,8.0952,9.049,3.1658,1.3757,,,TCGA-BH-A0BZ-11,6.6685,4.9891,9.0725,10.8168,7.4526,9.2687,3.4923,3.4923
GTEX-ZDTT-2126-SM-5S2OJ,6.8163,5.0811,9.1075,11.3995,7.6505,9.5049,3.5251,3.8218,,,TCGA-E2-A1LH-11,6.4109,6.1436,8.7777,10.4695,8.3992,9.2823,4.8595,3.335
GTEX-139T8-0826-SM-5L3DE,6.4418,5.4812,9.3853,10.8875,9.5741,8.8929,4.3731,5.435,,,TCGA-E2-A15K-11,7.8765,6.8965,8.4734,11.0157,7.4618,9.2198,3.3429,4.1512
GTEX-S7SE-0826-SM-4AT4D,6.4164,4.4449,8.6381,11.1697,7.9488,8.9346,2.2916,1.2008,,,TCGA-E9-A1N9-11,8.5593,7.2745,9.0363,10.6568,7.9112,9.1969,6.6755,4.7172
GTEX-WY7C-2726-SM-3NB3P,7.3285,5.8973,8.8137,11.1073,8.0257,9.5992,4.3819,5.0909,,,TCGA-E9-A1NA-11,7.1975,6.2373,9.4007,11.0562,7.5651,9.2557,3.6048,4.2472
GTEX-ZYT6-0126-SM-5E45J,6.2874,3.6945,7.8735,11.3095,7.9842,9.4135,1.0608,1.6654,,,TCGA-GI-A2C9-11,6.9388,6.184,9.3804,10.8017,8.3202,9.6148,4.6693,4.0189
GTEX-QMRM-1626-SM-4R1KV,6.9913,4.2504,8.7717,11.3692,7.6536,9.9601,2.9179,2.9179,,,TCGA-A7-A0CE-11,7.7183,6.2375,8.9606,10.5431,8.3295,9.497,4.4866,4.4866
GTEX-145MN-1926-SM-5SIAI,6.781,3.87,8.9942,11.3327,7.6685,9.2908,2.2373,3.87,,,TCGA-A7-A0DB-11,7.5827,6.4386,9.0732,10.5731,6.6591,9.0903,5.1479,5.0466
GTEX-X4XY-0926-SM-4E3JD,5.4463,2.9498,9.6961,11.5539,8.4908,9.2334,1.697,1.0848,,,TCGA-BH-A0BT-11,6.0073,5.7018,9.2641,10.5477,8.557,9.5051,4.3945,3.2327
GTEX-WOFL-0826-SM-3MJG1,7.0142,4.3068,9.3935,11.4007,8.469,8.7432,4.2459,3.8147,,,TCGA-BH-A18J-11,6.4658,5.4272,8.9386,10.4283,7.8148,9.3568,3.7735,4.9238
GTEX-132Q8-1426-SM-5EGK7,6.3731,2.8677,8.9061,11.0363,9.2137,9.1294,3.5878,2.5171,,,TCGA-BH-A18Q-11,7.003,6.0514,9.1137,10.6708,8.1937,9.5726,5.2962,3.8595
GTEX-117XS-1926-SM-5GICO,7.1396,4.9015,9.4805,11.3711,7.7436,9.4102,3.4594,3.4594,,,TCGA-E9-A1RC-11,7.1589,4.4639,9.03,10.7198,6.4738,9.2068,3.7435,2.9665
GTEX-11NSD-0926-SM-5N9DR,6.0743,3.3442,8.0012,11.525,8.419,9.2812,3.7644,2.1484,,,TCGA-BH-A0BS-11,7.2619,6.9213,9.0489,10.4835,8.3063,9.6078,3.6005,3.7271
GTEX-13O3P-0826-SM-5L3DH,5.7864,4.1517,9.1185,11.2154,8.7249,9.0915,3.5011,4.2528,,,TCGA-BH-A1ET-11,6.036,4.9084,9.3525,10.7263,8.3219,9.6726,4.6902,2.8252
GTEX-Y3I4-1526-SM-4TT7K,7.2871,6.9997,9.6404,11.5263,8.007,9.4196,4.9804,6.3178,,,TCGA-BH-A0BM-11,6.7893,7.0449,8.8519,10.4211,8.4095,9.1482,4.9441,3.4759
