samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-11ZUS-0126-SM-5EQM5,7.0315,4.5733,9.1578,11.0596,9.0384,8.6284,4.8615,5.3698,,,TCGA-22-5489-11,8.2687,6.4659,8.5329,11.0569,7.9999,9.0412,4.7227,5.0449
GTEX-1497J-0326-SM-5Q5CN,6.7372,5.9693,9.1413,11.7483,8.6632,9.3127,5.1791,5.8085,,,TCGA-77-7338-11,6.8795,4.512,8.0571,10.5708,7.5644,8.8594,1.9812,3.6772
GTEX-T6MN-0826-SM-32PM4,7.05,6.1296,9.2035,11.2649,8.7948,8.8297,4.686,4.1641,,,TCGA-90-6837-11,8.9763,6.6701,8.8928,11.0517,7.0195,8.7687,6.0292,4.9467
GTEX-WHPG-1426-SM-3NMBB,7.0087,7.4594,9.5038,11.764,7.8305,9.8183,4.3536,3.8962,,,TCGA-56-7222-11,7.289,1.4539,8.8926,10.9022,7.9932,9.1948,2.6365,2.1631
GTEX-PW2O-0526-SM-2I3DX,9.4834,8.0733,8.9283,11.4783,8.1653,8.7381,6.788,6.8645,,,TCGA-39-5040-11,7.6923,4.0507,8.6209,10.9974,8.4004,9.8621,3.1898,2.958
GTEX-ZDXO-1326-SM-57WBS,7.067,6.6818,9.477,10.9328,8.7854,8.3943,5.561,4.415,,,TCGA-56-8083-11,8.3432,4.5075,8.0419,11.0448,7.9308,8.6424,3.0441,2.3296
GTEX-13O21-3026-SM-5J2NI,7.1917,4.8407,8.3659,11.5227,7.9638,9.3406,2.9844,3.6839,,,TCGA-90-7767-11,7.8665,4.9122,9.2594,11.187,8.0126,9.673,4.8876,4.8109
GTEX-XQ3S-0926-SM-4BOPI,10.1479,8.6668,9.2743,11.2814,8.7013,7.8961,6.4666,6.5424,,,TCGA-51-4081-11,7.9741,6.35,9.6236,11.8935,8.2258,9.6089,5.4522,4.696
GTEX-PVOW-1026-SM-5NQ7M,6.66,4.7196,8.3407,11.362,8.5482,8.6865,4.3228,3.7734,,,TCGA-43-3394-11,8.198,5.8696,8.7477,11.3097,7.9946,8.8175,5.6717,5.5992
GTEX-13NYB-0626-SM-5MR47,7.6574,6.9515,9.071,11.2184,9.5568,8.8654,6.6804,2.45,,,TCGA-56-8082-11,7.2703,5.231,9.6759,11.2666,7.818,9.708,4.2082,3.5022
GTEX-12WSI-0826-SM-5EGKD,8.4478,7.1084,9.3904,11.3105,8.6527,8.6297,6.1423,5.5442,,,TCGA-43-7658-11,8.4446,5.2109,8.1537,10.8825,8.092,8.949,4.2493,5.296
GTEX-13N2G-0826-SM-5IJE6,8.006,5.2027,8.9549,11.1048,9.1147,8.5067,5.1177,5.5001,,,TCGA-51-4079-11,8.7144,5.7584,8.7468,11.3849,8.2112,9.6401,4.3563,4.1701
GTEX-139T6-0426-SM-5IJEM,9.2577,7.5043,9.6603,11.8325,7.7018,8.9737,5.5548,5.7536,,,TCGA-22-5481-11,8.2436,5.5729,8.6284,11.1597,7.9224,9.2148,4.4118,4.4118
GTEX-13NZ9-0926-SM-5KM12,8.2884,7.8995,8.2669,11.522,8.6484,9.0132,5.4874,4.4447,,,TCGA-43-6647-11,7.8382,5.5247,9.0724,11.2634,7.7442,9.2612,3.7871,3.8325
GTEX-13O3P-1026-SM-5N9E7,7.2333,8.0822,8.9921,11.9851,9.2049,9.007,4.3424,5.3064,,,TCGA-43-7657-11,8.1329,5.7971,8.7997,11.0059,7.4274,8.9368,5.0821,5.6608
GTEX-139TT-0726-SM-5K7XW,7.2976,6.8547,10.0857,11.4179,9.0674,9.4736,6.267,4.0684,,,TCGA-56-7731-11,6.9051,5.5491,9.7266,11.3869,8.2238,9.6487,3.8682,3.7193
GTEX-ZPU1-0926-SM-57WDO,8.357,7.6115,9.1851,11.7669,8.4367,9.5521,6.0412,5.8162,,,TCGA-33-4587-11,8.1487,5.491,8.0857,10.6789,8.3031,9.1822,3.8725,4.5695
GTEX-13FHP-0726-SM-5K7YI,7.7462,6.398,8.7874,11.0123,8.9782,8.7602,5.6648,2.6727,,,TCGA-34-8454-11,7.9327,5.8856,8.6664,10.8809,7.8419,8.5431,4.3486,3.902
GTEX-RN64-1226-SM-2TC6E,6.3946,3.9587,8.7099,10.9032,8.9613,8.3697,6.3946,3.5099,,,TCGA-77-7335-11,6.7181,4.4262,8.2225,10.3557,8.2499,8.9244,3.8449,3.8449
GTEX-U3ZM-0426-SM-3DB73,7.6358,5.9781,9.3218,11.5323,8.4677,9.7742,4.0984,4.2935,,,TCGA-77-7142-11,7.4132,5.4004,8.3702,10.5756,8.0051,8.974,3.9996,4.1289
GTEX-OIZI-1026-SM-3NB1K,7.7242,5.4171,8.6312,11.0919,7.8575,8.7114,4.672,4.5091,,,TCGA-85-7710-11,8.3386,8.4643,9.4298,11.2344,9.3418,8.9906,6.0344,7.3679
GTEX-13O3Q-0526-SM-5KM18,7.7886,5.9862,9.2915,11.3571,9.372,8.941,6.5369,3.5108,,,TCGA-56-7823-11,8.5463,6.4156,9.4366,10.9736,7.7951,8.9563,6.2706,5.9438
GTEX-WYJK-0826-SM-3NM8Y,7.9372,5.211,8.4876,11.3886,8.0149,8.6484,4.5308,3.9767,,,TCGA-92-7340-11,7.3983,4.1559,9.2395,10.9045,7.7246,9.2129,4.3269,4.1559
GTEX-QEG4-0526-SM-48TZD,7.5987,6.2554,8.4825,10.9215,8.8778,8.5057,3.6553,2.7654,,,TCGA-77-A5GB-01,10.4906,10.3051,9.9342,11.1076,7.8814,8.8439,8.9956,9.2537
GTEX-SIU7-0526-SM-3NM8I,7.1358,5.7377,9.4178,11.5946,8.2634,9.8506,4.9706,4.264,,,TCGA-43-6771-01,8.8111,9.0757,9.4716,11.3932,6.1109,9.0689,9.2828,7.8219
GTEX-11WQC-0626-SM-5EQMF,7.1995,6.2823,10.1407,11.4413,9.373,9.4736,7.4735,3.5554,,,TCGA-34-2608-01,8.3403,6.8751,9.9032,11.1655,8.3421,9.9568,7.8181,6.4571
