,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-13N11-0526-SM-5IJFI,7.0173,2.103,7.6973,10.7374,8.7425,9.3198,2.9244,0,,,,TCGA-04-1517-01,10.9755,8.966,10.0544,11.5477,9.6268,9.1372,8.2879,9.0583
GTEX-13W3W-1526-SM-5LU5I,7.9155,1.8255,7.6121,11.0432,8.3728,9.4262,2.6061,2.268,,,,TCGA-09-1674-01,11.6354,10.5099,11.2369,11.5021,11.2064,11.3023,9.7097,9.8314
GTEX-YFC4-2726-SM-5IFJW,7.0083,1.7893,7.1144,11.009,10.0528,9.1648,2.8362,1.1559,,,,TCGA-24-2026-01,12.0186,9.6036,10.6918,10.9393,9.2835,10.314,7.7574,9.5907
GTEX-WYBS-2426-SM-4ONDI,8.4176,1.1108,5.8243,10.9892,10.1884,9.0805,2.1631,0,,,,TCGA-04-1331-01,11.495,8.7197,10.9932,11.2554,9.843,9.9711,10.0923,9.4995
GTEX-1399S-2126-SM-5J2MH,7.1954,4.8032,8.9441,11.5232,8.0768,9.5928,4.0834,4.4553,,,,TCGA-04-1337-01,10.4066,7.8893,9.6682,12.143,9.6286,9.0066,8.0385,8.2081
GTEX-13D11-1126-SM-5KLYS,7.5913,4.3549,8.0904,11.454,8.6576,9.3992,3.4847,2.7138,,,,TCGA-04-1338-01,9.4134,8.4476,9.8387,11.0743,11.0277,9.5931,7.03,8.1337
GTEX-POMQ-1426-SM-3P61D,7.5595,3.6927,7.4293,11.4603,9.3684,9.6069,4.7565,1.0598,,,,TCGA-13-0888-01,11.2438,8.4546,10.1009,10.7259,10.0007,10.3334,7.1352,7.7934
GTEX-12WSG-1426-SM-5FQUK,8.006,0,7.0266,11.364,9.1593,9.9355,3.5585,2.676,,,,TCGA-20-0991-01,10.7351,9.4412,9.8073,11.9439,11.2506,8.9165,5.76,7.8014
GTEX-T5JW-0426-SM-4DM7M,8.5489,3.1479,7.1815,11.7487,9.2158,9.9367,3.5216,1.8565,,,,TCGA-24-0966-01,9.7436,10.0702,9.0703,11.8875,10.219,8.8716,8.95,8.7167
GTEX-12WSK-1926-SM-5LZVK,7.902,0,6.4489,10.9565,9.057,9.4718,3.7587,0,,,,TCGA-59-2352-01,9.3868,8.1502,10.4741,10.2269,9.6789,10.1372,7.151,7.6948
