,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
,,,,,,,,,,,,TCGA-24-2035-01,10.1586,9.1424,10.3088,11.4406,10.3002,8.7056,6.5351,7.4511
,,,,,,,,,,,,TCGA-25-1320-01,10.6498,8.9625,10.294,11.8168,10.1618,9.6918,9.1036,10.0079
,,,,,,,,,,,,TCGA-25-1321-01,10.8268,9.168,10.1382,11.9392,10.8299,8.9817,8.976,9.5382
,,,,,,,,,,,,TCGA-25-1626-01,10.4484,8.8669,10.1382,11.4997,9.2088,9.8198,7.557,8.3015
,,,,,,,,,,,,TCGA-30-1862-01,9.0723,7.4788,9.6637,11.6431,10.0951,9.7879,5.996,6.6229
,,,,,,,,,,,,TCGA-61-1914-01,9.9111,8.2183,9.7599,11.1442,10.5974,10.1576,6.4385,8.3643
,,,,,,,,,,,,TCGA-61-2009-01,10.818,7.4537,9.6679,11.329,11.1506,10.0829,6.6465,7.6446
,,,,,,,,,,,,TCGA-13-1509-01,10.6365,7.9022,10.0404,11.0069,9.6456,9.7142,7.584,9.5612
,,,,,,,,,,,,TCGA-23-1030-01,9.6929,9.1539,10.7156,11.873,10.7694,9.7123,6.4698,8.5727
,,,,,,,,,,,,TCGA-23-1119-01,10.4094,7.3915,9.8383,10.4904,9.2604,9.2783,7.0535,8.2003
,,,,,,,,,,,,TCGA-24-1844-01,10.1199,8.7364,9.6597,10.5307,10.5645,9.2886,8.6539,8.724
,,,,,,,,,,,,TCGA-25-1633-01,9.1173,7.1726,9.72,12.0579,11.2798,10.3963,6.4133,7.0129
,,,,,,,,,,,,TCGA-25-2401-01,10.5529,9.8065,10.4966,11.3497,10.2177,8.4747,8.3696,9.5671
,,,,,,,,,,,,TCGA-30-1857-01,10.2152,9.6264,9.2468,10.7748,8.7269,8.3591,6.4517,8.3519
,,,,,,,,,,,,TCGA-09-2048-01,10.2735,6.8676,11.2252,11.3876,10.1417,11.0585,10.26,8.1337
,,,,,,,,,,,,TCGA-10-0926-01,10.5879,9.0742,9.4303,11.0892,11.079,10.2706,7.5886,8.1762
,,,,,,,,,,,,TCGA-13-0760-01,10.6723,9.9807,9.8806,11.9128,7.584,9.2869,5.8614,8.7188
,,,,,,,,,,,,TCGA-13-1505-01,10.2933,9.184,10.0458,11.4758,10.546,10.3516,8.3605,8.4332
,,,,,,,,,,,,TCGA-23-1111-01,10.4073,6.8879,10.6621,11.3372,10.3098,9.6208,6.3702,8.9705
,,,,,,,,,,,,TCGA-23-1809-01,11.4612,10.3633,9.798,11.8547,9.0434,9.7674,9.4258,10.1865
,,,,,,,,,,,,TCGA-24-0970-01,11.6214,9.5636,10.7567,11.4623,10.1629,10.4566,8.9668,8.5167
,,,,,,,,,,,,TCGA-29-1776-01,9.8571,8.1888,10.2516,11.5609,8.7165,9.6102,7.6042,7.9334
,,,,,,,,,,,,TCGA-36-1578-01,8.7831,9.3918,10.5104,11.0852,9.9612,9.1591,6.4392,7.7776
,,,,,,,,,,,,TCGA-36-1581-01,10.5548,9.9845,10.9416,11.8548,9.9628,9.0687,8.8389,10.6709
,,,,,,,,,,,,TCGA-57-1994-01,10.1405,9.9769,10.5954,11.245,10.0036,10.1726,8.4465,8.5114
,,,,,,,,,,,,TCGA-59-2354-01,9.5846,8.1072,9.6625,11.9125,10.5227,9.6654,8.3697,8.6078
,,,,,,,,,,,,TCGA-61-2094-01,10.5576,9.9775,10.2548,12.288,10.2058,9.5756,7.8532,9.6814
,,,,,,,,,,,,TCGA-04-1356-01,10.9213,8.4663,10.3296,10.9938,11.1679,9.0093,8.5422,9.3536
,,,,,,,,,,,,TCGA-09-2056-01,10.4656,7.6619,8.2531,12.1784,9.0865,9.7944,7.2607,8.3367
,,,,,,,,,,,,TCGA-13-1510-01,9.9997,7.177,11.0358,12.1061,8.3541,8.4403,7.6799,9.2439
,,,,,,,,,,,,TCGA-23-1109-01,12.5735,10.4211,9.6937,11.5884,10.2374,9.1064,9.1797,10.8415
,,,,,,,,,,,,TCGA-24-1419-01,9.5184,9.8348,9.4413,11.2385,10.8075,10.0799,7.3729,9.416
,,,,,,,,,,,,TCGA-25-1313-01,9.2371,8.4383,10.4745,11.1279,10.669,8.998,6.0018,8.0441
,,,,,,,,,,,,TCGA-25-1322-01,12.0325,10.2868,10.418,11.7501,10.4463,10.6351,9.2574,11.3766
,,,,,,,,,,,,TCGA-29-1695-01,11.3494,9.3528,11.0658,11.6352,10.369,9.424,8.1199,10.1139
,,,,,,,,,,,,TCGA-29-1697-01,11.1807,9.6879,9.7838,11.567,9.7025,10.0961,10.0009,8.5746
,,,,,,,,,,,,TCGA-61-2098-01,10.7035,8.3671,11.2404,11.6259,10.6441,11.2077,8.9546,9.4115
,,,,,,,,,,,,TCGA-04-1364-01,12.2683,8.9454,10.5212,11.3606,11.6551,10.4278,8.7439,10.3462
,,,,,,,,,,,,TCGA-09-1667-01,10.4744,9.7787,10.8056,11.2793,12.7691,10.5474,7.0848,9.1048
,,,,,,,,,,,,TCGA-13-0883-01,9.6393,6.7469,9.5845,11.4694,10.0898,9.0533,9.1856,8.5716
,,,,,,,,,,,,TCGA-13-1483-01,10.6295,8.5828,11.1373,11.3658,10.0261,9.7602,7.4348,9.7841
,,,,,,,,,,,,TCGA-20-0987-01,11.7837,9.4664,8.5602,11.1939,9.4789,8.4977,5.6137,8.0289
,,,,,,,,,,,,TCGA-24-1423-01,10.7654,8.1566,11.0483,12.2157,10.3032,8.4574,7.8235,8.913
,,,,,,,,,,,,TCGA-25-1326-01,10.9344,9.4346,10.548,11.6834,10.0247,9.7728,8.2632,7.5765
,,,,,,,,,,,,TCGA-30-1855-01,11.5592,9.5636,10.956,11.7404,10.3379,9.543,8.2694,10.0041
,,,,,,,,,,,,TCGA-30-1866-01,10.464,9.4312,9.0699,11.3352,10.0542,9.7281,7.5906,9.4908
,,,,,,,,,,,,TCGA-30-1891-01,9.2064,7.1587,10.6578,11.5488,9.5145,9.7538,5.506,7.9036
,,,,,,,,,,,,TCGA-5X-AA5U-01,10.9824,10.0923,11.7302,12.0311,11.1092,10.5614,9.4965,9.6638
,,,,,,,,,,,,TCGA-61-2111-01,9.4281,8.0194,10.6957,11.2467,10.0446,9.8559,7.5564,8.5835
,,,,,,,,,,,,TCGA-04-1536-01,10.7225,9.2384,9.4684,12.0342,7.6379,8.6723,7.8525,7.7983
,,,,,,,,,,,,TCGA-13-0899-01,10.8802,9.3103,9.9957,11.6194,10.4172,9.5789,7.9224,8.8831
,,,,,,,,,,,,TCGA-13-1495-01,10.4181,9.6766,10.0029,10.9464,10.2411,9.8456,8.2271,8.6061
,,,,,,,,,,,,TCGA-23-1120-01,11.2073,8.9353,11.3012,11.3136,10.4095,9.8314,6.9128,9.4569
,,,,,,,,,,,,TCGA-24-1471-01,8.7732,8.8865,9.901,11.8024,10.7533,9.5486,7.4417,8.0828
,,,,,,,,,,,,TCGA-25-2042-01,9.8995,9.2316,10.2701,11.4709,9.3515,9.4347,7.9342,8.1558
,,,,,,,,,,,,TCGA-29-2425-01,10.7546,8.4341,11.047,11.3609,10.6791,9.9448,7.3176,8.3374
,,,,,,,,,,,,TCGA-29-2427-01,10.2169,7.9339,9.6084,10.6775,9.9732,8.5926,6.0804,9.0468
,,,,,,,,,,,,TCGA-31-1956-01,10.4242,8.6422,10.3192,11.6481,8.8929,8.8411,7.4192,8.5472
,,,,,,,,,,,,TCGA-61-1738-01,8.7231,7.9725,9.8992,10.559,9.6439,9.5802,6.7165,9.4062
,,,,,,,,,,,,TCGA-61-1917-01,11.3187,9.1087,9.9866,11.8267,9.8697,8.9807,7.7378,7.6914
,,,,,,,,,,,,TCGA-04-1362-01,10.7355,8.8606,10.622,11.0274,10.4202,9.4651,8.1911,8.7933
,,,,,,,,,,,,TCGA-13-0900-01,10.5317,9.365,10.3774,11.7278,10.8868,9.7119,8.1741,8.0249
,,,,,,,,,,,,TCGA-13-1408-01,10.6954,8.9038,10.354,11.2039,10.0166,8.8482,8.1713,10.1384
,,,,,,,,,,,,TCGA-13-1488-01,10.0596,8.7468,10.9521,11.2295,9.5585,8.7782,7.1005,9.0443
,,,,,,,,,,,,TCGA-23-1107-01,11.2911,8.2399,8.3302,12.2619,8.55,9.4295,7.2054,9.8601
,,,,,,,,,,,,TCGA-23-1123-01,11.9289,10.6174,9.6396,11.8355,10.5886,10.5003,8.8299,10.1376
,,,,,,,,,,,,TCGA-24-0968-01,10.9624,9.737,10.505,10.9271,9.6418,9.5328,7.9649,8.3399
,,,,,,,,,,,,TCGA-24-1434-01,10.6382,9.0134,9.7066,11.3531,9.6666,9.6793,7.605,9.5256
,,,,,,,,,,,,TCGA-25-1870-01,0,0,0,0,0,0,0,0
,,,,,,,,,,,,TCGA-25-2397-01,9.9723,8.1849,10.4563,11.6281,9.4942,8.5416,5.8005,7.8843
,,,,,,,,,,,,TCGA-29-1762-01,11.2873,8.9114,10.4829,11.8504,10.1443,10.3397,9.5737,9.6007
,,,,,,,,,,,,TCGA-59-2348-01,9.71,9.3941,10.5275,11.6078,8.9189,10.0298,7.1905,8.9514
,,,,,,,,,,,,TCGA-61-1728-01,11.6662,8.8752,9.7171,11.6808,11.1108,9.8787,9.1661,8.7794
,,,,,,,,,,,,TCGA-09-1662-01,10.7235,9.6594,10.9929,11.422,10.2195,9.6974,7.986,9.206
,,,,,,,,,,,,TCGA-09-2054-01,10.641,9.1755,11.3976,11.862,10.1847,10.8911,9.398,9.3136
,,,,,,,,,,,,TCGA-13-0908-01,9.9499,8.0122,10.4653,11.7512,10.6745,9.7618,6.4345,7.9604
,,,,,,,,,,,,TCGA-24-0975-01,10.9951,7.8471,9.8094,11.3564,9.8995,9.1671,7.4523,8.0302
,,,,,,,,,,,,TCGA-24-1427-01,10.7133,8.7981,10.5194,10.9426,9.443,9.4044,8.0897,8.3237
,,,,,,,,,,,,TCGA-24-1549-01,11.5811,10.3553,9.9018,12.0296,9.6198,10.6931,9.1786,9.6793
,,,,,,,,,,,,TCGA-24-2267-01,10.1647,9.2896,10.4868,12.0019,9.5491,9.28,6.596,8.8281
,,,,,,,,,,,,TCGA-29-1783-01,10.7561,8.7109,9.3409,11.7429,10.6898,9.7224,6.731,8.0274
,,,,,,,,,,,,TCGA-29-2428-01,10.7876,9.2924,9.1721,11.3753,10.973,9.2469,7.6287,9.9569
,,,,,,,,,,,,TCGA-30-1853-01,9.1137,7.4884,9.9027,11.3185,10.9785,9.2437,5.8729,7.2903
,,,,,,,,,,,,TCGA-30-1860-01,11.8202,8.8939,9.5748,11.0959,9.6601,9.7849,7.9285,8.7842
,,,,,,,,,,,,TCGA-31-1951-01,10.2534,9.1819,9.9683,11.1153,10.2475,9.6491,8.7209,9.618
,,,,,,,,,,,,TCGA-59-2355-01,9.0027,7.0764,10.5275,11.0238,11.0736,9.541,7.5195,8.7855
,,,,,,,,,,,,TCGA-61-1919-01,10.601,8.887,10.9744,11.4922,10.7634,9.6523,7.1303,9.2304
,,,,,,,,,,,,TCGA-04-1361-01,10.4832,9.0607,9.9391,11.048,9.4265,9.6198,6.8536,8.5997
,,,,,,,,,,,,TCGA-04-1648-01,9.2749,6.7601,10.4563,12.0766,10.3371,9.8773,5.9756,7.5084
,,,,,,,,,,,,TCGA-09-1666-01,10.0071,7.6333,10.6002,11.0336,9.7866,9.2814,8.1739,8.2265
,,,,,,,,,,,,TCGA-09-1668-01,11.023,8.7452,10.5628,11.0813,10.7274,9.7494,8.3045,9.761
,,,,,,,,,,,,TCGA-09-1670-01,10.0061,8.7333,9.9969,11.2134,10.2803,9.4471,7.7976,8.3662
,,,,,,,,,,,,TCGA-13-1410-01,12.4151,9.6314,9.6126,11.5195,10.2397,9.1367,7.9999,10.9743
,,,,,,,,,,,,TCGA-24-1435-01,11.0322,9.1231,11.4773,11.1606,9.5775,9.6703,8.7954,8.9695
,,,,,,,,,,,,TCGA-24-1436-01,11.4093,9.8626,9.9476,11.5288,10.7383,9.4517,7.8189,8.9425
,,,,,,,,,,,,TCGA-24-1474-01,12.1633,12.44,11.3563,11.1984,9.9657,10.365,10.7936,10.5566
,,,,,,,,,,,,TCGA-24-1548-01,11.7462,10.3991,10.9302,12.2815,10.2337,10.5298,9.4043,9.4117
,,,,,,,,,,,,TCGA-24-2262-01,10.356,8.6144,10.1215,11.9912,9.589,9.5071,9.563,9.2964
,,,,,,,,,,,,TCGA-25-2391-01,10.7115,8.4151,10.2689,11.0686,9.1465,10.1713,8.31,9.3193
,,,,,,,,,,,,TCGA-29-1699-01,11.6066,10.0641,10.2048,11.5434,10.4393,10.0251,7.5792,9.6883
,,,,,,,,,,,,TCGA-57-1583-01,10.3126,9.0092,10.9169,12.8192,10.5211,9.8701,6.4694,8.9952
,,,,,,,,,,,,TCGA-57-1585-01,10.6638,9.2213,10.9452,11.4624,9.5607,9.3992,7.7045,9.3628
,,,,,,,,,,,,TCGA-61-2092-01,9.3837,8.2702,9.485,11.8306,9.9108,8.8737,7.4307,8.1217
,,,,,,,,,,,,TCGA-09-0369-01,11.4215,10.1923,9.4908,13.0278,10.9055,10.6109,8.992,8.6533
,,,,,,,,,,,,TCGA-13-0890-01,11.253,9.305,9.9948,12.6675,10.6002,9.6701,7.1149,8.5007
,,,,,,,,,,,,TCGA-13-1499-01,11.1715,7.7801,10.0465,11.5181,10.5652,9.4041,7.1843,8.0779
,,,,,,,,,,,,TCGA-20-1682-01,11.3458,8.4069,10.259,10.6002,9.091,9.0393,7.5926,9.8768
,,,,,,,,,,,,TCGA-24-1104-01,10.0391,9.2336,10.0866,11.1287,9.7197,9.2888,6.4064,8.3386
,,,,,,,,,,,,TCGA-24-1616-01,10.4322,9.2965,10.1326,12.0304,9.0235,9.8866,6.6589,8.8603
,,,,,,,,,,,,TCGA-24-2290-01,10.7514,8.7967,10.9086,12.4284,10.6441,9.4986,9.0763,10.5144
,,,,,,,,,,,,TCGA-24-2297-01,10.0562,9.3853,10.6851,11.5278,10.3626,9.7733,8.8255,10.0874
,,,,,,,,,,,,TCGA-29-1701-01,10.6559,9.4229,9.9067,11.4476,10.1702,10.4798,8.2109,9.6568
,,,,,,,,,,,,TCGA-29-1703-01,11.0974,9.2067,9.7508,10.1528,10.2369,9.5853,7.562,9.3913
,,,,,,,,,,,,TCGA-57-1993-01,10.7573,10.0264,10.1666,11.4202,9.5175,9.5829,9.4009,9.6716
,,,,,,,,,,,,TCGA-61-1910-01,9.581,9.3332,11.0623,11.4266,10.8308,9.9018,7.0421,9.3984
,,,,,,,,,,,,TCGA-61-2110-01,9.8758,9.7397,9.6305,12.0707,9.4702,9.6376,6.4612,8.4663
,,,,,,,,,,,,TCGA-09-0366-01,10.3675,9.1674,9.8269,12.232,9.3679,9.7679,7.345,8.6244
,,,,,,,,,,,,TCGA-13-0714-01,10.0894,9.4746,9.7687,11.8176,9.7858,7.7333,6.1974,9.1464
,,,,,,,,,,,,TCGA-13-0726-01,10.0492,7.9538,9.1695,10.5993,10.0703,9.0683,5.4988,8.0196
,,,,,,,,,,,,TCGA-13-0911-01,11.0414,9.1339,8.8113,12.3625,8.9877,8.9756,6.1251,7.3904
,,,,,,,,,,,,TCGA-23-1114-01,10.9656,9.8825,11.0551,11.0381,11.2451,10.4226,8.6014,9.1031
,,,,,,,,,,,,TCGA-24-2271-01,9.4808,8.2958,9.3714,11.4093,10.3409,8.9453,7.2881,9.0674
,,,,,,,,,,,,TCGA-24-2298-01,11.6599,9.9048,9.6717,11.0875,9.5004,9.0889,7.9193,8.7842
,,,,,,,,,,,,TCGA-25-1316-01,9.2335,8.087,9.3441,11.0195,9.749,9.479,8.6671,8.1208
,,,,,,,,,,,,TCGA-29-1784-01,11.1966,9.1608,9.646,11.3867,10.9087,9.7574,8.2526,8.9654
,,,,,,,,,,,,TCGA-29-1785-01,10.6226,8.5813,9.9288,10.8039,9.3115,9.3354,7.6042,8.7499
,,,,,,,,,,,,TCGA-3P-A9WA-01,11.297,10.8046,10.1504,12.5942,10.6681,10.2715,9.1407,9.8285
,,,,,,,,,,,,TCGA-59-A5PD-01,11.132,10.3435,11.0869,11.5351,11.0083,11.0418,10.4837,10.0884
,,,,,,,,,,,,TCGA-61-1911-01,10.1109,8.5263,9.2386,11.5254,10.0744,8.8501,5.7619,8.2287
,,,,,,,,,,,,TCGA-61-2101-01,10.7224,7.8418,10.3139,11.5842,10.255,9.8268,7.1375,8.3884
,,,,,,,,,,,,TCGA-VG-A8LO-01,10.4805,8.7531,11.326,11.7065,10.6797,9.9751,7.9613,9.4389
,,,,,,,,,,,,TCGA-09-1669-01,10.5823,8.4192,10.8338,11.5225,10.527,9.9429,8.2017,10.3678
,,,,,,,,,,,,TCGA-13-0897-01,10.8899,8.6128,8.3139,10.7684,9.7278,9.8142,8.3743,8.3444
,,,,,,,,,,,,TCGA-24-1417-01,10.3071,9.1503,10.7404,11.294,10.0885,9.5631,7.8662,9.6573
,,,,,,,,,,,,TCGA-24-1470-01,11.0538,9.6419,10.7721,11.5961,9.3377,10.3941,9.161,9.4554
,,,,,,,,,,,,TCGA-24-1567-01,10.69,8.6618,9.8765,11.3088,9.5463,11.0404,8.0291,9.3315
,,,,,,,,,,,,TCGA-24-2023-01,10.9577,9.784,9.8945,11.4955,10.2013,9.9038,6.5325,9.3184
,,,,,,,,,,,,TCGA-25-1318-01,9.9331,8.9283,9.9297,10.615,9.9872,9.6346,8.0431,8.5413
,,,,,,,,,,,,TCGA-29-1710-01,8.8422,8.6586,10.0962,11.7866,9.1303,9.7907,5.6409,8.2419
,,,,,,,,,,,,TCGA-29-1770-01,11.0566,8.846,10.4538,11.1071,9.7548,9.1701,6.8275,8.5741
,,,,,,,,,,,,TCGA-61-2095-01,9.5916,8.3737,10.417,11.9219,9.8643,9.3981,7.9101,8.1948
,,,,,,,,,,,,TCGA-04-1651-01,11.1111,8.9818,11.2076,11.4273,9.7063,10.0078,7.4008,9.1005
,,,,,,,,,,,,TCGA-23-1122-01,11.1152,10.3277,10.8764,11.5621,9.3517,9.8446,8.5075,10.234
,,,,,,,,,,,,TCGA-24-0979-01,10.3422,9.0014,10.0566,10.8391,11.1359,9.9272,9.5353,8.9994
,,,,,,,,,,,,TCGA-24-1551-01,11.4952,9.5156,9.7452,11.3376,9.5063,9.4976,8.7948,9.3083
,,,,,,,,,,,,TCGA-24-1553-01,9.4484,8.5471,10.257,11.1237,9.9192,9.5967,5.1505,7.9154
,,,,,,,,,,,,TCGA-24-1603-01,10.811,9.539,10.4477,11.4177,10.1036,9.794,8.2347,9.7481
,,,,,,,,,,,,TCGA-24-1930-01,10.9065,8.3263,9.8789,11.9539,9.8887,8.8831,7.0923,7.8951
,,,,,,,,,,,,TCGA-29-1698-01,11.5035,9.9237,10.318,11.3674,10.2366,10.7912,8.6148,10.3127
,,,,,,,,,,,,TCGA-36-1571-01,10.4149,9.4513,9.5727,11.2512,11.6536,10.7942,11.5848,9.6438
,,,,,,,,,,,,TCGA-61-1743-01,11.1995,9.0339,11.8265,11.8066,11.0472,9.4232,8.4708,9.3969
,,,,,,,,,,,,TCGA-61-2003-01,10.2093,8.8979,10.561,11.4724,9.6114,9.3996,7.3895,8.9668
,,,,,,,,,,,,TCGA-61-2104-01,10.1628,8.8522,11.6693,11.7995,9.8499,9.7976,7.5052,9.2851
,,,,,,,,,,,,TCGA-61-2113-01,10.8834,9.23,12.3974,11.8219,10.4122,10.4396,8.574,9.8802
,,,,,,,,,,,,TCGA-04-1357-01,9.9564,7.9252,10.3487,11.5816,10.4827,8.3519,5.9054,7.3495
,,,,,,,,,,,,TCGA-04-1542-01,11.0438,7.7824,10.0097,12.414,10.7497,9.4768,4.4168,6.8727
,,,,,,,,,,,,TCGA-13-0800-01,10.1925,8.1962,11.3015,11.9171,11.5365,11.0633,8.6345,8.2175
,,,,,,,,,,,,TCGA-13-0919-01,10.6298,9.0463,9.537,11.3777,11.422,9.6427,5.7197,8.6163
,,,,,,,,,,,,TCGA-13-1482-01,11.2073,8.2473,10.9422,12.0439,9.7722,9.4446,8.3063,8.7346
,,,,,,,,,,,,TCGA-13-1511-01,10.4894,9.0328,10.0221,11.0738,9.4925,9.2298,7.6252,9.622
,,,,,,,,,,,,TCGA-23-1024-01,10.0924,10.1382,9.1536,12.5376,10.3541,10.2927,6.3332,9.13
,,,,,,,,,,,,TCGA-30-1892-01,8.9796,7.1794,9.4048,10.3993,10.0443,8.728,6.9402,7.761
,,,,,,,,,,,,TCGA-31-1953-01,10.5786,9.9806,10.742,11.6491,9.434,9.8531,8.7176,9.6502
,,,,,,,,,,,,TCGA-36-1568-01,9.2053,8.3218,10.4821,11.5249,9.2601,9.9753,6.2482,7.4925
,,,,,,,,,,,,TCGA-36-1569-01,9.082,7.5161,9.7335,10.6749,10.4965,9.5349,5.6598,7.1951
,,,,,,,,,,,,TCGA-09-1659-01,11.0104,8.681,9.4997,11.8333,10.6313,9.3279,6.7556,8.268
,,,,,,,,,,,,TCGA-13-0905-01,10.3159,7.3595,9.8306,11.4552,9.2584,9.2868,7.7661,9.6442
,,,,,,,,,,,,TCGA-13-1407-01,11.2073,9.3567,11.576,11.2128,10.5753,10.5249,8.7224,9.2251
,,,,,,,,,,,,TCGA-13-2060-01,10.7257,8.9082,10.3212,11.782,10.5153,10.0439,7.3199,9.4935
,,,,,,,,,,,,TCGA-20-1684-01,11.4386,9.0004,10.6581,12.4078,10.7782,10.576,9.4584,10.0909
,,,,,,,,,,,,TCGA-24-1413-01,9.011,7.308,10.4881,11.1069,10.7454,9.5735,9.137,8.253
,,,,,,,,,,,,TCGA-24-1467-01,9.4585,9.3732,10.1031,12.0272,10.7475,10.0958,10.7879,8.9843
,,,,,,,,,,,,TCGA-24-1560-01,9.3922,8.8837,9.6083,11.5857,10.1599,10.4354,8.2873,8.6838
,,,,,,,,,,,,TCGA-24-1923-01,9.6023,9.1983,9.441,11.0421,9.3971,9.3731,7.3274,8.6827
,,,,,,,,,,,,TCGA-24-2027-01,11.4818,9.3196,9.2864,13.0648,9.7756,10.687,11.0956,9.9871
,,,,,,,,,,,,TCGA-29-1691-01,11.6712,9.9805,10.8215,11.1194,9.5963,10.666,9.3005,9.3031
,,,,,,,,,,,,TCGA-59-2351-01,11.003,9.2407,10.722,11.4361,9.8265,9.4058,7.7891,9.5049
,,,,,,,,,,,,TCGA-61-1900-01,11.3938,9.3374,10.7879,11.6062,8.0107,10.9952,9.7213,9.4735
,,,,,,,,,,,,TCGA-61-2016-01,10.0981,8.5655,9.8161,11.8903,10.1763,9.4025,7.6792,8.7036
,,,,,,,,,,,,TCGA-61-2088-01,9.7892,9.3142,10.6296,11.7884,10.9866,10.5037,7.8799,8.5092
,,,,,,,,,,,,TCGA-09-1673-01,10.4634,9.3599,10.9187,11.9716,10.6245,9.8519,7.1455,8.0339
,,,,,,,,,,,,TCGA-09-2045-01,8.0509,9.3257,9.9519,11.9426,8.7693,10.176,6.8238,8.1616
,,,,,,,,,,,,TCGA-10-0934-01,11.0533,9.7669,9.6067,12.3565,9.0528,9.6067,7.215,7.7865
,,,,,,,,,,,,TCGA-13-0765-01,8.0092,8.8491,7.7031,12.223,9.2558,9.5342,4.8514,6.5596
,,,,,,,,,,,,TCGA-13-0906-01,9.7338,8.8668,10.47,11.0216,9.9433,10.5092,8.7702,9.5622
,,,,,,,,,,,,TCGA-13-1501-01,11.1706,8.6206,10.1415,10.6235,9.9251,8.6,7.1641,9.3595
,,,,,,,,,,,,TCGA-24-1103-01,10.9819,7.7566,9.7435,11.2196,9.8515,8.6525,10.1738,10.2854
,,,,,,,,,,,,TCGA-24-1428-01,12.292,10.9137,10.1512,12.5133,9.5491,9.4408,8.3619,9.4422
,,,,,,,,,,,,TCGA-24-1555-01,9.8851,9.2979,10.5894,11.6241,10.723,9.3532,7.7431,9.2003
,,,,,,,,,,,,TCGA-24-1556-01,12.0356,10.9472,10.5844,11.5664,10.1953,9.9819,10.1175,10.9253
,,,,,,,,,,,,TCGA-24-2036-01,10.6602,9.6348,11.3793,11.0621,10.1075,10.6219,9.1697,10.1726
,,,,,,,,,,,,TCGA-25-1315-01,10.7122,8.6847,10.5777,11.6736,10.8136,10.7887,8.5095,9.1656
,,,,,,,,,,,,TCGA-29-1768-01,8.2903,6.7329,9.8294,10.4219,9.4099,9.0075,5.1476,7.6335
,,,,,,,,,,,,TCGA-57-1582-01,11.2314,9.6306,10.4745,11.0666,11.4595,9.3883,8.5634,8.8381
,,,,,,,,,,,,TCGA-04-1655-01,9.5148,7.0192,9.2816,11.2344,9.0355,10.5489,7.7713,7.9632
,,,,,,,,,,,,TCGA-13-0797-01,11.612,10.9582,9.7043,11.3081,8.3056,9.2994,6.6801,9.3777
,,,,,,,,,,,,TCGA-13-0916-01,12.2419,10.6888,10.6434,12.4485,9.9757,9.4314,8.9335,10.2759
,,,,,,,,,,,,TCGA-13-1405-01,11.184,9.5067,10.1313,11.2426,9.6019,9.7976,8.13,10.196
,,,,,,,,,,,,TCGA-13-1477-01,10.0222,6.7766,10.0127,11.2316,9.7547,9.0594,7.2417,6.8871
,,,,,,,,,,,,TCGA-13-1512-01,10.4694,9.5647,10.1282,11.2926,11.1338,9.8811,7.5041,9.31
,,,,,,,,,,,,TCGA-23-2081-01,10.014,7.9381,10.5784,11.3506,10.2575,10.5418,7.4366,8.9262
,,,,,,,,,,,,TCGA-24-1550-01,10.8116,9.2805,10.4691,11.5461,10.0381,10.863,8.31,8.1775
,,,,,,,,,,,,TCGA-24-1557-01,10.7076,8.9342,10.2035,11.5977,9.8133,9.2356,7.244,9.9255
,,,,,,,,,,,,TCGA-24-1842-01,10.9861,10.1915,10.5523,12.9274,9.8693,9.4256,8.0497,9.3096
,,,,,,,,,,,,TCGA-31-1959-01,9.8267,8.7561,10.3764,11.2702,9.2555,10.9457,7.6289,8.3888
,,,,,,,,,,,,TCGA-36-1570-01,10.9753,9.163,10.0214,11.3641,10.4089,9.621,10.5642,10.8167
,,,,,,,,,,,,TCGA-04-1519-01,8.8329,6.2826,9.5443,12.035,10.3316,9.8865,6.8567,7.8168
,,,,,,,,,,,,TCGA-13-0720-01,8.5091,7.1863,9.1817,11.1904,10.4132,9.5047,7.7566,8.2423
,,,,,,,,,,,,TCGA-13-0893-01,11.9329,9.3994,10.2853,11.3416,10.9601,9.3227,9.4761,10.4387
,,,,,,,,,,,,TCGA-13-1403-01,10.2579,7.843,10.4783,11.2614,9.805,9.9638,7.0904,8.47
,,,,,,,,,,,,TCGA-13-1404-01,11.0738,10.2417,11.1217,10.9318,10.0137,9.8879,8.8853,9.1983
,,,,,,,,,,,,TCGA-13-1485-01,9.3521,7.0937,9.2375,11.618,10.0854,8.9033,8.5681,7.3484
,,,,,,,,,,,,TCGA-23-1027-01,11.1627,9.8886,10.2131,11.9093,9.7628,9.4136,7.8961,8.4921
,,,,,,,,,,,,TCGA-23-1113-01,10.483,9.4553,9.1012,11.7532,10,9.6468,7.3804,8.6814
,,,,,,,,,,,,TCGA-36-1574-01,11.1296,9.4022,9.973,12.0805,10.0079,8.8347,8.613,9.8066
,,,,,,,,,,,,TCGA-61-1998-01,10.041,8.7048,10.6448,10.7975,10.7315,9.2815,8.6742,9.4404
,,,,,,,,,,,,TCGA-OY-A56P-01,9.7814,9.2171,11.1805,10.7932,10.6179,10.377,9.3535,8.7445
,,,,,,,,,,,,TCGA-13-1497-01,11.255,9.27,10.3844,11.6728,10.6542,10.2171,9.3991,9.8072
,,,,,,,,,,,,TCGA-24-2293-01,10.5681,9.1622,10.7327,11.3148,9.7052,9.76,8.0584,8.939
