,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-SNOS-0008-SM-4DM6I,6.2677,1.7093,10.1192,11.7974,8.1178,9.9872,7.3515,1.0943,,,TCGA-EE-A29D-06,10.1627,8.0677,10.789,10.0866,5.4076,10.8278,9.6879,7.1438
GTEX-NFK9-0008-SM-4E3JE,9.227,7.4442,10.1326,11.2697,6.8491,8.9202,8.4877,7.318,,,TCGA-EE-A29V-06,11.4335,9.7959,10.5865,11.4427,6.0945,10.198,8.8673,6.6456
GTEX-P4QR-0008-SM-48TE2,8.2147,5.8324,9.98,11.1382,7.2269,9.197,9.772,5.9239,,,TCGA-W3-AA1O-06,10.0129,9.2477,10.75,10.5497,7.94,10.4968,9.4884,8.6944
GTEX-OHPM-0008-SM-4E3IP,9.5614,7.668,10.1015,11.4993,6.857,8.7958,9.1041,7.3307,,,TCGA-EE-A2GJ-06,9.4604,8.3646,11.0324,10.7977,8.8839,9.9421,7.9024,7.3086
GTEX-Y8E5-0008-SM-57WBA,9.3293,7.6876,10.1221,11.0119,6.6816,8.9525,9.4806,8.2533,,,TCGA-3N-A9WC-06,9.5452,9.106,10.5585,11.2304,10.092,8.9754,8.3578,6.0029
GTEX-ZT9W-0008-SM-4YCDJ,8.8549,7.0091,10.3185,11.3623,6.6946,8.9156,8.3661,6.8609,,,TCGA-3N-A9WD-06,9.9039,8.3089,10.0205,11.127,8.2912,9.4796,6.2325,6.563
GTEX-11DXY-0008-SM-5QGR4,8.8967,6.8458,10.247,11.1163,7.4641,9.2435,8.6717,7.126,,,TCGA-D9-A1JW-06,10.0009,8.4951,10.9936,10.8156,8.4566,9.8369,7.596,6.2359
GTEX-11DYG-0008-SM-5QGR5,7.5403,6.2775,9.8181,11.2634,7.0447,8.9736,6.9984,6.1671,,,TCGA-EE-A2GC-06,9.6774,7.5067,10.4587,10.6128,8.9892,10.1018,9.0794,6.3621
GTEX-O5YW-0008-SM-4E3IE,8.3737,6.3078,9.8956,11.0375,7.3988,8.8749,7.8499,6.5404,,,TCGA-ER-A19F-06,9.8385,8.3712,11.0326,11.0268,7.5118,9.8737,8.5769,7.9064
GTEX-WWTW-0008-SM-4MVPE,8.7586,6.3265,10.1474,11.1413,7.3349,8.7102,8.1307,6.7497,,,TCGA-DA-A1IC-06,9.3408,7.6784,11.1463,11.1627,6.4951,9.9865,8.922,4.9486
GTEX-11EQ9-0008-SM-5Q5DK,6.8462,5.6404,9.575,11.1721,7.7231,9.4176,6.3657,5.4519,,,TCGA-EE-A2GP-06,10.899,8.9809,10.7253,11.3233,8.4201,10.0657,8.9136,8.0426
GTEX-P4QS-0008-SM-48TDY,4.9505,0,9.6793,11.0352,7.2866,9.0111,5.3352,3.3853,,,TCGA-FS-A4F9-06,11.0587,8.4639,11.2716,11.4105,8.1072,10.1274,7.8093,7.2826
GTEX-QEG4-0008-SM-48TYZ,5.5394,2.1701,9.8463,12.1022,7.3472,9.8929,7.7133,1.7371,,,TCGA-EE-A20I-06,10.5805,9.0696,11.1762,10.6298,6.6848,9.6696,9.4117,5.6964
GTEX-ZVP2-0008-SM-51MSL,9.3732,8.0977,10.0961,11.4283,6.6104,8.8557,9.231,8.1263,,,TCGA-EE-A29S-06,11.3687,9.5723,11.343,11.4072,9.0501,9.9073,7.47,6.4528
GTEX-117YW-0008-SM-5QGRD,8.4371,6.7116,10.0518,11.3209,7.4946,8.7957,7.6956,6.2209,,,TCGA-ER-A19A-06,10.4058,9.5187,10.2672,11.1087,8.05,9.2395,7.831,7.4877
GTEX-Q2AI-0008-SM-48U2H,6.3843,2.198,10.2051,12.2439,7.7981,10.1687,9.3428,2.198,,,TCGA-WE-A8K6-06,9.259,5.2939,9.7571,11.3003,9.3791,9.0124,6.5653,4.6432
GTEX-X261-0008-SM-4PR11,8.3177,7.2287,9.9197,11.1416,7.1752,8.6112,7.8684,6.566,,,TCGA-EE-A29L-06,11.552,9.5722,11.0174,11.2116,7.4552,10.0123,10.3939,4.0996
GTEX-ZTTD-0008-SM-51MQV,8.9376,6.781,10.329,11.2221,7.0191,9.2036,8.1119,7.0015,,,TCGA-EE-A29N-06,10.6079,9.2615,10.463,11.7936,7.7198,10.4401,9.4359,7.4125
GTEX-ZXG5-0008-SM-57WDB,7.1125,5.7506,9.5609,10.9617,7.4283,8.7301,6.6449,5.1964,,,TCGA-EE-A2GR-06,10.221,8.1176,11.0146,11.0114,8.3133,9.6114,8.6167,6.4692
GTEX-P44H-0008-SM-48TDW,5.495,1.5871,9.8782,11.5115,7.3675,9.4851,7.855,3.1728,,,TCGA-FR-A8YC-06,8.6769,7.372,10.6036,11.6924,8.7345,10.2039,6.8039,6.6874
GTEX-ZVZP-0008-SM-51MSX,9.7931,7.9898,10.1679,11.6703,7.0815,9.2078,9.3577,7.8633,,,TCGA-GF-A6C9-06,11.6977,9.5624,10.2083,11.0598,9.0099,9.0609,6.6333,8.0328
GTEX-11GS4-0008-SM-5QGRA,7.6264,5.9967,9.9561,10.8989,7.0961,8.7279,6.9546,5.0486,,,TCGA-D3-A8GP-06,10.0952,8.2807,10.3803,11.4818,8.2752,9.9147,7.402,6.3185
GTEX-QDVJ-0008-SM-48U2E,5.6848,1.068,9.9876,12.2486,7.8527,9.8827,7.7396,0,,,TCGA-EE-A2GT-06,9.5563,8.9452,11.5304,11.225,7.3745,9.7742,7.7168,6.675
GTEX-YECK-0008-SM-4W1ZG,9.3674,7.7588,9.5324,11.4029,7.9361,9.0207,8.812,7.8752,,,TCGA-ER-A19C-06,10.016,8.6258,11.76,11.1259,9.0062,9.5511,8.2689,6.3207
GTEX-ZTSS-0008-SM-4YCE8,9.5457,8.1654,9.9828,11.1661,6.9512,9.187,9.4706,8.8719,,,TCGA-RP-A693-06,10.6139,8.7663,9.9901,11.0978,6.5064,9.6349,7.7207,6.5022
GTEX-113IC-0008-SM-5QGRF,7.7413,6.2892,9.8425,11.0481,7.5075,8.7647,7.2296,6.6934,,,TCGA-D3-A2J9-06,8.4754,8.4114,11.0929,11.4575,8.6954,9.3544,6.7001,7.4509
GTEX-WK11-0008-SM-4OOSX,5.2255,1.9264,9.7069,11.3851,7.8019,9.2598,7.2371,0,,,TCGA-EE-A3JE-06,8.9961,7.8504,9.9947,10.7737,7.5095,9.1389,9.1178,6.3553
GTEX-O5YU-0008-SM-4E3I7,10.5777,8.1501,10.3233,11.8698,6.938,9.3202,10.3027,7.9798,,,TCGA-YD-A9TA-06,11.092,10.1444,11.4664,12.1182,9.0693,10.8466,9.6403,8.3124
GTEX-11EQ8-0008-SM-5Q5DJ,8.0035,6.4547,10.0569,11.1342,6.8997,9.1371,7.1925,5.9758,,,TCGA-D3-A2JF-06,10.5755,7.8102,9.4246,10.4682,8.692,9.3417,7.3612,6.9096
GTEX-11PRG-0008-SM-5S2N5,6.9522,5.0556,9.5775,11.128,7.7169,9.3605,6.6653,5.6968,,,TCGA-D3-A5GL-06,10.4951,7.968,10.3696,11.2617,6.999,9.4788,9.734,5.3149
GTEX-NL4W-0008-SM-4E3I2,9.8701,7.9196,10.0359,11.4593,6.7069,9.0081,9.3723,7.3024,,,TCGA-FS-A1ZM-06,9.7245,8.3989,10.3577,11.2053,8.365,10.8429,7.9137,7.3063
GTEX-O5YT-0008-SM-4E3IQ,10.4224,8.0811,10.305,11.6615,6.6286,9.3398,10.2282,8.009,,,TCGA-WE-A8K1-06,11.4631,8.9769,10.5905,11.3238,7.6221,10.0198,9.6285,6.396
GTEX-OOBJ-0008-SM-3NB26,5.6705,0.7361,9.7434,11.8218,7.7854,9.9357,7.7145,0,,,TCGA-D3-A8GM-06,11.4628,9.1348,10.5802,10.6056,7.1455,10.135,11.2162,6.9853
GTEX-Q2AH-0008-SM-48U2J,8.9188,6.807,9.6447,11.1426,7.1983,8.9449,9.2677,6.9165,,,TCGA-EE-A2MC-06,9.7403,7.4297,9.6126,11.9937,8.7174,9.8471,11.3788,7.5441
GTEX-RVPV-0008-SM-47JYW,9.8777,7.5774,10.0261,11.62,6.5738,9.0469,10.1312,7.5056,,,TCGA-GN-A4U4-06,10.0685,8.458,11.175,10.8896,8.0517,10.027,7.5264,5.8014
GTEX-11WQK-0008-SM-5SI6T,9.2157,7.3232,10.0544,11.2721,7.0239,9.1474,8.3428,7.5799,,,TCGA-QB-AA9O-06,10.9318,8.6854,10.5902,10.9776,8.3962,9.6605,7.3852,6.5111
GTEX-XQ8I-0008-SM-4WAWM,8.1488,6.2898,9.8051,11.2753,7.6833,9.0264,7.5873,6.3541,,,TCGA-D3-A1Q9-06,10.3703,7.2239,9.7013,11.8009,5.5543,9.3996,10.387,8.3884
GTEX-1192W-0008-SM-5QGRE,7.8251,5.6498,9.8364,11.0278,7.3972,8.6433,7.4365,5.0996,,,TCGA-EE-A184-06,10.8535,8.0033,11.2517,10.7637,7.0075,9.7391,8.2959,5.6441
GTEX-UJMC-0008-SM-4IHKK,10.6684,8.971,10.2031,11.5363,6.2597,8.9795,10.0138,8.9809,,,TCGA-EE-A2MS-06,11.9856,9.7004,11.6079,11.1543,8.6753,10.434,8.2416,8.05
GTEX-OHPJ-0008-SM-4E3JG,10.448,8.0343,10.2398,11.7562,6.3397,9.2015,9.7146,8.0546,,,TCGA-EE-A3J4-06,9.3651,7.616,9.2474,11.2023,8.7581,9.5991,9.6727,6.2946
GTEX-SUCS-0008-SM-4DM53,9.481,6.5387,10.0956,11.3619,7.1326,9.0303,9.5136,6.4454,,,TCGA-3N-A9WB-06,11.82,9.1057,10.4713,11.1653,7.0843,9.8996,8.2154,7.492
GTEX-11DZ1-0008-SM-5QGR3,8.576,6.8441,9.9773,11.0323,6.7302,8.8393,8.1432,6.1279,,,TCGA-EB-A5UL-06,11.7284,9.752,11.0564,11.999,8.66,9.6669,8.979,8.2982
GTEX-11ZU8-0008-SM-5S2VO,8.8513,7.7622,9.9286,11.1769,7.2058,8.7807,8.7771,8.129,,,TCGA-EE-A2A2-06,10.4347,9.315,11.4145,11.2055,8.3201,10.2223,9.4514,8.1941
GTEX-11ZUS-0008-SM-5S2UO,10.2377,9.0582,9.8216,11.0015,6.6446,9.0086,9.3224,8.8656,,,TCGA-EE-A2MU-06,11.41,9.411,10.2962,11.1169,7.6359,9.6246,8.9377,6.9126
GTEX-ZV7C-0008-SM-57WCL,9.4124,7.7517,9.8903,11.3669,6.7514,8.7592,9.5687,7.5988,,,TCGA-EE-A3J5-06,10.2113,8.3893,10.4936,11.2344,8.5692,10.4392,7.7713,6.6997
GTEX-ZTX8-0008-SM-4YCDV,8.9915,7.5989,9.9674,11.0981,6.8042,9.0131,8.837,7.9399,,,TCGA-FS-A1ZY-06,10.0585,8.9846,11.076,11.601,7.8834,9.5301,7.7519,7.4296
GTEX-111VG-0008-SM-5Q5BG,9.6698,7.9942,10.1496,11.4097,6.8267,8.8884,9.0025,7.6106,,,TCGA-GN-A4U9-06,11.9561,10.2386,12.4289,12.3878,10.3926,10.7069,9.9996,8.82
GTEX-WCDI-0008-SM-47JYE,10.3513,8.1638,10.2983,11.6353,6.5974,9.117,9.5855,8.3604,,,TCGA-RP-A694-06,10.5754,8.1942,10.8297,11.3712,9.0498,10.1578,8.0991,6.5155
GTEX-11LCK-0008-SM-5Q5BB,7.2049,5.9908,9.7933,10.9387,7.4815,8.9461,6.9129,6.0228,,,TCGA-W3-AA1R-06,11.5701,9.1151,11.1476,11.401,8.7911,10.4225,9.3836,8.1589
GTEX-N7MS-0008-SM-4E3JI,9.9867,7.8669,10.0771,11.6304,6.6847,9.0306,9.5067,7.8892,,,TCGA-D3-A3ML-06,9.8582,8.3848,11.3116,11.1022,10.4183,10.2089,7.8486,6.5071
GTEX-POYW-0008-SM-48TE4,9.8887,7.5633,10.1191,11.5087,6.226,9.0645,10.0085,7.6383,,,TCGA-D9-A6EA-06,12.4685,9.7526,10.2504,11.6466,8.2801,9.8648,8.4798,6.8442
GTEX-R55F-0008-SM-48FE6,8.3835,4.8501,10.1344,11.423,7.6811,9.1651,8.0589,5.0653,,,TCGA-EE-A3JD-06,9.4409,9.085,9.911,10.8872,8.9114,9.418,8.7536,8.1333
GTEX-OIZG-0008-SM-4E3J2,9.7104,8.0382,10.1548,11.5146,6.7727,8.8729,9.1695,7.7324,,,TCGA-GN-A8LK-06,10.9527,9.0918,10.9772,10.5777,5.5576,10.2032,8.5867,7.891
GTEX-11EI6-0008-SM-5QGR7,8.584,6.0739,9.837,10.9996,6.7337,8.6739,8.2083,6.1065,,,TCGA-WE-A8JZ-06,10.7608,8.2992,9.3195,10.4014,7.7674,9.9841,7.9531,7.7068
GTEX-YEC4-0008-SM-4W1YR,9.1937,6.8026,9.6613,11.4381,8.062,9.1123,8.7883,6.8746,,,TCGA-WE-A8ZM-06,8.5644,6.987,10.6776,11.208,9.2602,9.5752,6.2715,7.1688
GTEX-PSDG-0008-SM-48TE5,10.2819,8.4342,10.2132,11.5916,6.3752,9.1766,10.1195,8.6269,,,TCGA-EE-A17Y-06,9.7113,7.4863,10.6154,11.0459,9.2453,9.5755,8.6244,7.6281
GTEX-YF7O-0008-SM-4W1ZS,9.988,7.4482,9.7315,11.4973,7.7379,9.3303,9.4866,7.6769,,,TCGA-EE-A180-06,9.6522,8.0137,10.7059,10.8866,7.1755,9.5601,9.979,7.4803
GTEX-11OF3-0008-SM-5S2NH,9.0368,7.3821,9.5304,10.9188,7.6126,8.7295,8.663,8.0843,,,TCGA-D3-A2JA-06,9.9864,8.4485,9.8016,10.6064,8.8217,10.0387,8.3959,8.1268
GTEX-S4P3-0008-SM-3NM8R,4.6137,2.2232,9.6547,11.936,7.6102,9.7239,7.5499,0.7939,,,TCGA-D3-A2JH-06,10.3416,8.879,10.0251,11.1692,8.3933,10.2438,8.4276,8.7809
GTEX-X4EO-0008-SM-4QASS,7.3579,6.2456,9.383,11.1371,7.5408,9.0321,7.4604,4.9062,,,TCGA-D3-A8GI-06,12.7396,10.0533,9.3236,11.9318,7.0551,8.9556,8.5893,6.7707
GTEX-XMD3-0008-SM-4AT4V,6.8107,4.6681,9.4367,11.1543,7.5738,8.8315,7.0511,4.3216,,,TCGA-DA-A95Y-06,11.0817,9.0674,10.903,11.34,7.8479,9.7161,8.3116,7.2576
GTEX-WWYW-0008-SM-4MVPF,7.2659,6.2665,9.9847,11.3815,7.6532,9.3117,7.4857,5.2677,,,TCGA-EE-A29A-06,9.6503,7.5963,10.4281,11.1548,8.2327,9.5111,8.0518,7.5023
GTEX-WYVS-0008-SM-4ONDY,6.2342,3.946,9.7762,11.3218,7.6631,9.1201,6.3168,1.0763,,,TCGA-FS-A1ZK-06,11.1479,9.383,12.3322,11.4426,5.7285,10.4487,8.5716,7.9945
GTEX-Q734-0008-SM-48U2I,6.7617,5.4134,9.5058,11.4021,6.6643,9.0044,7.3163,4.4469,,,TCGA-FW-A3R5-06,10.7334,9.1247,10.3584,10.8731,8.6826,10.2172,9.4392,7.7025
GTEX-RNOR-0008-SM-48FEY,6.7904,5.4799,9.2152,11.0793,6.6184,8.7921,6.3359,4.6255,,,TCGA-D3-A2J7-06,9.6917,7.6102,9.8311,10.6045,8.4687,9.6277,8.066,5.6026
GTEX-TML8-0008-SM-4DXUI,4.657,2.9275,9.7666,11.726,7.8571,9.3387,6.4952,2.7019,,,TCGA-EE-A29B-06,11.3712,9.2551,11.1457,10.4331,6.7316,9.6422,9.5095,6.6948
GTEX-OHPK-0008-SM-4E3JL,9.5443,7.9926,10.0643,11.3658,7.2504,9.2844,9.2229,8.258,,,TCGA-EE-A2GN-06,9.9099,8.4541,11.0257,11.2886,8.6931,10.1739,7.2402,7.4919
GTEX-X638-0008-SM-47JZ7,6.0287,3.5502,9.8173,11.2056,7.6285,8.9723,6.4964,2.7975,,,TCGA-D3-A8GQ-06,10.8866,8.5445,11.2347,11.9996,9.8432,10.5584,7.728,8.1387
GTEX-SE5C-0008-SM-4B64J,5.1998,2.0154,9.68,11.672,7.7518,9.4503,7.4084,1.3343,,,TCGA-D9-A3Z1-06,11.0007,8.1941,10.3282,10.6788,7.8162,9.7951,8.4769,6.4459
GTEX-RWS6-0008-SM-47JYV,5.2211,1.774,9.2886,10.9909,6.5401,9.1178,4.8495,1.144,,,TCGA-EE-A2M7-06,6.9982,5.2055,8.9999,11.3377,7.7755,9.7581,4.15,6.3429
GTEX-W5WG-0008-SM-4KL25,5.6333,2.5223,9.6319,11.6757,7.8825,9.2913,6.6867,1.1284,,,TCGA-EE-A2MH-06,10.6543,8.9467,10.3933,11.6439,9.5563,9.5148,8.6762,8.0254
GTEX-Y8LW-0008-SM-4V6G5,5.4269,1.7563,9.2143,11.5424,7.5317,9.3386,6.7339,0,,,TCGA-W3-A828-06,9.7619,8.3526,9.8989,10.9576,7.4304,9.1315,7.2802,7.4681
GTEX-XOT4-0008-SM-4B664,7.5098,5.0776,9.6562,11.0335,7.4477,8.857,6.2626,4.891,,,TCGA-D3-A2J6-06,11.2515,10.0247,9.4818,10.2348,8.2111,9.3751,9.0009,7.8276
GTEX-Y114-0008-SM-4TT8X,6.0935,4.5673,10.1395,11.4469,8.0639,9.5319,7.865,3.577,,,TCGA-FS-A1ZW-06,8.822,9.0471,11.3084,10.7113,9.8935,10.604,9.1901,7.7497
GTEX-S341-0008-SM-4AD6D,4.9057,0,10.0457,11.5354,7.3917,9.7724,7.3491,1.6537,,,TCGA-WE-A8K5-06,10.9854,9.6279,11.4044,10.8554,8.3243,9.9554,8.7914,7.4839
GTEX-U3ZN-0008-SM-4DXTL,4.5071,1.6663,9.7676,11.7664,7.5148,9.4221,6.4587,2.0912,,,TCGA-D3-A1Q3-06,10.5948,7.9539,10.8985,10.7793,8.0084,10.0621,7.911,6.1947
GTEX-W5X1-0008-SM-4LMKA,5.8671,4.0571,9.6158,11.325,7.5053,8.9316,6.2596,3.1412,,,TCGA-FS-A4F4-06,11.8561,9.4462,9.9181,11.0251,7.3109,9.4398,8.8309,6.1495
GTEX-ZVE1-0008-SM-51MS9,7.5304,6.2511,9.8093,11.0975,6.9513,8.7041,7.0534,5.6646,,,TCGA-W3-AA1W-06,9.1339,8.7374,9.6907,11.3316,8.1415,9.707,7.0068,7.1015
GTEX-ZVT3-0008-SM-51MRI,8.5751,6.6977,10.3319,11.5691,7.3788,9.3178,8.0975,6.7235,,,TCGA-D3-A3BZ-06,10.166,9.4399,9.8575,10.9442,5.7757,10.4533,8.3074,8.3784
GTEX-PWN1-0008-SM-48TEA,5.0926,3.1116,9.4094,11.2709,7.1367,9.3115,7.3241,3.1116,,,TCGA-D9-A1X3-06,10.1608,11.4227,10.2522,11.6895,7.9918,9.8122,8.5971,6.9239
GTEX-XUW1-0008-SM-4BOQH,6.2311,1.174,10.0533,11.4219,7.3251,9.4305,7.1209,2.591,,,TCGA-DA-A1I0-06,10.8842,7.4826,10.1371,11.4618,8.2004,8.8869,6.8172,3.7388
GTEX-YFC4-0008-SM-4RGM3,4.422,2.1872,9.9512,11.4401,7.5619,9.6149,6.6256,0,,,TCGA-FS-A1ZD-06,10.741,9.2571,9.8143,10.4969,8.6925,9.451,9.3463,8.8744
GTEX-RU72-0008-SM-46MV8,5.6986,4.4323,9.2059,11.2858,6.2117,8.8691,6.0683,3.8078,,,TCGA-W3-AA1V-06,10.4836,8.0633,10.1065,12.0458,7.856,9.2931,10.5632,9.4801
GTEX-WRHU-0008-SM-4MVPB,7.1984,4.8157,9.7091,11.0734,7.288,8.8288,8.2801,4.8157,,,TCGA-DA-A1I7-06,10.0785,7.0512,10.0778,11.0569,8.1075,9.521,8.7399,6.4296
GTEX-11I78-0008-SM-5Q5DI,7.6735,6.8003,9.8899,11.2648,7.4676,9.0327,8.1041,6.899,,,TCGA-DA-A95X-06,10.4189,9.0341,10.8748,11.0974,10.0567,10.2339,8.291,7.8783
GTEX-TSE9-0008-SM-4DXT8,5.222,2.9654,9.7295,11.3589,7.553,9.2605,6.8954,3.1612,,,TCGA-ER-A193-06,10.0941,8.3894,10.2799,10.7569,6.5337,9.473,7.5853,7.1375
GTEX-YB5K-0008-SM-4VDT8,9.42,7.3907,10.0766,11.4131,7.3764,8.6767,9.3751,7.617,,,TCGA-FS-A1Z4-06,10.0072,9.6272,11.3085,11.8838,10.4103,9.3307,7.7588,10.8483
GTEX-XV7Q-0008-SM-4BRWL,6.7681,5.4288,10.1983,11.455,7.4291,9.2519,6.3636,5.2275,,,TCGA-WE-A8ZY-06,10.9104,9.4131,10.5765,11.381,6.4674,10.5232,8.8664,8.0513
GTEX-WI4N-0008-SM-4OOSV,6.5469,3.1358,9.8894,11.4261,7.671,9.1662,8.0597,5.092,,,TCGA-YG-AA3O-06,10.5144,9.101,11.5546,12.635,8.5481,10.0827,10.0561,7.1406
GTEX-UJHI-0008-SM-4IHL1,6.2298,4.866,9.6882,11.0859,7.2509,8.8054,6.1473,4.5175,,,TCGA-D3-A5GO-06,10.888,8.5592,9.3247,11.2705,7.6697,9.4868,8.2052,7.2624
GTEX-P78B-0008-SM-48TE1,4.7192,2.8748,9.5268,12.1359,7.4881,9.7501,6.7641,0,,,TCGA-EE-A2M6-06,10.7569,9.9197,10.8847,11.4186,8.483,10.4253,9.5716,9.152
GTEX-XUJ4-0008-SM-4BOQI,6.3431,4.8325,10.2237,11.7062,7.5904,9.5254,7.7027,4.7115,,,TCGA-EE-A2MR-06,9.8013,9.9351,10.0675,11.4748,10.0019,9.5795,8.4885,8.0261
GTEX-YBZK-0008-SM-59HL6,9.8113,7.5159,10.1392,11.2327,7.1847,8.9089,9.5725,7.7346,,,TCGA-D3-A1Q5-06,8.9682,7.6804,9.2494,10.7075,8.9385,10.3573,8.117,8.5504
GTEX-WEY5-0008-SM-4LMKC,7.0395,4.9504,10.0186,11.432,7.4631,9.1431,8.2232,5.6426,,,TCGA-D3-A51R-06,11.3238,9.5929,11.3933,12.3947,10.2074,10.7851,9.2653,8.8706
GTEX-WRHK-0008-SM-4MVPA,8.3174,6.1286,9.7565,11.3297,7.5351,9.0178,9.7597,6.1087,,,TCGA-EE-A2MJ-06,10.2272,9.9616,11.5184,10.8153,8.2554,9.427,7.8464,8.0325
GTEX-ZV6S-0008-SM-4YCF9,7.8458,6.2215,10.0179,11.0881,7.0001,8.8878,7.7462,5.9858,,,TCGA-GN-A264-06,10.9341,8.9031,11.4207,11.6342,7.7234,9.42,8.875,5.0105
GTEX-XUZC-0008-SM-4BOQG,7.24,4.2594,9.856,11.3397,7.1647,9.2209,6.2651,4.7762,,,TCGA-EE-A20C-06,9.378,8.3269,8.529,9.5424,5.9664,10.0147,7.7741,5.7033
GTEX-ZF2S-0008-SM-4E3IK,8.2357,6.2238,9.8909,11.2869,7.4556,9.1341,8.3684,5.9766,,,TCGA-EE-A3J8-06,8.7745,8.2985,11.3601,11.8933,10.0504,10.4256,8.5323,6.1653
GTEX-11ILO-0008-SM-5QGR9,5.0742,1.1445,9.832,10.9726,7.1436,9.0107,7.982,3.2441,,,TCGA-D3-A2JD-06,10.3269,9.4236,10.0298,11.6001,7.1572,9.8616,7.9899,6.1638
GTEX-ZVT4-0008-SM-57WCA,8.0801,6.4193,10.0662,11.3348,7.6833,9.1158,7.6799,6.1667,,,TCGA-D3-A5GS-06,9.4778,6.7549,10.0616,10.9868,8.053,9.1815,7.3564,5.7889
GTEX-OXRK-0008-SM-3NB28,7.7498,5.9884,9.5609,10.7788,7.4387,8.9849,9.2501,6.2134,,,TCGA-EE-A2MN-06,9.3589,8.3201,10.8965,11.0611,8.5306,10.4133,8.8586,5.1524
GTEX-QDT8-0008-SM-48U2F,7.9276,5.7819,9.891,11.3782,7.2309,9.2898,7.7621,5.177,,,TCGA-ER-A1A1-06,10.1802,10.4812,10.5271,11.6703,9.7296,9.0459,8.4724,8.8393
GTEX-11ZTT-0008-SM-5S2TZ,7.1979,4.9052,9.804,11.1924,7.8553,9.0677,7.1378,4.0858,,,TCGA-Z2-AA3S-06,9.3563,7.9189,9.7674,10.5877,8.7491,10.6779,7.9465,7.026
GTEX-ZPIC-0008-SM-4E3JF,6.8353,5.0527,9.8729,11.3386,7.3761,8.8713,6.5457,5.0972,,,TCGA-EE-A17Z-06,10.5996,9.7823,11.4375,10.5907,8.9716,10.1217,9.1836,7.0463
GTEX-11EMC-0008-SM-5Q5DR,8.4626,6.79,10.1629,11.3795,7.3511,8.9577,8.1182,6.672,,,TCGA-FS-A1ZB-06,10.7583,10.0248,10.0522,10.9696,4.8919,9.6767,9.8746,8.2081
GTEX-Y3IK-0008-SM-4WWDZ,8.6192,7.3431,10.1201,11.111,7.4106,8.8264,8.6868,7.8644,,,TCGA-W3-AA1Q-06,9.2144,6.0301,11.0827,10.9507,7.9045,9.6205,7.5136,5.3878
GTEX-NL3G-0008-SM-4E3JX,9.6809,7.1591,10.0436,11.6562,7.5741,9.0333,9.3174,7.3409,,,TCGA-WE-A8ZN-06,11.1687,9.118,10.0113,11.4511,7.1934,9.1858,9.0107,6.8247
GTEX-S4UY-0008-SM-3NM8H,6.1459,1.521,10.456,12.0997,8.1886,10.2944,7.9127,0.6989,,,TCGA-D9-A6EC-06,9.4683,8.3337,10.0033,10.5591,7.7617,9.6018,6.8359,6.7484
GTEX-QVJO-0008-SM-447AU,5.1472,2.3143,9.3355,11.8083,7.7756,9.653,6.7936,1.2169,,,TCGA-D9-A6EG-06,10.3759,7.8357,10.8834,11.1253,6.5762,9.7304,7.3269,11.4541
GTEX-RTLS-0008-SM-48FET,4.625,1.7026,10.0261,11.6703,7.6548,9.6724,7.4574,0,,,TCGA-EE-A20H-06,10.2784,8.7765,11.9047,12.2313,9.6231,10.3739,9.883,10.5458
GTEX-ZQG8-0008-SM-4YCE7,9.1138,8.2267,10.0488,11.277,7.3653,8.8843,9.3987,8.8637,,,TCGA-ER-A19O-06,9.7119,7.3969,9.2508,12.1548,5.8921,7.9576,6.0842,4.4351
GTEX-XMD2-0008-SM-4WWE7,8.8641,6.5804,10.1658,11.4123,7.7502,9.3538,9.5545,6.8878,,,TCGA-D3-A1Q6-06,9.0706,7.5366,10.7944,11.772,8.7659,10.2565,8.4602,7.215
GTEX-R45C-0008-SM-48FF2,6.5808,3.4049,9.5698,11.0931,7.2272,9.6645,8.2833,3.0346,,,TCGA-D3-A1QA-06,10.032,8.4045,11.3373,10.7368,8.4031,10.4818,8.1704,7.1797
GTEX-X8HC-0008-SM-46MU6,5.257,0,10.1508,12.5104,7.3225,9.9087,7.0129,0,,,TCGA-DA-A1I1-06,8.9223,8.0509,9.8497,10.8277,8.4374,9.4638,7.7401,5.4409
GTEX-X4EP-0008-SM-4PQYO,8.0037,6.1739,10.0794,11.1646,7.7659,8.8324,7.9481,6.7737,,,TCGA-DA-A3F2-06,8.0795,9.8211,8.5306,11.523,5.9354,7.6611,5.4447,4.7297
GTEX-R55G-0008-SM-48FEX,6.9462,4.502,9.3933,10.861,6.6309,9.1914,8.0484,4.9214,,,TCGA-EB-A5KH-06,9.9485,8.9928,9.7314,11.5061,6.9067,8.95,7.8848,4.7452
GTEX-SN8G-0008-SM-4DM4X,5.2525,1.6421,10.0214,11.9303,7.9759,9.9383,7.5682,0,,,TCGA-EB-A6L9-06,11.2057,9.8168,10.0397,11.4258,8.6273,9.1498,8.4991,6.224
GTEX-11GSP-0008-SM-5Q5DM,9.3097,7.7817,10.3294,11.4163,7.3645,8.9741,8.8978,7.8149,,,TCGA-ER-A3EV-06,9.9294,8.9687,11.5698,10.7559,8.1399,10.0858,9.1806,6.8566
