,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-WQUQ-0008-SM-4OOT1,6.3462,3.1757,10.1776,11.0115,7.5835,9.3682,8.8256,4.3038,,,TCGA-EB-A85I-01,10.3074,8.8666,10.25,11.5635,7.7939,10.0113,8.6584,6.6141
GTEX-XGQ4-0008-SM-4AT3Z,5.2936,1.0237,10.4478,12.3245,7.7416,10.0914,7.2165,1.0237,,,TCGA-EB-A97M-01,10.6837,8.9264,10.0949,10.9461,6.8037,9.5622,7.8846,6.0765
GTEX-11TUW-0008-SM-5SI6S,6.3312,3.9678,9.8885,11.2395,7.6661,9.0174,6.2342,4.7065,,,TCGA-BF-A5EO-01,11.6935,10.2243,9.6587,12.2398,6.8864,9.3602,8.9928,7.3674
GTEX-WY7C-0008-SM-4ONDW,6.0442,3.9792,9.6964,11.2402,7.6686,8.89,6.2819,4.1084,,,TCGA-BF-A3DM-01,9.9632,8.0748,9.8434,10.6129,7.9696,10.1301,8.6126,7.3523
GTEX-ZT9X-0008-SM-4YCD7,7.5418,6.1014,10.1567,11.3517,7.1332,9.321,7.3295,6.201,,,TCGA-BF-A5EQ-01,10.743,8.8531,10.7006,10.4929,8.3954,10.2873,8.4405,6.2095
GTEX-XBEW-0008-SM-4AT3Y,5.2145,1.1955,9.9295,11.2647,7.5823,9.3106,7.1196,2.8976,,,TCGA-BF-A5ER-01,10.996,10.7301,11.1843,10.8376,7.1577,9.298,7.0853,6.3101
GTEX-VUSH-0008-SM-47JWK,5.9536,3.7219,9.577,11.3721,7.4193,9.0288,6.5394,3.3029,,,TCGA-EB-A299-01,9.2656,8.4446,9.2287,11.5737,7.7699,9.6356,7,7.2534
GTEX-RVPU-0008-SM-3NM8B,7.7426,5.971,10.0691,10.9999,7.2477,9.2497,7.7755,5.8528,,,TCGA-EB-A3XB-01,9.8604,9.047,11.1222,11.392,8.1823,10.2295,8.5239,5.7246
GTEX-WL46-0008-SM-4OOSW,6.6823,4.6534,9.806,11.1237,7.4727,8.9196,6.4528,5.8677,,,TCGA-BF-AAP2-01,11.3776,8.8606,10.6774,11.4641,7.9018,10.2581,8.4426,7.3012
GTEX-PW2O-0008-SM-48TEB,6.5554,4.9106,9.4173,10.8868,6.9212,8.9243,5.7054,4.2053,,,TCGA-EB-A553-01,11.1448,8.1822,10.7226,11.0648,7.4064,10.0537,8.9055,6.7633
