samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
GTEX-14AS3-1126-SM-5Q5CR,6.3376,2.8855,7.6828,11.3733,8.7379,9.5481,0,1.6461,,,TCGA-A6-2682-01,9.5299,7.8508,9.7302,11.8493,9.7965,9.11,8.02,8.6697,,,,,,
GTEX-11P81-1126-SM-5GU5G,6.2515,3.0907,7.5204,10.9486,8.8823,9.316,2.405,2.078,,,TCGA-AA-3685-01,11.0832,8.6161,8.7821,12.0904,9.9995,9.9276,6.9649,7.9222,,,,,,
GTEX-13U4I-2426-SM-5LU34,6.9085,3.887,7.9472,11.4428,8.6388,8.9933,0,1.8107,,,TCGA-AZ-6607-01,9.0084,6.9428,9.2727,10.3816,6.5758,9.426,7.6487,7.2624,,,,,,
GTEX-145ME-0826-SM-5O9AF,7.099,2.8173,9.107,11.472,7.816,9.4429,1.5927,0,,,TCGA-CM-4743-01,9.708,8.8307,9.3682,11.5007,8.0589,9.151,8.3012,8.0938,,,,,,
GTEX-11ILO-2026-SM-5N9CQ,7.6236,7.287,8.306,11.4382,9.2253,9.0792,5.047,5.9372,,,TCGA-CM-4744-01,10.099,8.9522,9.5195,11.9596,9.7291,9.4634,7.8448,8.623,,,,,,
GTEX-OXRK-1726-SM-3NB16,7.8664,9.6243,9.3039,11.639,9.3725,8.6205,6.8046,8.5029,,,TCGA-D5-6529-01,8.9845,8.7372,9.8769,11.074,9.4348,9.1908,7.7911,8.2692,,,,,,
GTEX-ZXES-1626-SM-5NQ7L,5.8968,5.0746,9.4083,11.2851,7.889,9.2944,2.9657,2.3469,,,TCGA-D5-6932-01,9.9204,8.9654,9.9136,12.2719,9.082,9.7082,7.2315,8.6578,,,,,,
GTEX-R53T-1326-SM-48FCQ,9.1201,10.2731,9.7265,11.7576,9.2151,8.8215,7.6848,8.9621,,,TCGA-G4-6299-01,9.4722,8.0702,9.7183,11.1205,10.3172,9.7989,8.4329,8.7564,,,,,,
GTEX-PX3G-1426-SM-48U1J,8.814,9.0034,9.1992,11.5519,8.3432,8.9331,6.6846,8.0262,,,TCGA-G4-6310-01,9.152,7.4964,9.7681,11.6613,9.149,9.6481,7.3151,8.03,,,,,,
GTEX-S341-1426-SM-4AD6U,7.0524,1.1359,8.0983,11.4474,8.0389,9.5974,2.8049,1.7635,,,TCGA-NH-A50V-01,9.1301,8.0543,10.3392,11.7201,9.7248,9.5965,7.0923,8.6347,,,,,,
GTEX-133LE-1526-SM-5IFEN,7.3913,9.2785,9.8971,11.5124,8.8951,8.7688,6.4642,8.1003,,,TCGA-AA-3655-01,10.1606,9.433,9.3613,11.9275,9.2215,9.2692,8.8506,9.3306,,,,,,
GTEX-1128S-1626-SM-5H12O,8.5587,9.3237,8.9774,11.2837,8.7398,8.7942,7.2048,8.9204,,,TCGA-AA-3713-01,10.3426,10.2249,9.9046,11.7355,9.0426,8.964,9.0277,9.8372,,,,,,
GTEX-Y114-1526-SM-4TT79,7.8644,3.7595,8.4907,11.6339,8.014,9.8121,3.2898,3.0918,,,TCGA-AA-A01Z-01,10.5357,9.8976,10.0928,12.3423,9.9522,8.9768,7.6358,9.0487,,,,,,
GTEX-XV7Q-2126-SM-4BRVX,9.1193,9.6286,9.3423,11.6892,9.4862,8.7264,6.8763,8.1473,,,TCGA-AZ-6601-01,10.1824,9.9544,9.8809,11.8016,8.6874,9.0359,8.567,9.9004,,,,,,
GTEX-XYKS-2226-SM-4E3IU,7.2248,8.2901,8.8427,12.0572,8.6684,9.3792,3.7422,5.2995,,,TCGA-D5-6924-01,10.5489,8.8094,10.2957,11.5093,9.0809,9.2108,8.7902,8.8746,,,,,,
GTEX-UPIC-1726-SM-4IHKG,8.0537,9.1682,8.8861,11.5257,8.2758,8.159,6.0782,8.4986,,,TCGA-DM-A1DB-01,11.4459,8.4961,10.7453,12.3756,9.9197,9.1198,8.9489,10.2525,,,,,,
GTEX-Q734-1126-SM-48TZY,7.9238,9.2897,8.8934,11.7931,8.9786,8.4296,6.2134,7.7331,,,TCGA-DM-A288-01,9.273,9.1416,10.3895,11.7836,9.1721,8.7395,8.0928,8.8726,,,,,,
GTEX-ZYFG-1926-SM-5GID5,6.7365,2.3107,8.8262,11.336,7.8175,9.52,0,0,,,TCGA-4N-A93T-01,9.7607,7.7497,10.176,12.2668,9.0732,9.4678,6.634,7.4468,,,,,,
GTEX-ZLV1-1226-SM-4WWBX,6.3576,9.2616,9.2137,11.6362,8.8428,8.6681,4.6881,7.5159,,,TCGA-AD-5900-01,10.3083,9.8453,9.5073,11.1326,9.1639,9.3239,8.4698,8.1798,,,,,,
GTEX-Y3IK-1826-SM-4WWDS,8.5162,9.775,9.0622,11.7469,8.5829,8.2297,6.8037,8.6449,,,TCGA-CM-6169-01,8.9792,7.78,10.1063,10.9071,9.5528,8.9819,7.4083,7.7896,,,,,,
GTEX-ZGAY-2126-SM-4YCFB,7.8631,9.1451,9.0253,11.4828,7.6227,8.929,4.3958,6.9373,,,TCGA-D5-6930-01,10.5513,10.5634,9.263,11.6212,8.6143,9.0505,7.9092,9.3089,,,,,,
GTEX-S7SF-1926-SM-4AT5B,8.1274,9.9723,9.0302,11.8027,8.6486,8.6052,6.3238,8.3156,,,TCGA-A6-6649-01,9.3317,9.7389,9.678,11.4847,8.8007,9.4529,8.3489,9.278,,,,,,
GTEX-147F3-1926-SM-5SIB9,8.0238,9.3856,9.4431,11.6219,8.177,8.929,6.2997,8.6069,,,TCGA-D5-6540-01,10.4749,9.5765,9.3741,11.2773,8.4472,9.2939,9.1045,8.763,,,,,,
GTEX-QCQG-1626-SM-48U26,8.035,9.809,9.2618,11.7716,8.4238,8.6004,6.7325,8.9145,,,TCGA-G4-6315-01,10.6584,9.4228,10.4036,11.8769,9.3956,9.2656,7.9121,8.668,,,,,,
GTEX-13D11-0826-SM-5KLZJ,7.3118,8.9523,8.9822,11.6257,8.1906,8.534,5.5726,7.457,,,TCGA-A6-5657-01,10.2593,9.4584,10.5176,11.8378,10.362,9.4319,7.8109,9.0176,,,,,,
GTEX-Y8LW-1226-SM-4WWDP,6.8495,5.9552,8.3298,11.5571,7.9136,9.499,2.9372,3.9475,,,TCGA-AA-3712-01,10.4934,9.417,10.5432,12.3878,9.8041,9.4804,8.8383,8.8182,,,,,,
GTEX-ZYWO-1626-SM-5E44H,8.8262,10.0616,9.2718,11.6445,8.4313,8.3641,7.0114,8.1782,,,TCGA-AD-6890-01,10.3681,8.8117,10.1012,12.1415,9.0487,9.0008,7.6629,8.7248,,,,,,
GTEX-ZF29-1726-SM-4WKFV,7.2175,1.7671,8.5909,11.3197,7.3879,9.7553,2.2034,1.7671,,,TCGA-CA-6716-01,8.2664,7.3659,10.4993,11.3461,9.5854,9.7545,6.5413,7.424,,,,,,
GTEX-ZF2S-1926-SM-4WWAN,8.6181,9.8527,9.8092,11.5826,8.6653,8.5461,7.0095,9.0829,,,TCGA-D5-6926-01,10.4223,8.8723,10.4216,11.7315,9.5992,9.4779,7.9834,8.6919,,,,,,
GTEX-S4P3-1226-SM-4AD4Y,8.8201,10.1821,9.5432,12.0266,8.6582,9.0686,6.7221,8.6142,,,TCGA-DM-A0XD-01,10.4829,9.3054,10.1175,12.1382,9.0028,9.1169,8.3176,8.5322,,,,,,
GTEX-WEY5-1426-SM-4LMJ3,7.1975,1.8586,8.7364,11.4395,7.2065,9.9025,1.21,0,,,TCGA-G4-6322-01,10.265,8.0433,9.9964,11.9377,8.5962,9.4035,7.9082,8.4606,,,,,,
GTEX-13FH7-1526-SM-5J2N6,6.0128,2.2227,8.4233,11.6506,7.895,9.6514,1.7845,0,,,TCGA-AA-3511-01,10.2495,8.7291,10.3207,11.8974,9.1889,8.8844,8.1201,8.8924,,,,,,
GTEX-132AR-2726-SM-5PNVN,7.439,9.9248,9.2349,11.5889,9.2774,8.2518,5.9909,7.8455,,,TCGA-AZ-6600-01,9.5702,8.8493,10.2047,11.8246,9.3204,9.2507,7.8173,9.1184,,,,,,
GTEX-ZP4G-1726-SM-4WWCM,8.1768,9.4887,8.9787,11.6448,7.903,8.9467,5.9953,8.0622,,,TCGA-D5-6537-01,10.579,8.9467,9.7328,11.5334,9.3684,9.9614,9.0702,8.9677,,,,,,
GTEX-1399S-1926-SM-5J2M5,8.4297,10.0155,9.684,12.1184,8.0164,8.5893,6.3822,8.3061,,,TCGA-F4-6703-01,8.736,8.2469,9.9719,11.4622,7.6694,9.0225,9.1439,7.9144,,,,,,
GTEX-PWOO-1326-SM-48TCJ,9.3491,10.1251,9.9214,11.8467,9.0416,8.9359,7.6434,9.457,,,TCGA-CA-6715-01,10.6741,8.4895,10.3393,11.7428,9.5714,9.5461,7.9235,9.143,,,,,,
GTEX-RU1J-1326-SM-46MUL,8.0077,8.2083,8.8028,11.7691,8.4345,9.5409,5.3491,6.877,,,TCGA-CK-5915-01,9.6669,9.432,10.0883,10.9892,9.8132,9.5243,8.7563,9.6693,,,,,,
GTEX-T6MO-0826-SM-4DM51,7.5809,4.4352,8.4054,11.3666,8.219,9.3017,2.0615,3.1596,,,TCGA-D5-5541-01,10.6598,8.7046,10.3147,11.7384,10.315,9.9596,7.9603,9.3729,,,,,,
GTEX-TML8-1326-SM-4DXTO,8.7435,10.1915,9.426,11.6284,8.4434,7.8971,7.2206,8.7716,,,TCGA-DM-A28M-01,10.0139,8.7075,9.7253,11.4654,9.2804,8.9119,8.1174,8.3182,,,,,,
GTEX-W5WG-2426-SM-4LMI6,8.2305,9.8551,9.4011,11.7602,8.5167,8.5384,5.91,8.366,,,TCGA-A6-3810-01,8.95521608,8.692153686,11.8539116,11.07690357,10.79370106,10.30595729,9.187286706,9.177796534,,,,,,
GTEX-X15G-1326-SM-4PQZJ,8.5682,9.5561,9.1921,11.9023,8.3712,8.6603,6.9358,8.5058,,,TCGA-A6-6140-01,11.7238,10.4843,10.0717,12.0779,8.9559,9.0227,9.1448,9.6462,,,,,,
GTEX-XUW1-1926-SM-4BOP1,7.7235,8.5929,8.709,11.5006,8.0145,9.1187,4.749,6.9539,,,TCGA-AD-6965-01,10.4811,9.6568,10.7414,11.9463,9.4335,9.5056,8.8413,9.4969,,,,,,
GTEX-P4QT-1426-SM-3NMCX,8.7382,9.9843,9.2307,11.9299,8.5056,8.7576,6.5738,8.7098,,,TCGA-CM-4751-01,9.9212,9.4223,10.3202,11.7616,9.9892,9.1851,7.2345,8.7417,,,,,,
GTEX-13PL7-2526-SM-5IFGR,8.1603,10.1489,9.7419,11.6776,8.5383,8.4646,6.1828,8.0988,,,TCGA-A6-6138-01,10.2946,8.8026,10.3994,11.9353,9.1847,9.8628,8.859,8.5957,,,,,,
GTEX-XUZC-1326-SM-4BRV2,8.6247,10.1702,9.5029,12.0773,8.2203,8.3481,6.5517,8.4688,,,TCGA-AZ-4315-01,9.6781,8.8735,9.2976,11.8069,9.4612,9.4882,7.6119,7.8283,,,,,,
GTEX-ZYVF-2826-SM-5GIDK,5.2455,3.7346,9.0768,11.5327,9.5487,9.0133,4.6003,4.3328,,,TCGA-AZ-4682-01,10.6488,8.243,8.8997,12.3604,9.1629,9.2502,7.5672,8.5325,,,,,,
GTEX-PWCY-1026-SM-48TD4,8.3232,9.5308,9.7694,12.1523,7.9434,9.184,6.0938,7.3963,,,TCGA-D5-6532-01,10.5095,8.9215,10.1189,12.6347,8.9091,9.0955,8.635,9.2031,,,,,,
GTEX-13CF3-1426-SM-5K7YY,6.0653,2.3097,9.5865,11.6308,7.4592,9.7792,2.6501,2.3097,,,TCGA-QG-A5Z2-01,9.8545,9.8638,10.0809,11.6663,9.6258,9.1012,8.4568,9.8131,,,,,,
GTEX-SE5C-1526-SM-4BRWU,6.9803,8.6864,8.7254,11.6171,7.6455,8.8085,4.3719,6.7916,,,TCGA-AY-6197-01,9.7035,10.0157,10.039,12.0113,9.5162,9.2336,8.2866,9.1488,,,,,,
GTEX-UJHI-1126-SM-4IHLN,8.7914,10.0649,8.9034,12.083,8.3335,8.5318,6.8689,8.9374,,,TCGA-CM-5864-01,9.5368,7.9537,9.7845,11.6284,9.0861,9.1323,7.6271,8.2548,,,,,,
GTEX-T5JW-1126-SM-4DM5V,8.3777,10.0964,9.5942,11.9753,8.8396,8.3191,6.4026,8.1348,,,TCGA-D5-5539-01,9.0054,8.5552,10.3641,11.58,8.6655,8.9013,7.535,9.3043,,,,,,
GTEX-XUJ4-2026-SM-4BOOW,9.1103,10.5047,9.3185,12.1374,8.2511,8.4419,7.2608,8.8989,,,TCGA-F4-6569-01,8.9402,8.397,9.9333,11.1619,9.2468,8.7435,7.0332,8.4311,,,,,,
GTEX-11I78-1226-SM-5A5K6,8.8007,10.1341,9.5893,12.0284,8.2453,8.8405,6.2451,8.4751,,,TCGA-F4-6704-01,9.2637,7.8892,9.7933,11.7833,8.2429,9.0163,7.7944,9.5903,,,,,,
GTEX-Y5LM-1526-SM-4VDTA,8.2144,10.0312,8.6118,11.6195,7.9495,8.278,5.8817,8.3578,,,TCGA-A6-6652-01,10.3232,7.5273,10.0314,11.6074,10.4125,10.146,7.8054,7.9876,,,,,,
GTEX-1211K-1726-SM-5FQUJ,6.6306,8.7244,9.611,11.6583,8.2266,8.6399,5.5051,7.3234,,,TCGA-A6-A5ZU-01,9.1535,6.91,10.1573,11.5519,8.5839,9.8537,7.538,7.5985,,,,,,
GTEX-1122O-1526-SM-5N9CL,7.0642,9.2804,9.1651,11.8032,7.3542,8.1676,4.8755,7.4063,,,TCGA-AD-6963-01,11.1542,9.6072,10.1697,12.4294,9.4734,9.8302,8.4306,9.399,,,,,,
GTEX-R55G-1226-SM-48FDC,6.7745,9.1153,8.8528,11.5868,7.9633,8.3172,5.0077,7.3823,,,TCGA-AD-6964-01,9.5665,9.0327,9.6394,11.8643,8.2387,8.9735,7.134,8.3275,,,,,,
GTEX-PWN1-1426-SM-48TDF,7.9546,9.4528,9.3066,11.8136,8.1802,8.8594,5.7327,8.5346,,,TCGA-CM-6679-01,10.1926,8.0767,10.0873,11.94,9.168,9.0979,7.846,8.7051,,,,,,
GTEX-11DXX-1826-SM-5H126,7.9416,9.8146,9.3339,11.9883,7.5817,8.4431,5.1616,7.3968,,,TCGA-NH-A6GA-01,10.273,7.9761,10.8862,11.9589,10.3502,9.7886,8.4568,9.4534,,,,,,
GTEX-13QBU-1826-SM-5IJG3,7.8772,9.2916,9.5673,11.7917,8.2978,8.4455,5.6218,8.1464,,,TCGA-A6-A56B-01,11.0722,8.8122,11.4786,11.81,9.2635,9.2983,8.5021,9.8161,,,,,,
GTEX-12WSJ-1526-SM-5GCNI,6.1515,5.4802,9.028,11.5023,7.6114,9.2942,2.9283,4.381,,,TCGA-AA-3526-01,10.6606,8.2474,10.0208,11.9141,10.0321,9.4667,7.9205,8.9064,,,,,,
GTEX-132NY-2726-SM-5PNY2,6.1392,2.8393,7.5022,11.2992,8.8693,8.9079,0,0.9103,,,TCGA-CA-6717-01,9.3805,9.2299,9.7802,11.4267,9.2837,9.3714,8.5882,9.4117,,,,,,
GTEX-13OW6-2226-SM-5N9FL,6.6045,2.9652,7.318,11.47,9.9637,9.2686,2.5519,0.9802,,,TCGA-D5-6923-01,11.0743,8.4274,10.4941,12.193,10.182,9.4204,8.3909,9.3398,,,,,,
GTEX-12ZZY-2726-SM-5EQ45,6.2658,3.2386,7.6987,10.9966,8.9777,9.0599,1.6368,1.0391,,,TCGA-A6-6648-01,10.5386,10.0479,10.2177,12.108,10.0186,9.5812,9.4034,10.5088,,,,,,
GTEX-XGQ4-1726-SM-4RH4G,6.4335,4.9915,8.7976,11.6125,7.3929,10.3041,3.2332,4.46,,,TCGA-A6-A567-01,9.5604,7.7366,10.4346,11.9454,9.1667,10.0583,7.5171,8.4228,,,,,,
GTEX-11GS4-1826-SM-5HL4T,7.0622,2.6326,8.3376,11.2336,8.7014,8.954,1.8483,1.2019,,,TCGA-CA-5797-01,10.3009,8.7613,10.1379,12.0223,10.1609,9.3445,7.942,8.787,,,,,,
GTEX-147JS-2626-SM-5S2UX,6.8646,3.65,8.1918,11.2938,9.0754,8.9925,2.2783,1.1914,,,TCGA-A6-6137-01,9.5462,8.5864,9.8709,11.4739,9.4151,8.8404,7.5123,8.6962,,,,,,
GTEX-148VJ-2426-SM-5NQ9Y,6.6548,2.2172,8.9152,10.978,9.0119,9.245,1.7796,1.7796,,,TCGA-D5-6530-01,9.639,9.1545,9.3636,11.5826,8.2245,8.8016,7.8815,9.5448,,,,,,
GTEX-13SLW-2826-SM-5Q5ES,6.4528,0,7.7802,10.9503,8.7857,8.5986,3.667,1.1178,,,TCGA-AD-A5EK-01,10.5622,8.7451,10.1978,11.5329,9.8315,10.1457,7.8879,8.9548,,,,,,
GTEX-ZYT6-2826-SM-5GICX,5.9489,0,7.9156,11.1984,8.8954,9.0874,0,1.8648,,,TCGA-F4-6463-01,8.8545,8.3591,10.3689,11.2753,9.9981,9.1561,7.8898,8.3426,,,,,,
GTEX-1212Z-1826-SM-5FQSH,7.3206,3.9677,8.2266,11.3082,9.518,8.979,1.7019,3.8599,,,TCGA-RU-A8FL-01,11.11,9.3903,10.3006,11.667,9.6448,9.1768,7.7508,9.2544,,,,,,
GTEX-13FHO-2726-SM-5K7VG,6.2702,3.2606,8.0437,11.1923,8.9256,8.7642,2.0769,2.8949,,,TCGA-AA-A02K-01,10.5358,10.2666,10.5412,12.2993,9.0354,9.4385,8.5643,9.1155,,,,,,
GTEX-11EI6-2626-SM-5PNVT,6.1573,1.6473,7.6994,11.2186,9.3493,8.8802,2.3964,1.6473,,,TCGA-DM-A28H-01,11.1731,9.5222,9.5521,12.1331,10.4878,8.9505,9.4781,10.4832,,,,,,
GTEX-ZPU1-1726-SM-4WWFV,7.0704,2.6443,8.0707,11.6953,8.3063,9.7185,2.0536,2.0536,,,TCGA-AZ-4684-01,9.7216,8.2878,9.7896,11.6233,10.0414,8.7284,6.736,8.9293,,,,,,
GTEX-YEC3-2026-SM-4WWFL,7.2428,4.3252,8.6644,11.5382,7.3317,9.4843,3.8412,1.5383,,,TCGA-D5-6541-01,8.4723,8.1651,10.3222,11.3702,9.5271,9.182,5.898,7.7024,,,,,,
GTEX-YECK-2826-SM-5IFHF,6.7882,3.6898,8.1454,11.3554,8.8002,9.3537,3.2224,2.5265,,,TCGA-AY-6196-01,8.3677,8.2907,9.9442,11.0616,7.6858,9.161,6.7149,7.1525,,,,,,
GTEX-11DXY-2026-SM-5N9CZ,6.7688,2.7033,8.1403,11.4621,9.2172,9.2979,1.0721,0,,,TCGA-CM-4747-01,8.8845,7.3825,9.9778,11.2079,9.4875,8.9637,6.898,7.68,,,,,,
GTEX-147GR-2826-SM-5RQK8,5.3667,3.6654,6.9586,11.1818,8.9267,8.7884,4.3562,0,,,TCGA-A6-5662-01,9.4405,6.8326,9.6738,11.7573,9.983,9.8931,6.2583,8.2408,,,,,,
GTEX-WHPG-1626-SM-4M1ZL,6.4377,2.0478,7.4809,10.946,8.0895,9.2271,2.3729,1.6276,,,TCGA-CA-6718-01,10.7679,9.5052,10.5005,11.8098,9.5621,10.2901,9.2684,9.0061,,,,,,
GTEX-YJ8A-1726-SM-5P9IQ,8.3185,7.258,9.142,11.7588,8.5582,9.6961,4.9167,6.917,,,TCGA-CA-5255-01,9.4908,8.2484,9.2481,11.1941,9.0939,9.0068,8.5438,7.974,,,,,,
GTEX-WHWD-1526-SM-4OORV,6.9708,3.7778,7.9492,11.4801,8.9161,9.2814,0.9323,0,,,TCGA-F4-6856-01,9.462,9.4113,9.6416,11.267,7.2841,8.4354,8.5468,9.5111,,,,,,
GTEX-13CF2-1826-SM-5N9GK,7.2998,5.0907,8.2064,11.4463,9.3211,9.1081,2.7033,5.3466,,,TCGA-AY-A8YK-01,10.9906,9.2959,9.6708,12.0353,9.5297,8.9861,8.5349,9.2062,,,,,,
GTEX-13OW8-2726-SM-5L3FZ,6.5661,1.1387,6.529,11.1759,9.3212,9.1475,1.7671,0,,,TCGA-CM-5860-01,9.7536,8.3839,9.7178,11.525,9.8187,9.0411,7.9082,8.2421,,,,,,
GTEX-11EQ9-1526-SM-5PNY7,7.7796,7.272,8.7009,11.6206,8.2257,9.4863,4.0934,6.1423,,,TCGA-A6-6781-01,8.727458392,9.092899067,10.22228281,10.54914016,8.860100988,9.214956074,7.983562292,8.700090468,,,,,,
GTEX-11ZU8-1126-SM-5EQ5K,5.5433,3.1784,8.8952,11.0905,8.3039,8.6131,2.3295,0,,,TCGA-AZ-5403-01,9.3369,7.8897,9.6771,11.958,10.3453,9.6619,6.9674,8.8221,,,,,,
GTEX-11P82-1226-SM-5HL5P,5.5061,3.5983,10.0123,11.7438,7.651,9.1449,3.5983,3.1597,,,TCGA-AA-3663-01,9.4549,9.0305,9.1957,11.7862,9.5687,9.3125,8.2683,8.3315,,,,,,
GTEX-11PRG-2026-SM-5GU5F,6.3596,4.053,8.2971,10.8247,9.1615,8.8618,2.0426,1.3561,,,TCGA-NH-A50U-01,9.9591,9.4796,10.4346,11.6105,9.7465,8.9449,8.6307,9.4773,,,,,,
GTEX-117XS-2226-SM-5GIE1,6.6363,2.7284,7.6084,11.1051,9.4147,8.9885,1.9312,2.7284,,,TCGA-CM-6674-01,9.5877,9.3641,9.1703,11.2491,8.2863,8.5495,8.1605,9.7103,,,,,,
GTEX-14A5H-1626-SM-5SIAN,6.4712,1.3757,9.0338,11.7032,8.613,9.4238,1.3757,0,,,TCGA-AZ-4323-01,9.9845,9.3416,10.2506,12.1042,9.6815,9.6592,9.0546,8.2057,,,,,,
GTEX-Z93S-2626-SM-57WBX,7.0633,2.7073,8.4535,11.3708,8.4384,8.9917,1.6837,1.6837,,,TCGA-CM-6675-01,10.9231,9.5354,10.1844,11.4032,7.7394,9.362,9.3575,10.2025,,,,,,
GTEX-ZY6K-1326-SM-5GZWP,5.747,2.3988,8.9186,11.6434,8.64,9.6796,0,0,,,TCGA-D5-6927-01,9.8586,9.7263,10.0058,11.8814,8.6956,8.8567,8.3036,9.4422,,,,,,
GTEX-11DXZ-1626-SM-5GIDI,7.12,2.4571,8.6585,11.4144,8.5247,9.4839,3.3194,2.4571,,,TCGA-A6-6141-01,9.2489,8.7949,9.666,11.1735,8.7562,8.8268,7.6406,8.841,,,,,,
GTEX-ZTTD-2626-SM-57WEX,6.2737,4.1462,8.6466,11.9458,9.1357,9.3631,2.5294,3.0286,,,TCGA-AA-3492-01,9.6675,9.4701,8.9954,11.8626,8.808,9.7709,7.7398,8.7294,,,,,,
GTEX-Y5V6-1626-SM-4VDT2,7.2638,8.5336,8.9754,11.7202,8.7253,8.3443,4.9682,7.7744,,,TCGA-G4-6302-01,8.659,8.0392,9.3259,11.0227,7.8314,9.1265,7.0811,6.959,,,,,,
GTEX-ZAB4-2426-SM-5HL8A,6.0617,3.1531,8.0526,10.7988,8.7267,8.5648,4.1785,2.647,,,TCGA-NH-A5IV-01,10.308,10.4721,9.9716,11.9488,8.6936,9.1644,8.5103,9.2952,,,,,,
GTEX-13N2G-2226-SM-5IJCU,7.1605,2.7906,8.0304,11.2595,9.3498,8.9692,1.9854,1.9854,,,TCGA-CK-6751-01,9.8219,9.6358,9.565,11.2204,8.6679,8.5896,7.8412,9.1916,,,,,,
GTEX-14C39-1626-SM-5S2P4,5.9565,2.3175,8.7921,11.5027,8.9124,9.056,2.3175,2.9338,,,TCGA-CK-6747-01,9.3502,9.781,9.6638,11.3845,8.6442,8.884,8.3612,9.3802,,,,,,
GTEX-13X6I-2726-SM-5Q5ET,6.0741,3.432,8.6951,10.9944,8.9799,8.6352,4.6402,3.8132,,,TCGA-A6-5665-01,9.136050735,9.615128072,9.923749366,11.28401057,9.324471591,9.100779866,9.389299694,9.338743182,,,,,,
GTEX-13111-1926-SM-5GCOL,6.5885,2.6876,8.3313,10.9831,7.4755,9.5123,0,1.2391,,,TCGA-CK-6746-01,9.6732,8.6112,9.9056,11.7034,9.522,9.0266,9.6041,9.4155,,,,,,
GTEX-XXEK-1826-SM-4BRVC,6.8246,1.2552,8.4476,11.5946,9.2167,9.8208,1.9161,0,,,TCGA-CM-6168-01,9.215,8.3815,10.296,11.5179,9.589,9.1536,8.844,9.0013,,,,,,
GTEX-YF7O-1626-SM-5IFII,6.4441,2.3501,8.8669,11.3568,8.0645,9.3412,2.3501,1.2426,,,TCGA-QL-A97D-01,10.4572,10.0948,10.4372,12.179,9.2514,9.1966,8.6971,9.2122,,,,,,
GTEX-X5EB-1126-SM-46MVV,8.5485,9.392,9.6151,11.8317,8.6455,8.5424,6.4598,8.6934,,,TCGA-AA-3496-01,10.2238,8.0265,10.0032,11.5753,9.4766,9.8397,8.2663,8.5157,,,,,,
GTEX-11TUW-2326-SM-5EQMO,7.3242,1.9521,9.4886,11.5325,8.8474,9.8275,1.2837,1.2837,,,TCGA-A6-2672-01,9.147290952,10.21653011,10.40159242,11.38168304,9.287484719,9.511651908,10.23439562,9.092413551,,,,,,
GTEX-11EQ8-2626-SM-5N9BO,7.1294,5.7496,8.2264,11.9196,9.6061,9.141,5.5649,3.0948,,,TCGA-AZ-4616-01,10.0217,8.2077,10.1257,12.5095,9.1299,8.96,7.9105,7.9298,,,,,,
GTEX-11ONC-1926-SM-5GU75,7.3103,7.232,7.9324,11.1535,9.1589,8.1611,5.6339,6.6678,,,TCGA-A6-2686-01,9.7292,9.0426,9.1108,11.8148,9.53,10.4582,7.9369,8.9549,,,,,,
GTEX-13G51-2126-SM-5IJD9,6.8246,1.2449,8.5242,11.1879,8.7728,9.2266,0,1.9031,,,TCGA-AD-6548-01,10.652,9.1252,10.3265,11.9758,9.5657,9.3341,8.2206,9.0536,,,,,,
GTEX-1399R-2126-SM-5K7WZ,6.7073,1.9249,8.1894,11.1807,8.33,9.3737,1.2622,1.2622,,,TCGA-A6-5661-01,8.452095209,9.388866619,10.129557,10.89313401,8.122014969,8.342478205,8.427694972,9.078337661,,,,,,
GTEX-YEC3-2026-SM-5CVLQ,7.2885,3.8943,8.8016,11.5763,7.5326,9.9079,2.3676,1.9161,,,TCGA-AA-3662-01,9.6439,8.8839,10.3507,12.2167,10.3248,9.3865,7.844,8.5197,,,,,,
GTEX-ZE9C-2126-SM-4WKGY,7.6522,2.707,8.4255,11.3313,8.6108,9.1603,4.0429,2.707,,,TCGA-AA-A01P-01,9.7121,9.4975,9.5559,11.3749,8.7397,9.247,8.6391,8.8162,,,,,,
GTEX-WH7G-1426-SM-4LVMU,7.5922,8.9037,8.9502,11.7225,8.2133,8.4923,5.3283,7.7839,,,TCGA-AA-A01X-01,9.4426,7.4759,10.149,11.9295,9.1217,10.0313,6.5076,7.6072,,,,,,
GTEX-12WSM-1426-SM-5GCPA,6.4851,1.736,8.655,11.6813,9.2962,9.6444,2.1688,2.1688,,,TCGA-AU-3779-01,9.9037,8.7968,10.0144,11.8649,9.4834,10.1284,7.2585,8.4157,,,,,,
GTEX-ZDTS-2726-SM-5L3E2,7.1936,1.295,8.8827,11.5668,8.1665,9.1753,2.4226,1.295,,,TCGA-D5-6535-01,10.0163,8.7653,10.1471,10.9668,9.2236,9.2617,8.721,9.5102,,,,,,
GTEX-111YS-1826-SM-5GIEP,7.5112,1.2801,7.8517,11.4076,8.3416,9.6863,1.9475,1.2801,,,TCGA-CK-4951-01,9.7141,9.4948,10.078,11.6298,9.4647,9.0759,8.5852,9.4739,,,,,,
GTEX-WQUQ-2626-SM-4MVNP,8.1839,7.1712,8.2967,11.7857,9.2598,9.3942,4.6915,5.6966,,,TCGA-D5-6538-01,9.6663,8.5837,10.7865,12.718,10.5937,9.5651,7.7799,9.2739,,,,,,
