,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-OOBJ-1026-SM-3NB2L,5.691,3.5865,6.9062,11.3698,9.2207,9.3214,2.9275,0,,,TCGA-2J-AABE-01,8.0244,6.2281,9.5706,11.0674,7.6397,8.6735,5.7877,6.887
GTEX-Q2AH-0926-SM-48TZK,5.9121,4.6822,8.1155,11.521,8.45,9.2901,3.9822,3.4422,,,TCGA-2J-AABF-01,8.7528,7.5532,9.9806,11.7542,8.2122,9.1075,7.1073,7.6844
GTEX-V955-0326-SM-4JBGV,5.8104,2.3036,6.966,11.5784,8.9101,9.1939,3.6793,3.1496,,,TCGA-HZ-8519-01,7.7316,5.8055,9.5578,11.1826,8.6548,9.5033,5.7457,5.8402
GTEX-ZAB4-1726-SM-5HL8C,5.6293,3.6493,7.2614,10.8808,9.1,8.6375,4.1015,0,,,TCGA-IB-7890-01,8.8775,5.3283,9.4073,10.7898,7.5153,8.5366,9.0221,6.7779
GTEX-YF7O-1326-SM-4W1ZR,5.2471,3.4123,7.3802,11.1441,8.7756,9.3404,3.4123,0,,,TCGA-US-A77E-01,8.2748,6.5814,9.6687,10.8861,8.0149,9.0901,6.6253,6.1714
GTEX-11ONC-0526-SM-5BC57,4.5865,2.1008,7.3415,10.8035,9.4873,8.592,0,0,,,TCGA-HV-A7OP-01,10.2605,7.5755,8.5652,11.3758,7.5675,9.383,3.6966,5.3932
GTEX-XMK1-0326-SM-4B652,5.7916,3.3313,7.5102,11.1559,8.5341,8.6912,3.7752,2.2098,,,TCGA-HZ-7918-01,8.0802,7.0432,9.5627,10.967,8.4831,9.4677,6.9082,7.3514
GTEX-QEL4-1326-SM-447AD,5.386,3.9614,6.3686,11.1828,9.1366,8.5476,4.7676,0,,,TCGA-HZ-A4BK-01,8.4736,6.9644,9.0358,11.4945,7.8656,8.8547,7.6076,6.6794
GTEX-QV44-0426-SM-4R1KF,6.9447,4.3429,8.0827,11.2724,9.1578,8.9733,4.5551,4.094,,,TCGA-2J-AAB8-01,7.8034,7.1126,9.4816,11.1762,8.4053,8.9687,6.5181,7.4295
GTEX-WFJO-0626-SM-4LVMC,5.415,5.083,7.3895,11.1293,8.5009,9.2148,3.5807,3.2886,,,TCGA-2J-AABK-01,8.2259,6.781,9.1436,11.4788,8.9147,9.2146,6.597,7.2447
GTEX-WYJK-2426-SM-4ONDQ,6.3739,4.1543,8.1314,11.4893,8.7735,9.5835,5.0229,3.2332,,,TCGA-3E-AAAZ-01,9.0712,6.8603,9.121,11.4065,7.8491,9.4362,6.7209,7.3298
GTEX-144GN-0826-SM-5LU5G,4.9728,4.3364,7.2874,10.8108,8.7041,9.2638,3.945,3.6089,,,TCGA-FB-AAPP-01,9.3253,7.8281,8.4646,11.5646,8.2505,9.1102,7.6391,8.2804
GTEX-SIU7-0926-SM-4BRX1,5.6316,2.121,6.8652,11.2124,8.2517,9.2476,4.8815,2.591,,,TCGA-FB-AAPY-01,7.5791,6.5866,9.064,11.3896,8.2383,9.0227,5.1565,6.5866
GTEX-145MN-1426-SM-5SI9H,5.4122,2.7951,7.9572,10.9347,8.4621,8.9561,3.8935,2.3105,,,TCGA-HZ-7920-01,7.006,6.2321,9.6085,11.3784,8.3923,9.7267,5.5011,6.0925
GTEX-Y9LG-0726-SM-4VDS3,8.2905,6.9681,9.2459,11.4316,8.4441,9.1693,5.8125,6.2143,,,TCGA-IB-A5SO-01,7.1909,5.9794,9.5088,11.061,8.031,8.993,5.6817,6.108
GTEX-11LCK-0226-SM-5A5M6,5.3084,2.8949,7.2405,10.9865,8.4544,8.7914,4.1833,0,,,TCGA-F2-6880-01,6.8686,2.6661,7.4122,10.4532,7.8478,8.9762,2.6661,2.1906
GTEX-QESD-0226-SM-447BH,4.5323,0,7.7483,11.5459,8.9702,9.5222,3.5934,2.2296,,,TCGA-HV-A7OL-01,9.5686,8.0581,8.3746,11.5082,8.0788,8.7464,5.9389,6.7896
GTEX-144FL-1526-SM-5Q5CA,5.6187,2.0376,8.6328,11.3853,9.2767,9.1436,5.5724,2.8502,,,TCGA-HZ-A9TJ-01,8.2724,5.8359,10.0795,11.7673,8.174,9.5237,6.7634,6.4809
GTEX-YB5E-0526-SM-4VDSD,7.051,4.8015,8.2132,11.488,8.5142,9.2347,4.873,4.0502,,,TCGA-HZ-8001-01,8.0337,7.071,8.319,11.4963,8.2582,9.1663,5.2765,6.6985
GTEX-PSDG-1526-SM-48TCY,5.0071,3.034,6.8285,11.4844,8.8996,9.2465,3.6987,0,,,TCGA-FB-AAQ0-01,7.7582,6.16,9.5674,11.8001,8.2158,8.9325,6.9208,7.0775
GTEX-S33H-1226-SM-4AD69,5.9358,3.8166,7.4412,11.6904,9.5657,9.2426,6.7938,2.6406,,,TCGA-IB-AAUP-01,8.6102,8.7424,9.8062,11.4868,9.1218,8.9858,6.808,7.7968
GTEX-XPVG-0326-SM-4B653,5.8851,4.5782,7.7056,11.3923,8.2986,8.9197,5.1065,2.6512,,,TCGA-3A-A9I9-01,8.4355,7.0149,9.344,11.0107,8.1386,8.7551,6.5419,6.5136
GTEX-R55D-1426-SM-48FEN,6.2875,4.3855,7.3679,11.532,8.3748,9.1375,3.4529,1.8022,,,TCGA-3A-A9IS-01,7.9,4.7427,6.722,10.4895,8.9127,9.3899,3.9752,3.4994
