samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-XE-AANR-01,10.7342,9.5541,9.3998,10.9989,9.3458,10.27,8.6694,5.343,,,GTEX-YEC3-1726-SM-5IFIK,10.3727,10.2807,9.2046,12.1141,9.0717,9.7913,9.7465,7.9106
TCGA-YU-A90Y-01,11.1664,8.7728,10.733,12.5627,9.3367,10.0533,9.7529,8.5606,,,GTEX-YEC4-1526-SM-4W1YU,10.4568,9.874,9.2205,11.9305,9.4069,10.2865,8.9748,8.0517
TCGA-2G-AAGX-01,10.369,9.4538,9.9317,11.1635,9.4335,9.8417,9.9834,8.7489,,,GTEX-YB5E-1926-SM-5IFIG,10.2997,9.4464,9.4374,12.0837,9.1982,10.0394,7.9987,7.2355
TCGA-2G-AAKG-01,10.6232,9.4925,10.3147,11.8643,9.3346,9.8624,8.8492,7.7339,,,GTEX-U3ZM-1626-SM-4DXSK,10.4084,9.8967,9.2902,11.9073,9.1084,10.1835,7.5502,7.4482
TCGA-SB-A6J6-01,11.5258,10.0135,10.5323,11.9063,9.7397,10.6757,9.5273,7.9529,,,GTEX-NFK9-0126-SM-3LK5H,10.1511,9.4349,8.6839,11.9175,9.0656,10.2995,8.0211,6.7377
TCGA-2G-AAG8-01,11.368,9.9234,10.5162,12.7372,9.5811,10.6288,9.428,8.1413,,,GTEX-NPJ8-1226-SM-3MJHM,7.725,6.2477,8.3873,12.0708,9.6953,9.871,3.8433,4.1239
TCGA-2G-AAGE-01,10.9118,9.533,10.4235,12.6861,10.5804,10.2827,10.4188,8.3497,,,GTEX-S4Z8-2126-SM-4AD5H,10.246,8.9412,8.5014,12.0155,9.0147,10.7521,7.2611,5.919
TCGA-SN-A84X-01,11.0232,9.1787,9.3382,12.2743,9.9128,10.161,8.0702,6.7717,,,GTEX-131XF-2026-SM-5DUWG,8.0806,5.1946,8.453,11.6742,9.012,9.4667,3.865,4.167
TCGA-YU-A90Q-01,10.9557,10.7394,10.3647,11.6468,8.8815,11.2155,8.8196,8.2812,,,GTEX-SNMC-1026-SM-4DM7K,10.2684,9.4655,8.9838,12.1035,9.3446,10.0364,8.7143,7.8775
TCGA-2G-AAGG-01,10.135,8.7744,10.1836,11.7502,9.4216,9.6789,9.3132,8.6743,,,GTEX-S7SE-0326-SM-4AT5Q,10.6627,9.7034,8.9887,12.125,9.0898,10.0373,8.9887,7.5496
TCGA-2G-AAGK-01,10.7595,9.6287,10.5821,12.3382,8.9775,10.531,10.0665,8.2361,,,GTEX-QLQW-1026-SM-447A9,10.3596,9.6457,9.2172,11.8836,9.0321,10.0477,8.8426,7.9463
TCGA-2G-AAH2-01,10.8363,8.9813,10.2733,12.901,9.3522,10.1741,9.3621,8.765,,,GTEX-1399Q-2826-SM-5IJEZ,9.2137,8.1508,9.1735,12.3349,9.3301,10.0027,6.9519,5.9922
TCGA-2G-AAH3-01,10.9306,11.1108,10.4228,11.323,9.9784,10.9042,9.8608,7.9963,,,GTEX-13OVH-0726-SM-5N9BU,10.1058,9.5282,9.3527,11.9932,9.0509,9.9384,8.9814,6.99
TCGA-WZ-A7V3-01,11.0968,10.3277,10.5999,11.4757,9.8345,10.8786,9.9672,6.6649,,,GTEX-QMRM-1526-SM-4R1K6,10.0816,9.8021,9.0731,11.7994,9.1171,10.0868,9.1774,7.1526
TCGA-2G-AAKH-01,11.1579,9.6501,11.2507,12.0183,9.3007,10.173,10.0209,8.7047,,,GTEX-11UD2-2826-SM-5GU6X,11.1116,9.4963,9.6351,11.8997,9.2042,10.5156,7.382,6.2085
TCGA-2G-AAKD-01,10.9822,8.9975,10.0702,12.1011,9.8168,9.5452,9.3349,7.2368,,,GTEX-ZT9X-1426-SM-5DUX1,10.0333,9.7903,9.2076,12.0167,8.7355,9.8375,8.2057,6.6736
TCGA-SN-A84Y-01,11.2855,8.9165,11.3539,12.6385,10.4468,10.0184,10.4301,8.2532,,,GTEX-11WQK-2826-SM-5EQKH,10.9295,9.2783,9.9202,12.1425,9.5619,10.5524,8.0472,6.235
TCGA-VF-A8A8-01,11.2435,8.3016,11.432,12.2722,10.1106,10.3961,9.9837,7.7298,,,GTEX-QV44-1726-SM-4R1KG,9.5577,8.5814,9.0648,11.8591,9.0644,10.276,8.1448,6.5865
TCGA-2G-AAKM-01,11.1042,9.1429,10.0373,12.0246,8.3411,10.2949,9.6539,7.6752,,,GTEX-QEG4-0126-SM-48TZE,10.3266,10.1018,8.7968,12.0736,8.835,9.5134,9.3955,7.8581
TCGA-2G-AAKO-01,10.2255,10.498,10.8008,11.4751,9.0106,10.57,8.6272,8.3543,,,GTEX-RM2N-1326-SM-48FCW,10.2754,9.6183,9.2703,11.9162,9.0856,10.0596,8.5321,7.7311
TCGA-2G-AALF-01,11.2557,8.2708,8.1863,12.9406,9.1367,10.6606,7.0007,7.2165,,,GTEX-11DXY-0226-SM-5H123,10.3865,8.8659,9.5457,11.7352,9.3778,10.6283,7.0178,6.1388
TCGA-2G-AALG-01,10.7837,8.5409,8.7586,11.7954,8.4452,9.6719,7.838,7.2717,,,GTEX-WZTO-0326-SM-4PQYZ,10.6,9.8903,9.2441,12.1522,8.9037,9.6041,9.4746,7.8845
TCGA-2G-AALN-01,11.1467,8.8911,10.0702,11.9248,9.8742,10.4765,9.2,7.4727,,,GTEX-ZA64-1626-SM-5CVME,10.393,9.6457,9.015,11.9316,8.7967,9.9877,8.9369,7.5285
TCGA-2G-AALO-01,9.1844,8.0469,9.5915,10.9916,8.5295,9.4147,7.5751,8.0972,,,GTEX-P4PQ-2126-SM-3NMCV,9.9502,7.9113,9.2904,11.8424,9.215,10.3815,6.5877,6.4197
TCGA-2G-AALQ-01,11.4253,9.7399,9.4275,12.0491,9.2822,9.9397,9.4123,7.9458,,,GTEX-ZLFU-2026-SM-4WWG2,10.0028,8.6322,9.6507,12.0982,8.9341,10.2517,6.6019,6.9898
TCGA-2G-AALR-01,10.6278,8.4862,9.9995,11.6718,10.2289,10.3928,9.3001,8.9316,,,GTEX-PLZ5-1526-SM-3P5ZX,10.5065,9.269,9.1965,12.2438,8.9999,10.5353,6.9434,7.1163
TCGA-2G-AALS-01,10.6023,9.2567,9.9307,12.0312,9.1307,9.5665,8.8132,7.7501,,,GTEX-145MF-1726-SM-5LU9H,10.6824,9.2716,8.766,11.8073,9.0968,10.2294,7.5785,6.7942
TCGA-2G-AALT-01,10.1872,8.6552,9.1576,12.0137,8.0688,9.9403,7.6968,7.6084,,,GTEX-T8EM-0126-SM-4DM5R,10.0474,9.6821,9.2016,12.0464,8.9887,9.894,8.7181,7.5423
TCGA-2G-AALW-01,10.0786,8.9149,9.6404,11.0633,8.2176,10.4468,9.4382,8.2359,,,GTEX-144GN-1626-SM-5Q5BU,9.9743,9.4158,8.6837,11.8999,8.8682,9.7358,8.5443,7.2218
TCGA-2G-AALX-01,10.0726,8.5582,9.7327,11.2246,8.92,9.6322,9.3233,8.1241,,,GTEX-11TT1-2226-SM-5GU6B,10.2492,9.8521,8.9583,11.9545,9.1198,10.2511,8.5682,7.4148
TCGA-2G-AALY-01,11.0483,8.6086,10.444,11.9145,9.9181,9.9492,9.0205,8.4189,,,GTEX-WH7G-1926-SM-4LVMM,10.0321,9.9566,8.8184,12.0032,8.9456,9.5124,9.2876,7.4051
TCGA-2G-AALZ-01,9.7398,8.8572,8.9507,11.3746,7.6792,9.4054,8.6422,7.3534,,,GTEX-111CU-1726-SM-5EGHM,10.2632,9.7454,8.9355,11.8963,9.1522,10.0204,9.0974,7.6883
TCGA-2G-AAM2-01,11.6348,8.9119,11.0562,12.3321,9.8825,10.3292,10.5044,8.5594,,,GTEX-S4Q7-1226-SM-4AD5I,10.0946,9.3935,9.2993,11.9656,9.0537,9.7199,8.1196,7.1622
TCGA-2G-AAM3-01,9.4209,7.5996,9.3425,11.3515,9.0915,9.6865,7.8667,6.7061,,,GTEX-WY7C-2226-SM-4ONCS,10.8965,9.6728,8.937,12.074,9.2134,10.4554,7.3164,7.0551
TCGA-2G-AAM4-01,12.3221,8.4375,11.307,12.8016,9.7188,9.8804,10.5872,8.981,,,GTEX-ZAB4-0126-SM-5CVMG,9.822,8.8966,9.3646,11.6133,9.1301,10.4803,7.3393,6.5703
TCGA-2G-AAGI-05,11.1924,10.9094,10.5082,11.5779,9.4578,10.4101,9.1357,8.491,,,GTEX-Y8E4-2226-SM-5LU94,10.6904,9.4805,8.6902,11.8028,9.4105,10.6277,8.0666,6.9251
TCGA-2G-AAHP-05,11.4093,10.8138,10.8115,11.4852,8.3462,10.866,8.8783,8.796,,,GTEX-U3ZH-1526-SM-4DXV1,10.2744,9.13,9.24,12.0598,9.0095,10.189,7.9633,7.1957
TCGA-2G-AAFG-05,11.3075,10.5388,10.1842,11.9618,9.6902,10.0026,8.3379,7.3169,,,GTEX-WVJS-2726-SM-4MVNU,7.7161,6.414,8.1885,11.6434,9.4354,10.0494,5.7648,3.9112
TCGA-2G-AAGY-05,11.2542,11.3058,10.4737,11.2433,8.3307,10.5226,8.7138,8.102,,,GTEX-X4XX-0726-SM-4QARS,10.1098,7.7782,8.9793,12.1238,9.2496,10.1726,6.9053,5.6871
TCGA-2G-AAKG-05,12.8284,9.8708,7.9772,11.304,6.8903,9.9184,4.3651,3.8802,,,GTEX-13QJ3-0226-SM-5S2PU,9.5715,7.4771,8.6531,11.9185,8.8611,10.0605,6.3868,5.7055
TCGA-2G-AAKO-05,10.421,10.1607,10.6842,11.4924,8.4165,10.5969,8.8172,7.993,,,GTEX-WOFM-1126-SM-4OOSB,10.4348,9.6256,8.9328,12.2103,8.7661,10.0101,8.1277,7.4185
,,,,,,,,,,,GTEX-ZTX8-1126-SM-51MRM,9.9057,9.261,9.3585,11.8901,9.2085,10.3208,7.0952,7.8131
,,,,,,,,,,,GTEX-147F4-0626-SM-5LUAK,9.9815,9.0137,9.0573,11.6454,9.032,10.4428,7.7097,6.2924
,,,,,,,,,,,GTEX-XLM4-1526-SM-4AT6D,9.9696,9.0951,8.9828,11.6509,9.0625,9.8315,7.2306,7.2462
,,,,,,,,,,,GTEX-14A6H-2326-SM-5Q5B5,9.7921,8.8876,9.2674,11.8308,9.4354,10.298,7.3533,6.8088
,,,,,,,,,,,GTEX-11ONC-2226-SM-5HL6D,10.3871,9.4306,9.3764,11.9753,9.0623,10.1059,7.9237,7.3145
,,,,,,,,,,,GTEX-R55D-0126-SM-48FEL,9.4215,8.7936,8.9002,11.8268,9.154,10.1288,7.8594,6.2868
,,,,,,,,,,,GTEX-ZY6K-1726-SM-5GZX8,10.1217,7.9438,8.794,12.0303,9.3922,10.2143,5.6451,6.5866
,,,,,,,,,,,GTEX-SIU7-1526-SM-4BRWQ,7.0326,3.5234,9.7292,11.3577,8.7454,9.8783,1.8579,4.0659
,,,,,,,,,,,GTEX-QDVN-1926-SM-48TZ8,9.6517,8.5479,8.7207,11.9137,8.7171,10.2733,5.8151,5.5571
,,,,,,,,,,,GTEX-RN64-2326-SM-48FDW,9.8961,8.6804,9.1489,11.9808,8.8487,10.101,6.9878,7.256
,,,,,,,,,,,GTEX-X261-2326-SM-4PQYU,10.0689,9.2541,9.4734,11.9164,8.9601,10.1093,7.5292,7.4103
