samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-2G-AAGA-01,11.4437,10.3613,11.2727,12.5512,9.8156,10.7855,10.088,8.4222,,,GTEX-QEG5-0126-SM-4R1JR,9.6305,9.8675,8.6575,11.924,9.2825,9.6312,9.0786,7.0574
TCGA-2G-AAGW-01,11.8421,8.9431,10.45,12.3403,11.1388,10.3922,9.489,7.8289,,,GTEX-11NUK-2626-SM-5A5MB,10.4483,10.0888,9.145,11.9982,9.1336,9.6171,8.9687,7.6561
TCGA-SB-A76C-01,11.0836,10.3596,10.9433,12.0904,9.2104,11.44,8.9231,7.9379,,,GTEX-Y5V6-1726-SM-4VDSZ,10.2727,10.241,9.1128,12.1432,9.4114,10.0054,9.8581,7.3562
TCGA-WZ-A8D5-01,11.6528,10.3772,10.7882,11.897,9.5271,10.0586,9.7762,8.0676,,,GTEX-QV31-1126-SM-4R1K4,10.1059,10.5307,8.9834,11.9721,8.8151,9.9362,10.0787,7.1417
TCGA-XE-AAOL-01,10.3982,9.8672,10.2694,11.4947,9.7339,10.144,9.7598,6.8278,,,GTEX-ZUA1-2726-SM-59HLJ,10.5608,10.3065,9.356,12.0917,9.1402,10.2441,9.6063,7.2841
TCGA-2G-AAFE-01,11.6267,10.8462,10.5012,11.7117,8.7993,11.0101,9.5252,8.02,,,GTEX-111VG-1926-SM-5GIDO,10.7192,10.2169,8.6548,12.1952,9.1429,9.6195,10.1829,8.3787
TCGA-S6-A8JW-01,10.9415,10.6759,10.7761,11.8216,8.4994,11.055,10.2363,8.1156,,,GTEX-11EQ8-1426-SM-5EGJR,8.4696,10.105,8.629,12.4027,9.8897,9.7836,9.8097,5.785
TCGA-XE-AANI-01,10.2866,8.6395,9.9948,11.4786,9.3426,10.0638,9.838,8.3689,,,GTEX-14ABY-0626-SM-5Q5C9,10.3419,10.657,9.004,11.962,9.1375,9.6114,10.725,8.2104
TCGA-XY-A9T9-01,10.8615,10.362,10.5001,11.5462,9.5589,10.3084,9.3384,8.0765,,,GTEX-XMK1-2026-SM-4B65K,10.2653,9.9106,9.7119,12.0345,9.2564,10.2059,8.6271,7.6835
TCGA-2G-AAG5-01,9.2972,7.8133,9.5468,11.6637,8.5667,8.9672,8.3379,7.7766,,,GTEX-PLZ6-1226-SM-3P5ZS,9.9968,9.0711,8.9705,11.7924,9.15,10.0639,7.8125,6.6893
