,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-13OVI-2426-SM-5KM4J,7.1487,3.9966,8.2714,10.962,7.7104,9.3866,1.1679,4.206,,,TCGA-RD-A8MW-01,9.6997,8.6942,9.7342,11.7403,8.4399,9.3256,7.4132,8.8412
GTEX-XV7Q-1326-SM-4BRWM,8.5344,8.2685,8.8879,11.5781,9.5296,9.0832,7.2658,9.0956,,,TCGA-VQ-A8P3-01,10.182,9.3999,9.1116,11.5655,8.3857,9.3723,9.0603,9.5638
GTEX-12WS9-1426-SM-5FQT3,5.7701,2.9442,9.2053,12.0054,9.5757,9.5724,3.1396,3.1396,,,TCGA-CG-5720-01,10.0583,9.1529,9.0938,11.9156,7.9674,8.8014,8.1158,9.3998
GTEX-ZF2S-1426-SM-57WET,7.0317,5.0004,8.299,11.0781,9.0469,8.8942,4.0447,8.169,,,TCGA-HU-A4GQ-01,9.4723,8.3725,9.7723,11.4048,9.5974,9.3693,8.7909,11.0337
GTEX-POMQ-0826-SM-3P61H,9.2668,8.899,8.8485,11.7279,8.4639,8.8644,7.6672,10.721,,,TCGA-HU-A4H5-01,9.8566,7.783,10.5683,11.071,9.5815,9.4664,8.4984,9.8246
GTEX-S4P3-0726-SM-4AD57,6.4502,5.4387,8.3203,11.3058,7.6042,9.5543,3.2441,3.8639,,,TCGA-R5-A805-01,9.5811,8.6504,9.362,11.454,8.6952,8.9863,8.3235,9.4419
GTEX-S7SF-0626-SM-4AD4V,8.1664,7.0599,8.3223,11.3987,8.4692,9.7575,5.6492,7.3659,,,TCGA-ZA-A8F6-01,8.4665,7.2579,9.3081,11.0481,8.7004,8.9877,6.8417,8.5922
GTEX-13FH7-1026-SM-5IJGF,6.777,2.9778,8.9265,11.1851,8.2486,9.4441,0,7.3146,,,TCGA-3M-AB46-01,11.2561,9.8584,10.8827,11.0046,8.1348,9.8336,9.4755,10.3821
GTEX-12WSD-2326-SM-59HKQ,7.7995,4.8752,8.4832,11.0524,8.4065,8.8546,3.842,7.6398,,,TCGA-BR-6801-01,9.3978,7.2589,9.7446,12.0071,8.0276,9.5424,7.9717,8.6743
GTEX-132AR-2426-SM-5IFFD,8.8108,7.8456,8.3707,11.4631,9.6665,9.3877,7.3119,8.1998,,,TCGA-BR-A44U-01,9.1385,7.9408,9.4913,11.4807,10.4201,9.283,7.7579,8.3095
GTEX-12WSJ-0926-SM-5P9JD,7.4063,6.146,9.4759,11.9435,7.7524,9.6285,3.5535,5.3099,,,TCGA-BR-A4J2-01,9.3146,8.9767,9.9202,11.7627,9.2727,9.403,8.0574,9.075
GTEX-13113-0726-SM-5LZUF,7.5997,6.5039,8.0541,11.3749,8.4821,8.8321,4.8035,8.0622,,,TCGA-CG-4469-01,9.4916,9.4932,10.1862,11.5679,9.817,9.3575,9.5293,10.0267
GTEX-OHPK-1526-SM-3MJGM,8.4703,7.4932,8.6653,11.3581,8.0254,9.3126,6.3771,9.0602,,,TCGA-EQ-A4SO-01,9.5189,7.9057,9.8635,11.4898,9.9406,9.2759,8.5093,9.227
GTEX-ZZPU-1426-SM-5GZZ6,7.4004,6.3444,8.4584,11.277,8.3167,9.1785,4.7151,7.1058,,,TCGA-F1-A448-01,9.5578,9.4409,9.9014,11.4082,8.9417,9.1581,8.0131,9.8387
GTEX-13S7M-1826-SM-5RQK6,7.1879,6.8124,8.684,11.1293,9.0438,8.5968,5.1809,8.0975,,,TCGA-HU-8608-01,10.0862,10.8391,10.597,11.9095,9.3139,9.2505,9.538,10.2716
GTEX-13D11-2126-SM-5IFH2,7.0227,5.9645,8.3785,11.2474,8.6068,9.2033,3.89,7.581,,,TCGA-IN-A6RO-01,11.3578,10.7396,11.9169,12.308,8.9301,9.8436,9.8185,10.9899
GTEX-Y114-1226-SM-4TT88,7.8871,1.7783,8.9912,11.4313,7.618,10.2108,2.551,1.7783,,,TCGA-RD-A8N1-01,9.4599,8.8797,9.8337,12.065,8.5395,9.1525,8.6408,10.5715
GTEX-R55G-1126-SM-48FDG,6.9682,6.398,9.1672,11.4696,7.2106,9.7864,1.3631,4.3124,,,TCGA-VQ-A8DZ-01,10.202,8.7969,10.2969,12.4517,9.8102,9.6544,9.0358,9.4643
GTEX-Q734-1026-SM-48U16,6.9391,5.5524,7.1167,11.4407,9.24,9.0908,3.8855,5.4038,,,TCGA-VQ-A91D-01,9.1402,9.0936,9.6221,11.7766,9.151,8.7197,10.2229,9.0841
GTEX-RU1J-0526-SM-46MUT,7.5183,3.2492,8.1994,11.5282,7.9313,9.6324,1.1476,2.2161,,,TCGA-VQ-A922-01,10.5378,10.5439,11.4167,12.509,8.609,9.7998,10.0524,9.706
GTEX-S4UY-1626-SM-4AD55,7.1998,5.4577,8.3396,11.3689,8.5201,9.1523,3.4991,7.0767,,,TCGA-VQ-A94U-01,9.5784,9.6712,10.2253,11.5149,10.2337,9.7921,8.786,8.6914
GTEX-11I78-1726-SM-5A5M3,8.4948,7.2404,8.8028,11.0638,9.3769,9.6751,6.8084,8.3628,,,TCGA-BR-6457-01,9.0482,7.5752,8.7045,11.527,8.5958,8.7875,5.7453,9.2733
GTEX-P4QT-1526-SM-3NMCT,6.7755,4.2024,9.2389,11.8533,8.0253,9.9272,3.8393,2.6136,,,TCGA-BR-7197-01,11.0039,9.2361,10.2798,12.5674,7.0495,9.3123,8.6824,9.7645
GTEX-11DXX-1326-SM-5GIDZ,8.6185,8.5166,8.9905,11.8103,8.6251,9.1695,6.6656,9.014,,,TCGA-BR-8384-01,7.7995,7.2642,9.3222,10.8641,7.5615,9.0559,5.6048,6.633
GTEX-WRHK-0626-SM-4MVOE,7.0672,6.2679,8.1948,11.3574,8.5609,9.1061,4.323,8.359,,,TCGA-BR-8686-01,9.6291,9.5914,9.4481,10.8768,8.6145,9.0344,9.464,8.0102
GTEX-R53T-1226-SM-48FCT,6.7212,4.4996,7.8216,11.2836,9.033,9.4252,1.4864,5.6337,,,TCGA-CD-5801-01,9.8837,8.6952,9.2755,11.8444,8.8514,9.3389,8.1329,8.0748
GTEX-P4PP-1526-SM-3P61M,9.0417,8.4058,8.3863,11.8854,8.0006,9.2103,7.14,9.9452,,,TCGA-CG-4305-01,9.8668,8.9622,10.2929,11.4583,9.9031,9.5583,9.0526,9.7175
GTEX-S341-0626-SM-4AD5T,8.6992,6.9251,8.6225,11.8577,8.5565,9.6523,5.0875,7.189,,,TCGA-CG-4476-01,8.7809,7.9873,9.7116,11.0984,8.1759,9.9857,8.1537,9.1104
GTEX-ZP4G-1226-SM-4WWCJ,8.0453,7.0589,8.4066,11.5035,8.2055,9.2171,4.8108,8.6091,,,TCGA-FP-7829-01,10.1609,10.3781,9.4786,11.9005,8.748,9.3683,8.0543,9.9684
GTEX-ZVT2-1626-SM-51MRC,6.7823,5.0392,7.6845,11.4921,8.3883,9.2011,2.5931,8.1269,,,TCGA-HU-A4GF-01,10.6501,9.334,10.6516,11.765,9.4217,9.7327,8.5574,9.6057
GTEX-13QBU-1126-SM-5LU44,6.3123,3.9634,8.633,11.4514,8.0902,9.4934,3.3398,3.7839,,,TCGA-IN-A7NU-01,9.1923,7.5925,9.0634,11.3581,7.9765,9.1754,8.1948,8.8361
GTEX-OXRK-1626-SM-3NB17,6.8239,5.3921,6.7541,11.1676,9.3635,9.2666,3.5477,5.8589,,,TCGA-VQ-A8PD-01,9.0022,9.4316,10.052,11.548,8.7785,8.9819,8.4025,9.7733
GTEX-11GSP-2126-SM-5HL5E,6.7031,3.9765,7.888,11.1756,8.651,8.792,4.3685,5.2424,,,TCGA-VQ-A91K-01,9.0848,9.0901,9.9809,12.02,8.4034,9.3216,9.0499,9.2643
GTEX-1122O-1926-SM-5EGIQ,8.3097,6.5656,8.7156,11.4839,8.3847,9.3391,4.4651,6.6688,,,TCGA-VQ-A924-01,9.8976,10.6593,10.1267,11.8834,9.3489,9.2723,10.2088,10.3498
GTEX-PWN1-1526-SM-48TDA,9.4611,9.0547,8.4392,11.56,7.9481,9.2547,7.6957,10.2826,,,TCGA-CD-A486-01,10.3393,9.1138,10.6731,11.2099,9.7053,10.0176,7.8126,9.1089
GTEX-PX3G-1526-SM-48U11,7.2183,3.3982,6.9103,11.2884,8.4207,8.85,3.0281,8.1783,,,TCGA-CG-4443-01,9.4234,8.6427,9.784,11.5826,11.2389,10.1729,7.5982,8.2755
GTEX-Y3IK-1426-SM-4YCES,8.2467,8.2467,8.4684,11.1139,8.8377,8.239,7.7539,10.6477,,,TCGA-CG-5734-01,8.7436,8.5476,8.4247,11.5847,8.3818,7.7995,6.6901,7.7995
GTEX-145ME-1026-SM-5O9B4,9.0906,8.6395,8.7685,11.5815,8.5558,9.0796,7.4852,9.7061,,,TCGA-F1-A72C-01,10.299,9.0247,9.6548,11.9041,9.1285,9.0865,9.0697,8.877
GTEX-ZF29-1526-SM-4WKF7,8.1092,6.5347,8.0799,11.3609,8.168,9.4016,4.8476,7.1144,,,TCGA-FP-8631-01,10.7313,9.1061,11.0457,11.7745,9.248,9.7326,8.9916,10.761
GTEX-ZXES-1426-SM-5NQ8S,7.6044,5.5668,8.8106,11.4956,8.2641,8.8461,2.8875,8.7421,,,TCGA-FP-A4BF-01,9.9306,8.5256,9.8579,11.8301,8.9561,9.4676,8.2874,9.4109
GTEX-QCQG-0526-SM-48U2A,8.7296,9.2847,8.7251,11.6169,8.0194,8.9341,7.7985,9.9691,,,TCGA-HU-A4HB-01,9.4758,9.6635,9.7927,11.5818,9.791,8.9456,8.3352,9.3858
GTEX-13CF3-1926-SM-5K7WF,8.6512,7.7007,8.5794,11.8278,8.2704,9.4341,6.3756,7.7711,,,TCGA-IN-8663-01,9.655,7.4507,10.2339,11.7629,9.8602,9.3782,11.6659,8.9975
GTEX-PWOO-1226-SM-48TCO,9.1728,8.6134,8.5098,11.516,9.1035,9.2852,7.6336,8.9752,,,TCGA-KB-A93G-01,9.4718,8.5509,10.6067,11.5471,7.6245,9.6238,8.6194,9.4617
GTEX-13X6H-1626-SM-5Q5CT,6.5797,4.1261,8.7098,11.2877,7.3428,9.3718,2.3548,3.9452,,,TCGA-VQ-A8E0-01,10.1788,8.9415,10.2567,12.6037,6.9851,9.1055,8.3628,9.769
GTEX-ZLV1-0826-SM-4WWEQ,7.8511,5.2527,8.419,11.6255,8.6704,9.3927,3.025,6.6778,,,TCGA-VQ-A8P2-01,9.9921,9.9802,9.6567,11.4419,9.0164,9.0964,9.8369,10.9411
GTEX-11EM3-1026-SM-5A5KL,6.8403,3.8443,7.834,11.381,8.198,9.3862,1.6903,5.4368,,,TCGA-VQ-AA64-01,10.3019,7.7609,10.081,11.8675,9.6681,8.9841,9.0885,10.0665
GTEX-ZV6S-0926-SM-57WGB,7.883,3.5052,8.7471,11.4437,7.044,9.8678,2.8506,2.627,,,TCGA-VQ-AA6G-01,9.1891,8.6202,8.6446,12.1221,8.377,8.5997,9.4804,9.7375
GTEX-14BMU-1126-SM-5RQJ8,7.8545,7.6237,8.5175,11.4962,8.5681,9.1129,5.5792,7.8432,,,TCGA-VQ-AA6I-01,10.2032,9.3894,9.8223,12.5346,9.4703,9.9626,9.9665,11.3993
GTEX-XUZC-0726-SM-4BOPH,7.8374,5.9234,8.0569,11.7725,8.2964,9.2783,4.2239,8.5408,,,TCGA-BR-6565-01,10.5009,8.2349,10.3066,12.2823,8.7823,9.2544,9.4954,9.6187
GTEX-Y5LM-1326-SM-5RQIS,8.3599,7.1479,8.9271,11.7846,8.4705,9.3921,5.8959,6.6983,,,TCGA-VQ-A8P5-01,12.2427,10.2819,11.7931,13.2171,10.678,10.5537,10.3226,10.9948
GTEX-Y8LW-0826-SM-4WWDO,7.2373,5.6552,7.8299,11.4054,8.6389,9.0547,4.9047,9.7096,,,TCGA-VQ-A91A-01,9.9483,8.6372,10.5076,11.2886,8.9653,9.107,9.2409,9.8752
GTEX-ZYFG-1326-SM-5GICJ,7.8147,5.149,8.113,11.348,8.4166,8.9366,2.9002,8.0674,,,TCGA-VQ-A91Y-01,8.8364,8.5655,10.0733,11.0446,8.1699,9.1851,8.715,9.2536
GTEX-WXYG-1626-SM-4ONCR,7.7476,6.8388,8.1858,11.5815,8.1643,9.1809,5.7302,8.7752,,,TCGA-VQ-A92D-01,10.4934,9.4841,9.7036,12.1597,7.7564,10.1065,9.4054,9.3478
GTEX-X15G-1126-SM-4PQZG,6.9162,5.51,7.594,11.4181,8.7645,9.0003,4.1467,7.1883,,,TCGA-CG-5732-01,9.331,8.3779,9.2047,11.7275,8.7567,8.9462,8.0689,9.2353
GTEX-13FTX-0726-SM-5N9BI,8.5487,8.6925,7.8936,11.6011,8.4944,9.1021,6.6407,9.4014,,,TCGA-D7-A6EZ-01,11.0617,9.9798,9.4042,11.8527,8.7772,9.495,9.6219,9.2804
GTEX-131XG-1226-SM-5EGH9,10.5106,9.8457,8.5816,11.8268,7.5879,9.3584,8.1635,9.7934,,,TCGA-HU-8243-01,11.5246,10.0417,11.1711,12.5299,10.1966,10.494,10.6788,11.6301
GTEX-RWS6-0926-SM-47JXE,8.1592,2.8024,7.6309,11.2416,8.0022,8.9801,3.9015,7.6596,,,TCGA-MX-A663-01,9.3349,8.7822,9.7263,11.6286,10.042,9.7283,7.4195,9.0951
GTEX-T5JW-0926-SM-4DM5K,7.4881,5.7418,7.7777,11.3704,8.5875,9.0936,4.315,9.0101,,,TCGA-RD-A7BT-01,10.2517,8.9036,11.3054,12.3903,9.5825,9.2429,9.1335,10.5362
GTEX-T6MO-0726-SM-4DM58,6.8906,3.3907,7.9744,11.6687,8.2986,9.2259,2.7427,4.7849,,,TCGA-VQ-A925-01,10.6845,9.4476,10.4791,11.3282,8.7737,9.415,8.5521,10.6361
GTEX-W5WG-1726-SM-4LMI5,7.1732,1.6652,7.0604,11.126,8.198,9.1657,2.4177,6.9882,,,TCGA-BR-4294-01,6.7276,2.2892,9.3672,9.7629,8.7766,10.1596,3.2561,3.3689
GTEX-ZYY3-1726-SM-5EGH3,8.3068,5.6204,8.7799,11.1274,8.3036,8.3068,5.5479,7.008,,,TCGA-BR-6802-01,9.9314,8.8819,9.8328,11.7312,9.1353,8.42,8.9353,9.4719
,,,,,,,,,,,TCGA-BR-7715-01,10.8572,8.7579,10.6661,11.7524,10.3218,9.9876,7.7846,8.8272
,,,,,,,,,,,TCGA-BR-8362-01,10.0027,10.2421,10.6515,12.3739,10.0921,10.3926,9.2492,9.5334
,,,,,,,,,,,TCGA-BR-A4QM-01,8.5978,7.7198,9.5899,11.3702,8.6324,8.8225,6.8787,9.2066
,,,,,,,,,,,TCGA-CD-8529-01,9.9167,8.9659,10.0598,12.0366,9.2844,8.18,8.2508,9.3402
,,,,,,,,,,,TCGA-D7-6521-01,9.0757,7.8817,9.2813,12.134,7.9593,9.1797,8.7461,7.712
,,,,,,,,,,,TCGA-VQ-A8PC-01,9.4838,9.7194,10.2512,11.3484,9.4431,9.3219,8.6341,9.1696
,,,,,,,,,,,TCGA-BR-7196-01,10.415,8.9224,9.4415,11.675,8.5255,9.3694,9.3435,9.2485
,,,,,,,,,,,TCGA-D7-6820-01,10.2001,9.9761,10.0454,12.413,7.9577,9.2736,8.5904,9.4493
,,,,,,,,,,,TCGA-IN-A6RJ-01,8.499,10.6162,8.4513,11.4242,8.1889,8.3043,8.2799,9.5621
,,,,,,,,,,,TCGA-BR-6706-01,10.0066,8.629,9.7883,11.9491,8.9216,9.2908,8.8856,9.1939
,,,,,,,,,,,TCGA-BR-7717-01,9.3219,6.6472,9.716,11.6892,8.3283,8.7808,6.6348,8.8141
,,,,,,,,,,,TCGA-BR-8372-01,10.543,10.4479,10.073,12.4323,11.3217,9.8475,9.4963,10.5328
,,,,,,,,,,,TCGA-BR-A4J1-01,11.0422,10.4633,10.8944,12.316,10.7984,10.5219,9.5439,10.1676
,,,,,,,,,,,TCGA-D7-6817-01,10.603,9.6457,11.1979,12.7011,9.8378,9.9897,10.575,11.1527
,,,,,,,,,,,TCGA-D7-A4YX-01,10.3918,10.1691,10.1971,11.6747,9.7279,9.1922,9.5506,10.769
,,,,,,,,,,,TCGA-IN-AB1V-01,8.752,10.2096,9.2992,11.3188,8.9485,8.8253,7.9402,9.4162
,,,,,,,,,,,TCGA-VQ-A8DU-01,11.1656,10.0427,10.4413,11.5576,9.9746,10.782,9.0821,10.2625
,,,,,,,,,,,TCGA-VQ-A91S-01,9.9062,9.4262,10.896,11.4079,11.3815,9.0932,9.1175,10.1583
,,,,,,,,,,,TCGA-VQ-A94R-01,10.5534,9.7021,10.2709,11.9364,9.2414,9.5361,9.2296,11.7899
,,,,,,,,,,,TCGA-B7-5818-01,10.1698,9.3565,9.3905,12.0322,8.2362,9.3309,8.4235,8.8549
,,,,,,,,,,,TCGA-BR-7722-01,9.2205,7.0666,9.2781,11.6274,8.2695,8.8156,6.9483,9.0728
,,,,,,,,,,,TCGA-BR-8371-01,7.1435,5.597,8.5707,11.1138,8.4334,9.1521,5.1919,5.7018
,,,,,,,,,,,TCGA-BR-8590-01,9.3575,7.6636,9.6926,11.3084,8.5114,9.1619,7.1531,9.4549
,,,,,,,,,,,TCGA-CD-A4MI-01,8.0432,7.5398,9.579,11.067,8.3964,9.2218,7.3361,7.422
,,,,,,,,,,,TCGA-D7-6527-01,9.9661,8.6348,9.1854,11.8487,8.3107,8.6548,8.0254,8.9292
,,,,,,,,,,,TCGA-D7-A6F2-01,10.0464,8.6173,9.7781,11.7376,8.2008,9.8152,7.8913,10.2432
,,,,,,,,,,,TCGA-FP-8211-01,10.4685,8.6852,9.309,11.7668,8.4141,9.0478,8.2012,10.0365
,,,,,,,,,,,TCGA-VQ-A8PH-01,11.3097,8.4469,10.9523,12.0022,11.0086,10.3799,9.7766,9.4551
,,,,,,,,,,,TCGA-BR-8291-01,9.3372,8.557,10.0758,11.004,7.4059,9.3,7.8558,9.1001
,,,,,,,,,,,TCGA-BR-8484-01,10.202,8.078,9.8773,11.4045,8.3508,8.9965,8.9863,10.0972
,,,,,,,,,,,TCGA-D7-A4YY-01,9.5527,8.5509,9.134,11.8906,9.1003,9.2706,8.5565,10.7531
,,,,,,,,,,,TCGA-HU-A4GN-01,10.7844,11.1512,10.3164,11.9088,9.5105,9.403,9.7795,9.9423
,,,,,,,,,,,TCGA-MX-A666-01,9.9454,10.6056,10.7921,12.0524,10.4749,10.5518,8.9438,10.1176
,,,,,,,,,,,TCGA-VQ-A91Q-01,9.7198,8.6934,9.5128,11.9352,9.4611,10.16,9.0867,10.2006
,,,,,,,,,,,TCGA-B7-A5TN-01,9.4131,7.3323,10.2151,11.5769,8.6521,9.0457,7.6833,8.2219
,,,,,,,,,,,TCGA-BR-6563-01,7.922,7.5399,9.2907,11.54,8.3006,8.7275,6.2238,6.8781
,,,,,,,,,,,TCGA-BR-7958-01,10.3019,9.4206,9.7912,11.2843,8.3987,9.1762,8.964,10.0598
,,,,,,,,,,,TCGA-CD-5813-01,9.9467,9.2442,9.2597,11.5018,7.5893,8.3626,6.2886,8.1697
,,,,,,,,,,,TCGA-CD-A4MJ-01,9.8698,9.7152,10.116,11.6204,9.34,9.4296,9.9099,9.8713
,,,,,,,,,,,TCGA-FP-A8CX-01,10.1451,10.179,9.383,12.5581,8.3787,9.0465,8.0922,10.1915
,,,,,,,,,,,TCGA-BR-6455-01,10.5436,9.4992,9.7663,11.8188,9.4387,9.432,8.6687,10.7571
,,,,,,,,,,,TCGA-BR-7723-01,10.3491,8.8592,11.1925,11.609,9.6118,9.9501,9.8201,9.8021
,,,,,,,,,,,TCGA-BR-7959-01,9.5074,7.6471,10.2365,11.2798,9.1502,9.3643,6.9016,9.288
,,,,,,,,,,,TCGA-BR-8483-01,10.1838,7.0522,10.016,11.5027,9.4066,9.3475,8.0412,9.6699
,,,,,,,,,,,TCGA-BR-8676-01,9.2583,7.4965,10.1252,10.8482,9.6005,9.1922,9.4085,8.4759
,,,,,,,,,,,TCGA-CD-8535-01,11.4407,8.8393,10.6927,11.5879,9.8142,10.0057,10.7418,10.1045
,,,,,,,,,,,TCGA-CG-5724-01,12.1873,8.633,9.5418,12.691,9.0713,9.844,10.0204,9.5754
,,,,,,,,,,,TCGA-IN-7808-01,9.4949,10.811,9.4063,11.5882,9.2623,8.7904,8.2839,8.9966
,,,,,,,,,,,TCGA-VQ-A8E7-01,9.7733,9.3911,10.7974,12.1947,9.1114,9.6,8.4872,9.1874
,,,,,,,,,,,TCGA-VQ-AA6K-01,10.8071,9.0504,10.0183,12.2192,8.3795,8.992,8.6862,9.8105
,,,,,,,,,,,TCGA-BR-4357-01,9.9782,10.1947,9.93,11.0271,8.7991,9.5204,8.807,10.3025
,,,,,,,,,,,TCGA-BR-6454-01,10.7303,9.1058,9.7936,12.2235,8.309,9.258,8.7906,9.5071
,,,,,,,,,,,TCGA-BR-8297-01,9.328,8.4266,9.4727,11.4484,8.2507,9.2177,7.7539,9.2424
,,,,,,,,,,,TCGA-BR-A4IY-01,9.298,8.4407,9.9359,11.9142,7.8482,10.3331,10.0819,10.1776
,,,,,,,,,,,TCGA-CD-A489-01,8.9324,5.4568,9.6747,11.2671,8.6729,9.4103,8.1247,7.6262
,,,,,,,,,,,TCGA-CG-5717-01,8.8039,9.0815,9.2525,11.5154,8.4542,8.7315,7.6443,8.9551
,,,,,,,,,,,TCGA-CG-5721-01,10.09,9.868,9.7102,11.9716,8.5572,8.8969,9.3293,8.8439
,,,,,,,,,,,TCGA-D7-6522-01,8.9573,8.3801,9.1108,11.872,8.3123,8.3763,7.013,8.8415
,,,,,,,,,,,TCGA-D7-6525-01,10.9219,7.2119,10.1492,12.3005,10.1814,9.6848,9.1359,8.9016
,,,,,,,,,,,TCGA-VQ-A8PK-01,10.3127,9.8405,9.9369,11.4318,7.1894,10.4537,8.5862,10.1874
,,,,,,,,,,,TCGA-VQ-A91V-01,9.6835,9.047,10.009,12.188,9.3668,9.2803,7.9473,9.8401
,,,,,,,,,,,TCGA-BR-8289-01,10.3554,8.724,10.5911,11.6096,9.1382,9.9388,8.2787,10.1179
,,,,,,,,,,,TCGA-BR-A452-01,10.9064,9.9012,11.1704,12.3728,10.1811,9.2977,9.6061,9.8054
,,,,,,,,,,,TCGA-CD-A48A-01,10.5583,9.6075,10.9019,12.7288,10.4636,11.4009,9.5609,9.3963
,,,,,,,,,,,TCGA-CG-4436-01,10.4166,8.4211,10.6265,11.4158,9.7661,9.4625,8.508,10.5355
,,,,,,,,,,,TCGA-D7-8572-01,9.8794,9.6189,10.9593,12.7062,9.7941,9.8865,9.4205,10.474
,,,,,,,,,,,TCGA-D7-8573-01,10.8222,10.3152,10.8327,12.5636,9.5033,10.9474,10.8403,10.7488
,,,,,,,,,,,TCGA-D7-A747-01,8.2077,7.3105,9.4764,11.5711,8.8598,9.8061,8.4602,7.668
,,,,,,,,,,,TCGA-VQ-A8E2-01,11.3053,10.4265,10.5922,12.1415,10.1507,10.5784,10.4717,10.8235
,,,,,,,,,,,TCGA-VQ-A94P-01,7.281,5.7575,9.1184,11.3099,8.2636,9.0901,5.8959,7.0706
,,,,,,,,,,,TCGA-BR-4187-01,8.152,7.3977,9.4999,10.8013,8.2416,9.3179,7.0901,7.555
,,,,,,,,,,,TCGA-BR-8589-01,11.0351,10.1131,9.8717,11.8406,8.6795,10.0557,9.6895,10.3147
,,,,,,,,,,,TCGA-BR-A4J5-01,8.6359,8.2492,9.6013,11.3438,8.6874,8.8172,7.686,8.7041
,,,,,,,,,,,TCGA-CG-4438-01,10.0398,8.668,11.0335,12.471,10.5014,9.8304,9.6158,10.0256
,,,,,,,,,,,TCGA-D7-A4YT-01,10.4182,9.2535,11.1377,11.0714,9.4744,9.3035,10.5043,10.0524
,,,,,,,,,,,TCGA-HU-8238-01,9.9515,9.4786,9.5954,11.8292,8.3623,8.8583,7.7169,9.3778
,,,,,,,,,,,TCGA-HU-A4GD-01,11.3321,11.1588,11.6852,13.2184,12.3288,11.2994,9.7256,9.7427
,,,,,,,,,,,TCGA-RD-A8MV-01,9.4645,8.5477,9.9908,11.4263,9.0364,8.7256,9.0799,10.6383
,,,,,,,,,,,TCGA-VQ-A8PM-01,9.1962,9.0478,10.6983,11.4647,8.947,9.9038,8.3958,9.5117
,,,,,,,,,,,TCGA-VQ-AA6A-01,9.6492,8.5259,10.5259,12.0912,8.1837,10.1784,9.6844,10.9056
,,,,,,,,,,,TCGA-BR-8367-01,9.2428,9.4947,9.9173,11.5912,9.059,9.2055,8.8448,10.3366
,,,,,,,,,,,TCGA-BR-8380-01,8.9114,8.6674,9.5187,11.2938,7.9427,9.081,6.9711,8.572
,,,,,,,,,,,TCGA-BR-A4J9-01,7.433,6.228,9.5007,11.397,8.4105,9.3372,4.9563,6.8933
,,,,,,,,,,,TCGA-FP-A4BE-01,10.341,10.5546,9.7779,12.009,9.3438,9.3001,9.5478,9.6049
,,,,,,,,,,,TCGA-BR-6453-01,9.4191,8.8298,8.9315,11.8669,8.9813,8.6021,6.7511,8.7444
,,,,,,,,,,,TCGA-HU-A4G3-01,9.2934,8.7825,9.2854,11.3682,8.5927,8.6456,8.2273,9.2612
,,,,,,,,,,,TCGA-D7-6520-01,10.2428,8.0208,9.0602,12.0156,9.4804,9.2021,6.9307,9.4141
,,,,,,,,,,,TCGA-D7-6524-01,9.0892,8.2379,9.8613,11.6921,8.9021,8.9106,7.9332,9.2736
,,,,,,,,,,,TCGA-D7-6818-01,10.9408,9.4635,10.0296,10.808,8.2757,8.6247,9.2928,9.3667
,,,,,,,,,,,TCGA-VQ-A8PJ-01,10.1384,8.9986,10.4825,12.3178,9.0316,9.2793,9.2837,11.0178
,,,,,,,,,,,TCGA-B7-A5TI-01,10.3869,9.4786,9.5735,11.4476,7.5441,9.1023,9.4014,10.7721
,,,,,,,,,,,TCGA-BR-8682-01,7.9043,7.6805,9.6117,11.155,8.7709,8.5137,6.5913,7.2696
,,,,,,,,,,,TCGA-CD-8532-01,10.3293,8.511,8.8816,12.0089,8.6889,8.5976,8.6776,9.247
,,,,,,,,,,,TCGA-3M-AB47-01,8.2261,7.8115,9.7481,11.3944,9.0396,8.7925,7.0834,8.27
,,,,,,,,,,,TCGA-B7-A5TK-01,8.6461,7.8511,9.3511,11.0955,8.985,9.1376,7.7431,8.2063
,,,,,,,,,,,TCGA-BR-4267-01,9.4047,7.1745,10.6708,11.5429,9.358,9.9426,9.095,11.4736
,,,,,,,,,,,TCGA-BR-8381-01,10.2361,9.1029,9.9879,11.908,10.09,9.68,9.1889,9.4796
,,,,,,,,,,,TCGA-BR-A453-01,8.9376,6.7959,9.3248,11.4523,7.752,8.9129,5.9596,6.4772
,,,,,,,,,,,TCGA-CD-8530-01,9.3667,8.0916,9.7343,10.964,9.8193,9.244,8.5358,9.3799
,,,,,,,,,,,TCGA-R5-A7O7-01,10.5336,10.1685,10.0675,12.1585,9.9326,10.0309,8.843,10.3029
,,,,,,,,,,,TCGA-VQ-A8PX-01,9.9807,9.4535,9.8692,11.7108,9.6584,9.3106,8.9844,10.2253
,,,,,,,,,,,TCGA-IN-7806-01,9.6441,7.9094,9.9526,12.1077,8.7403,9.4761,8.5843,8.3861
,,,,,,,,,,,TCGA-BR-8286-01,11.4432,10.5488,10.8995,11.7553,10.599,9.7996,9.9094,12.059
,,,,,,,,,,,TCGA-BR-A4J7-01,7.8087,6.4676,9.3165,10.8309,8.7185,9.1129,5.2329,5.6469
,,,,,,,,,,,TCGA-CG-4472-01,7.6921,7.7736,9.3179,11.1974,9.313,9.3651,7.6722,8.4469
,,,,,,,,,,,TCGA-FP-8209-01,8.2564,7.2167,9.7208,11.3674,8.2696,9.1317,6.6231,7.3377
