,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-ZTX8-0426-SM-59HLG,7.5698,4.2725,9.9287,11.3436,8.1362,10.0309,2.4807,4.2725,,,TCGA-IN-AB1X-11,8.0501,10.4272,9.1172,11.2603,7.932,8.9579,8.5922,9.5556
GTEX-SNOS-0826-SM-4DM5N,7.1068,5.5288,8.8804,11.727,8.6214,9.8631,4.3873,5.4433,,,TCGA-HU-A4GY-11,6.747,5.0475,8.956,11.8767,8.1428,9.6127,3.9614,2.4258
GTEX-OOBJ-1526-SM-3NB1Q,8.6617,7.8098,8.2857,11.404,8.6324,9.0596,7.1908,8.4324,,,TCGA-BR-8060-11,6.9896,5.2789,7.6101,10.5721,7.7434,8.3786,4.4603,7.9899
GTEX-PW2O-1226-SM-48TCH,7.2008,6.4575,7.6611,11.304,9.3315,9.0822,4.5059,8.1959,,,TCGA-BR-7704-11,7.5635,6.2277,7.9292,11.4239,7.4933,8.6469,5.072,9.0714
GTEX-YEC3-1426-SM-4WWEM,7.5134,3.618,8.8365,11.5638,7.7546,9.7066,2.588,3.618,,,TCGA-CG-5722-11,8.3403,8.0565,8.0994,11.451,7.7352,8.2744,6.1317,8.5089
GTEX-P4PQ-1526-SM-3NMCK,6.9339,3.3685,8.9443,11.234,7.5915,9.8606,2.2422,3.7145,,,TCGA-BR-6852-11,9.381,9.0552,8.4688,11.8411,9.2313,8.7057,7.9187,9.8974
GTEX-T8EM-1226-SM-4DM5J,8.9105,8.1397,9.2187,11.7136,8.2836,9.2908,7.0881,9.1372,,,TCGA-BR-7716-11,9.0337,8.0748,8.2646,11.5997,7.9686,8.5543,7.1601,9.2638
GTEX-Q2AH-1126-SM-48TZM,8.4358,7.5971,8.41,11.5954,8.4412,9.3793,6.7352,9.2174,,,TCGA-HU-A4GP-11,6.0784,2.8434,8.392,11.1585,7.4174,9.3358,1.6131,2.6984
GTEX-S3XE-1026-SM-4AD4O,7.0203,6.8611,8.3803,11.2854,8.9313,9.171,5.0533,7.6265,,,TCGA-BR-6458-11,8.4472,7.9957,8.2998,11.1916,8.5624,8.6143,6.9296,8.8376
GTEX-12C56-0526-SM-5FQST,6.9004,4.8353,8.7599,11.3413,7.242,9.4248,1.9087,3.885,,,TCGA-BR-6564-11,8.2813,8.8007,8.748,11.5304,8.2847,8.324,6.4836,8.4645
GTEX-NFK9-1526-SM-3LK7B,7.7322,4.6866,7.7817,11.2143,8.2443,9.2959,1.7971,6.8592,,,TCGA-CD-5804-01,10.8896,8.3279,9.2913,11.6979,7.9761,9.1639,6.8842,8.9259
GTEX-WHSB-1226-SM-4M1XR,8.1462,7.6847,8.7417,11.6281,8.7311,9.2155,6.1769,9.5381,,,TCGA-CG-4306-01,9.0471,9.3768,9.9546,11.2857,9.2481,9.5399,9.5008,10.2906
GTEX-VJYA-1026-SM-4KL21,8.0993,6.7146,8.2839,11.5991,8.146,9.1921,5.2648,8.7971,,,TCGA-F1-6177-01,10.6419,9.8075,9.4186,12.2465,10.077,8.7833,9.1755,10.117
GTEX-WY7C-1726-SM-4ONCC,8.1941,8.3462,8.2721,11.3755,8.5421,9.0406,7.216,9.115,,,TCGA-VQ-A923-01,10.4472,9.6799,10.1022,11.9351,8.8786,9.6219,9.8902,10.76
GTEX-13PVQ-2126-SM-5L3FW,8.8408,8.3555,8.7996,11.2183,8.7785,8.5021,6.7793,8.6083,,,TCGA-BR-4366-01,9.0448,8.207,9.8124,10.7137,9.5171,9.8634,7.6578,9.7619
GTEX-O5YW-1526-SM-3MJGL,8.2438,7.3291,8.1197,11.25,8.5777,9.0043,5.5981,8.839,,,TCGA-CG-5716-01,10.0855,10.0003,8.7614,11.9504,8.648,8.6853,8.3023,9.9034
GTEX-WYJK-2526-SM-4ONDF,6.9899,5.6649,8.2514,11.6786,8.6802,9.2043,3.0188,8.9298,,,TCGA-CG-4442-01,9.1468,9.2198,11.3243,11.9973,11.6204,10.1815,10.5602,9.891
GTEX-11WQK-2626-SM-5EQ4K,6.1092,2.5944,9.2274,11.6978,9.05,9.2445,2.8677,0,,,TCGA-CG-4304-01,9.6843,9.2862,9.8989,11.7415,9.4394,9.9781,8.9019,9.765
GTEX-QXCU-1926-SM-48FE4,8.0029,6.8905,8.5044,11.3031,7.7794,9.0609,3.7936,4.5272,,,TCGA-IN-A6RL-01,9.6583,9.0681,10.0779,11.8097,8.8933,8.7953,8.2297,8.1112
GTEX-ZVZP-1726-SM-5GZWY,7.4763,6.1322,8.4234,11.6362,8.5319,9.7255,3.6786,8.1598,,,TCGA-IN-A6RR-01,9.377,8.9518,9.9957,13.0787,9.9319,10.0584,8.7822,8.4322
GTEX-Y9LG-1026-SM-5IFJN,8.2459,7.5996,8.9055,11.9271,8.4138,9.4284,7.08,9.3565,,,TCGA-CG-4437-01,10.7903,8.1432,9.1636,12.1696,9.1548,8.5685,8.6113,8.0772
GTEX-145MO-2226-SM-5Q5BN,7.8321,5.9961,8.2511,11.1703,9.014,9.165,5.4224,7.0432,,,TCGA-CG-4441-01,10.4254,9.5141,9.6544,12.1076,8.8471,8.9124,9.411,10.3399
GTEX-SIU7-1426-SM-4BRWT,7.9103,7.0831,8.7894,11.5165,7.051,9.3289,4.1002,6.9792,,,TCGA-CG-5723-01,9.2223,7.9319,8.9115,11.6532,8.8448,8.7416,9.6148,7.8672
GTEX-Y5V6-1326-SM-4VDTF,7.505,3.4165,7.7189,11.0302,8.251,9.0234,3.9557,6.5129,,,TCGA-CD-5798-01,8.5184,6.9321,8.5486,11.1364,7.8196,8.5173,6.8855,6.3254
GTEX-XQ8I-2026-SM-4BOOL,6.7094,4.6978,7.5184,11.446,9.1249,8.9798,2.2746,7.3073,,,TCGA-RD-A7C1-01,12.371,11.3578,10.1663,13.9836,9.2175,9.8405,10.8888,11.8038
GTEX-WH7G-1526-SM-4LVMX,7.7386,4.8046,8.7996,11.4468,7.1926,9.5876,3.3193,4.4567,,,TCGA-BR-7703-01,9.8664,9.5354,9.3901,12.2697,8.4723,9.2499,6.8863,9.721
