samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-11DXY-0526-SM-5EGGQ,5.3115,0,6.6429,10.7692,8.296,8.9458,0,1.6557,,,TCGA-DD-A1EH-11,6.0607,3.5,7.8322,9.1763,7.1941,8.6508,2.2832,3.3254
GTEX-ZYT6-0626-SM-5E45V,4.5181,2.3173,7.1338,10.7731,8.1552,8.7919,1.5811,0,,,TCGA-DD-A1EL-11,7.7186,4.3605,8.502,9.8037,6.8014,8.601,4.23,4.9636
GTEX-139UC-1426-SM-5IJGH,6.1434,5.0161,8.0352,10.593,8.348,8.9157,3.2796,4.2033,,,TCGA-FV-A3I1-11,5.0822,3.4045,7.8354,9.8755,6.1762,8.5401,2.3532,2.6959
GTEX-13NYB-1026-SM-5IFH3,8.0676,5.1516,9.1178,10.7955,8.3733,9.2225,3.335,4.8213,,,TCGA-DD-A39X-11,5.6089,3.3065,6.594,9.6975,5.7771,8.4877,2.116,1.6886
GTEX-XOTO-0826-SM-4B65O,5.3089,3.3505,8.1328,11.0714,7.8144,9.2614,1.5059,1.5059,,,TCGA-DD-A118-11,4.7043,4.0038,8.4106,9.5726,6.7971,8.9485,1.4175,3.226
GTEX-11DXZ-0126-SM-5EGGY,6.6619,5.9703,8.2495,10.6939,7.6274,8.8028,4.7391,5.2091,,,TCGA-DD-A3A2-11,4.8762,1.7502,6.778,9.9706,6.2571,8.8129,1.1257,1.7502
GTEX-XBEC-1526-SM-4AT68,6.2875,2.579,7.7309,11.271,8.7143,9.2886,3.0811,4.5477,,,TCGA-BD-A3EP-11,5.8745,3.3469,8.865,10.0027,6.3274,9.0628,2.3021,3.1479
GTEX-139TU-0826-SM-5IJFG,7.2288,4.0079,9.1563,10.8185,8.6046,8.7704,3.8281,3.0949,,,TCGA-BC-A10Q-11,5.1823,1.3052,8.5267,9.6463,6.0062,8.586,3.2968,3.0628
GTEX-WY7C-0726-SM-4ONCB,8.9389,7.2346,8.473,10.489,7.8415,8.9869,6.1985,7.0063,,,TCGA-DD-A1EB-11,4.8647,2.9618,7.7114,9.6809,6.5912,8.2616,1.9674,2.5486
GTEX-12WSI-0226-SM-5GCNA,7.2699,4.0492,8.6869,10.5302,8.1834,9.1007,3.3058,3.8413,,,TCGA-DD-A3A6-11,4.7004,2.2769,6.7121,9.2856,5.9129,8.1772,0,0
GTEX-WZTO-0626-SM-4PQYY,5.3726,4.3124,8.7008,11.1608,8.5753,8.9879,3.1837,1.8857,,,TCGA-DD-A1EJ-11,5.5896,3.8681,7.8874,9.9478,6.4848,9.088,1.8955,3.7756
GTEX-11EQ9-0526-SM-5A5JZ,7.0251,5.894,9.4246,10.85,7.6043,9.3512,5.3025,6.0361,,,TCGA-FV-A23B-11,6.1901,4.9352,8.7749,10.0465,6.6752,8.6774,3.3043,3.567
GTEX-131XH-0626-SM-5LZWH,5.5824,3.7383,8.3198,10.6821,7.9884,8.742,0,1.7946,,,TCGA-BC-A10R-11,5.2988,2.6961,9.4222,10.0316,6.8511,8.7372,2.1004,2.4288
GTEX-12ZZZ-1326-SM-59HKW,5.0556,5.7751,7.8023,10.9378,8.5454,9.1929,3.0301,3.5549,,,TCGA-DD-A3A5-11,4.0747,3.2699,7.4659,9.4269,6.8021,8.5587,0,1.2874
GTEX-12KS4-1326-SM-5LUB3,8.7456,6.8367,8.2947,10.849,7.9687,8.9776,5.4972,6.5713,,,TCGA-BC-A10Z-11,3.7175,4.1354,8.0014,10.3643,7.6139,9.1368,1.0738,2.9316
GTEX-13NZB-0626-SM-5IFH6,4.6439,2.3219,7.1396,11.1453,8.5464,9.8439,2.3219,1.585,,,TCGA-BC-A216-11,6.0643,5.6464,9.0794,9.6968,7.2613,8.5724,5.0556,5.7996
GTEX-RN64-1826-SM-48FDV,5.2236,1.847,7.5346,10.8187,8.1221,8.9036,1.847,0,,,TCGA-DD-A11D-11,4.7249,3.2451,8.5754,9.7785,6.7672,8.5098,2.2126,2.2126
GTEX-14753-1626-SM-5NQ9L,4.5188,3.455,7.783,9.9273,7.674,7.9199,1.5817,0,,,TCGA-DD-A113-11,5.0618,3.2981,9.2819,9.674,6.8882,8.6407,1.3061,3.0642
GTEX-WFON-1726-SM-4LVMQ,5.3138,3.7996,8.7686,10.6778,7.049,8.8155,2.4082,2.8996,,,TCGA-BC-A10X-11,4.7409,1.9486,8.212,9.4048,6.7432,8.8077,2.267,3.3968
GTEX-13PVQ-1526-SM-5IFEQ,2.8543,3.5091,9.0346,11.2646,7.5109,9.0741,3.2185,2.8543,,,TCGA-BC-A110-11,3.0499,0,9.0235,10.3837,6.8967,8.8063,1.777,1.1464
GTEX-VUSG-0126-SM-4KL1X,5.5753,4.8411,8.7931,11.1849,8.1315,9.3505,1.4483,2.1563,,,TCGA-DD-A39Z-11,5.9929,3.9933,7.6185,9.6959,6.6524,8.4022,3.3155,3.3155
GTEX-P44G-1126-SM-3NM9D,3.715,4.053,7.9889,11.7429,7.8744,9.6746,2.9878,1.4506,,,TCGA-DD-A39W-11,4.2997,2.104,6.3641,9.5942,5.8159,7.9438,1.6778,1.6778
GTEX-13FTW-1126-SM-5J2NV,9.0774,7.1191,8.5505,10.8544,6.9733,8.8489,6.531,7.1357,,,TCGA-DD-A1EC-11,4.9767,4.1758,7.8241,9.6932,6.3485,8.5569,2.2199,2.8273
GTEX-YB5E-0326-SM-5IFHU,9.3766,8.2612,9.3026,10.7562,7.0965,9.4675,7.1011,8.3423,,,TCGA-DD-AACA-02,9.748772015,5.95651682,9.153725388,10.76812204,7.200644112,9.174465732,6.345165563,8.367187239
GTEX-14E1K-0326-SM-5S2PE,3.6741,3.0106,7.2214,10.4204,7.7689,8.7055,0,0,,,TCGA-ZS-A9CF-02,11.7772,8.443,8.0552,10.7668,7.7553,10.1332,8.4603,9.834
GTEX-147F4-1426-SM-5LUA8,5.9821,4.2805,7.2581,10.9598,7.7466,9.0015,3.6462,0,,,TCGA-BC-A10S-01,7.1724,4.8984,8.5635,10.4206,8.2576,8.603,1.4578,3.5213
GTEX-RM2N-1926-SM-48FCU,5.3734,4.1967,9.5063,10.8655,7.2093,9.2214,3.4103,3.8565,,,TCGA-BC-A112-01,8.8384,7.0246,10.211,10.9758,10.0155,9.8026,6.322,6.2768
GTEX-OOBJ-0826-SM-3NB2K,4.7891,3.9093,8.3442,10.6763,7.9267,9.2568,2.7247,3.235,,,TCGA-ES-A2HS-01,9.7944,5.9705,7.7867,9.8477,7.124,8.1488,2.6187,4.2477
GTEX-UTHO-2426-SM-4JBHD,4.9328,4.4383,7.6887,10.8174,8.765,9.154,2.7884,4.1084,,,TCGA-FV-A2QQ-01,8.3572,4.7004,9.0779,10.7411,8.6301,8.888,3.1197,5.1544
GTEX-139YR-0226-SM-5IFEM,6.2449,6.333,9.3703,11.3111,8.6671,9.8576,3.6025,2.8815,,,TCGA-G3-A3CG-01,8.3964,5.1172,9.4648,10.2791,6.348,8.5208,3.7398,5.2509
GTEX-11UD2-1626-SM-5EQM3,6.9263,5.7489,9.6271,11.2016,8.603,8.7316,3.8272,2.7343,,,TCGA-FV-A4ZP-01,11.0936,8.6734,7.7445,10.0646,7.1463,8.3877,1.2076,4.1719
GTEX-Z9EW-0426-SM-5CVM9,4.6186,3.2584,8.7247,10.5637,7.2024,9.4459,0,1.6519,,,TCGA-HP-A5MZ-01,8.2003,5.8784,8.9731,10.6583,8.5914,8.4551,4.3882,6.1455
GTEX-ZVP2-0626-SM-51MSO,7.8709,5.0424,8.9413,10.8316,7.2838,8.9191,4.6688,4.558,,,TCGA-DD-A39V-01,9.5151,6.0643,7.5402,10.6576,8.2993,8.4637,4.7891,4.367
GTEX-ZAB4-0826-SM-5LU9D,5.382,5.3133,8.3936,10.4654,8.2257,8.5584,3.1297,3.8646,,,TCGA-DD-A4NG-01,9.7762,4.4238,10.2679,10.3471,9.0777,8.9154,5.5242,6.8401
GTEX-11TUW-1726-SM-5BC5C,4.9284,3.1462,9.8907,11.6346,8.0221,9.4059,3.4352,2.3006,,,TCGA-MI-A75H-01,8.7314,5.5719,8.4061,10.4068,7.7713,8.3787,4.7406,4.9265
GTEX-U8XE-1526-SM-4E3HT,5.4774,5.6164,9.9975,11.2284,7.9002,9.3212,3.702,4.8843,,,TCGA-BC-A10T-01,9.6877,5.9499,8.0501,10.0291,7.8314,8.3851,6.626,7.2395
GTEX-XXEK-1126-SM-4BRUX,3.6839,4.231,9.1496,11.5101,8.3127,9.6997,0,0,,,TCGA-BC-A10Y-01,11.9474,8.9981,8.4313,11.0656,8.1769,9.1926,7.9874,8.9292
GTEX-12WSL-0226-SM-5CVMJ,5.9801,3.4621,9.2437,11.0148,8.3985,9.4955,2.8098,3.1725,,,TCGA-DD-A1EG-01,9.5021,7.1115,10.0574,11.2151,7.666,9.4179,5.2755,7.0516
GTEX-12696-0826-SM-5EGGE,5.5168,3.3157,7.7091,11.2616,8.0472,9.1186,0,1.6956,,,TCGA-EP-A3JL-01,10.5484,7.274,8.6503,11.0349,8.5227,8.4649,5.6274,6.4222
GTEX-1192X-1026-SM-5H12P,6.7546,5.4874,9.01,10.733,8.2804,8.7766,4.6784,5.5546,,,TCGA-G3-A7M5-01,9.2967,4.4468,8.5099,9.801,7.789,8.5434,2.8319,4.4468
GTEX-WQUQ-1926-SM-4OOSA,5.0696,2.588,7.7915,11.1157,8.012,9.5369,1.8099,2.588,,,TCGA-DD-A3A8-01,8.3397,4.7983,6.3482,10.0773,7.3628,7.8472,4.0955,3.6784
GTEX-O5YT-0826-SM-3TW8N,10.4033,8.5963,9.932,12.079,8.0015,9.4767,6.756,7.367,,,TCGA-DD-AACJ-01,6.7034,3.6903,8.2455,10.7777,9.1259,8.8576,1.7578,3.6903
GTEX-X261-1726-SM-4PQYT,6.3944,9.1102,8.1833,11.2977,8.7774,9.5912,5.0766,5.6105,,,TCGA-FV-A2QR-01,9.181,5.9664,8.0673,10.7659,7.1791,8.5031,5.6343,6.2536
GTEX-X4XY-1626-SM-46MVN,4.3264,4.1961,9.4499,11.566,8.8624,10.2469,1.4504,0,,,TCGA-FV-A3R2-01,9.9008,6.6092,9.608,9.7647,7.8334,8.4604,6.3718,7.0387
GTEX-11TT1-1726-SM-5EQLJ,6.428,4.9608,9.5182,11.5306,8.5803,9.288,1.4714,2.1846,,,TCGA-RC-A6M6-01,10.0757,6.9202,9.0344,11.2141,9.9644,10.0934,6.4709,7.6592
GTEX-13NZ9-1326-SM-5MR3V,8.416,5.3822,8.8228,11.1722,8.1949,9.7948,3.7237,3.8648,,,TCGA-CC-A8HT-01,10.8423,9.1069,10.4612,10.95,9.4422,10.4104,7.8906,8.0365
GTEX-144GM-1326-SM-5LU5E,6.3873,6.0615,9.2438,11.4059,8.3456,9.5012,0,2.731,,,TCGA-ED-A627-01,7.4342,5.1027,9.0789,10.4178,7.3495,8.741,3.9581,4.3698
GTEX-131XE-0326-SM-5LZVO,3.6846,5.4095,9.1147,11.4911,8.3173,9.2698,3.1546,0,,,TCGA-NI-A8LF-01,8.028,4.919,9.7914,9.9874,7.3306,8.6111,4.4319,5.4347
GTEX-14C38-1526-SM-5RQJ7,3.5315,5.702,9.3102,11.3174,8.6758,9.6412,3.2932,2.6512,,,TCGA-XR-A8TF-01,11.3645,5.5408,8.6144,9.6184,8.3071,8.9673,6.0361,6.637
GTEX-1497J-0726-SM-5Q5D1,7.3895,5.5377,9.1334,11.5962,7.7692,9.2358,4.2408,4.437,,,TCGA-BC-4073-01,9.5307,8.1594,9.8312,10.5344,8.4077,10.1465,7.7663,8.5546
GTEX-QDVN-0826-SM-48TZ2,5.434,4.1612,9.3732,11.204,8.2572,9.4639,2.9555,2.1304,,,TCGA-DD-A11B-01,8.2889,4.9089,9.0351,9.9402,7.4624,8.3779,5.7764,7.4104
GTEX-11ZTS-1426-SM-5EQMM,5.7219,3.5387,8.0937,10.7429,8.4042,9.3203,1.87,2.6578,,,TCGA-DD-A1EE-01,8.5804,6.346,11.6456,10.1821,7.955,9.0783,6.2148,6.487
GTEX-Y5V5-0926-SM-4VBPZ,3.9648,3.4893,7.8299,10.6607,8.2897,8.5993,1.9719,1.2995,,,TCGA-DD-AAEH-01,7.8954,5.8485,9.3826,9.9744,6.5151,8.617,4.985,6.1415
GTEX-Q2AG-1126-SM-48U1P,5.2317,1.656,7.5723,11.0631,8.4868,9.0564,3.2639,3.5555,,,TCGA-EP-A3RK-01,10.7779,7.5125,9.1108,11.0497,9.3927,9.1182,6.412,7.4699
GTEX-P78B-1326-SM-3P611,9.0985,7.7401,8.5257,10.9859,8.3347,9.5373,6.4143,7.1631,,,TCGA-G3-A25X-01,11.428,7.1966,9.4515,10.3387,7.7511,9.3273,5.2175,5.9984
