samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-13QJ3-1926-SM-5QGQM,6.868,4.8664,8.4053,11.4572,9.2012,9.1916,2.8599,3.1415,,,TCGA-L5-A8NI-01,10.39,9.6005,10.6269,12.5792,9.7043,9.075,8.5936,9.7609
GTEX-13OVL-2726-SM-5J2MP,7.9715,1.7623,7.476,11.319,9.0456,9.1678,0,0,,,TCGA-JY-A6FB-01,10.3572,9.4187,9.998,12.1542,8.4709,8.9694,9.2716,12.285
GTEX-WFON-1026-SM-4LVMD,7.3106,3.7481,8.3179,11.2893,8.2754,9.5516,3.3453,3.3453,,,TCGA-JY-A939-01,8.9497,8.2138,9.6792,11.167,8.6617,9.4054,8.1445,9.8542
GTEX-YJ8A-1426-SM-5PNV7,8.0201,2.4048,9.5901,11.5794,8.2162,10.1309,2.9769,0,,,TCGA-L5-A43I-01,9.9291,9.5079,10.5896,11.5362,10.1626,9.4329,9.7877,10.131
GTEX-11OF3-2326-SM-5GU73,6.7588,2.749,7.5795,11.2434,9.4456,8.9992,0,0,,,TCGA-L5-A4OT-01,9.5937,8.6107,10.4447,11.0116,9.1724,9.4786,10.8246,9.9664
GTEX-1399R-0926-SM-5J2N8,7.3069,2.6326,8.433,11.4204,8.5246,9.409,1.8483,0,,,TCGA-L5-A8NE-01,9.7998,10.6927,10.3787,10.9842,8.7763,9.6057,7.1178,9.3882
GTEX-13N1W-1926-SM-5IJCH,8.0799,2.8837,9.4139,10.9188,9.3155,9.2114,2.5324,2.067,,,TCGA-L5-A8NG-01,10.1721,9.2517,10.0125,11.4047,9.4442,9.5919,8.5407,9.3984
GTEX-ZYW4-1626-SM-5GIE6,8.4092,3.2333,8.3609,11.3454,9.2833,9.0981,1.2635,1.2635,,,TCGA-L5-A8NJ-01,10.9649,9.1715,9.3294,12.2347,8.2212,9.0438,10.154,10.2245
GTEX-11P7K-1426-SM-5EGKY,6.8334,2.4189,8.4464,11.1687,7.6277,9.5253,2.0912,1.0614,,,TCGA-LN-A49Y-01,10.1477,10.4082,11.1395,12.3214,8.5302,10.3952,9.9547,9.3696
GTEX-WQUQ-1826-SM-4OOSD,8.2964,0,8.0342,11.5063,8.383,9.4859,2.0259,2.4876,,,TCGA-L5-A88Y-01,9.2125,8.8052,9.594,11.2769,8.0458,8.9294,8.1895,7.8603
